time/fps,custom/current_screen,time/time_elapsed,custom/max_height,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction
0,1,2987,90.0,1,2048,-142.588,3.58,,,,,,,,,,
0,1,5823,90.0,2,4096,-138.94,4.3,0.2,0.018177012,-2.2895752519369124,0.0001,-0.049691533099394294,0.0009481310844421387,8466.8193359375,5,17801.94793701172,0.3078125
0,1,8483,186.0,3,6144,-137.11599999999996,5.84,0.2,0.015864313,-2.250377942621708,0.0001,-0.04165809690603055,-0.01475834846496582,8072.5966796875,10,15044.672833251952,0.23798828125
0,1,11123,90.0,4,8192,-119.85066666999997,8.19,0.2,0.011167042,-2.2008644461631777,0.0001,-0.036280624131904915,-0.0020563602447509766,6502.908203125,15,12873.822882080078,0.16025390625
0,1,13739,186.0,5,10240,-129.37599999999998,11.22,0.2,0.011879829,-2.1361547619104386,0.0001,-0.031794643349712715,-0.0009647607803344727,5506.9150390625,20,11638.686346435547,0.15654296875
0,1,16361,90.0,6,12288,-111.15499999999999,14.6,0.2,0.009714306,-2.0727440237998964,0.0001,-0.02549602275248617,-0.0006589889526367188,4344.01708984375,25,9162.364666748046,0.1029296875
0,1,19004,90.0,7,14336,-108.98022221999997,14.34,0.2,0.009435327,-2.0218003794550894,0.0001,-0.019450776890153065,-0.00027298927307128906,3387.40625,30,7490.17229309082,0.07353515625
0,1,21748,90.0,8,16384,-109.34226086999999,20.38,0.2,0.00935271,-1.9598982855677605,0.0001,-0.018780930296634323,0.00022989511489868164,3000.045654296875,35,7928.235955810547,0.06220703125
0,1,24463,90.0,9,18432,-107.252,24.09,0.2,0.0069634626,-1.908146982640028,0.0001,-0.016865167510695757,0.00039845705032348633,2905.28759765625,40,5857.265473937989,0.06005859375
0,1,27067,186.0,10,20480,-105.22969696999999,32.29,0.2,0.0070384745,-1.8884134583175183,0.0001,-0.00841945965657942,0.0003985762596130371,2849.844482421875,45,5069.413838195801,0.02568359375
0,1,29590,186.0,11,22528,-100.43730352999997,30.01,0.2,0.012195487,-1.913345979899168,0.0001,-0.010757599346106872,0.0014172196388244629,2435.7353515625,50,4197.347203063965,0.0830078125
0,1,32125,186.0,12,24576,-98.15278302999997,34.31,0.2,0.005150781,-1.9082807280123233,0.0001,-0.008517866258625873,0.001843869686126709,2151.184326171875,55,4738.80458984375,0.0208984375
0,1,34724,90.0,13,26624,-100.67317646999999,36.73,0.2,0.013069444,-1.8530627146363259,0.0001,-0.013914574761292898,0.00025719404220581055,1910.361328125,60,3543.50120010376,0.1365234375
0,1,37280,306.0,14,28672,-106.03599999999999,35.54,0.2,0.0060817217,-1.8790089286863805,0.0001,-0.009403826994821429,-1.7762184143066406e-05,1834.813720703125,65,3264.3144050598144,0.0330078125
