time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,custom/max_height,time/fps,custom/current_screen,rollout/ep_len_mean,time/iterations,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates
655,2048,-112.44548237931035,9778.0,3,28,70.41379310344827,1,,,,,,,,,,
1314,4096,-94.422823125,9794.0,3,28,72.42857142857143,2,2493.89688949585,0.0001,-0.00423382767039584,-0.0015412569046020508,1083.8865966796875,-0.0733199602807872,0.0008081406,0.2,0.0107421875,5
1968,6144,-83.06279501219512,9794.0,3,28,74.6951219512195,3,2853.38586730957,0.0001,-0.0035631372884381562,0.00964653491973877,1508.8763427734375,-0.073645925312303,0.0009116172,0.2,0.016796875,10
2619,8192,-57.03507618999999,9930.0,3,28,79.28,4,2888.901043701172,0.0001,-0.001037096866639331,0.002577662467956543,1139.4442138671875,-0.07232035244815052,0.0015626027,0.2,0.0208984375,15
3289,10240,-37.19899358000001,9794.0,3,28,80.93,5,3181.1726387023928,0.0001,-0.001819950927165337,-0.008362650871276855,1499.0684814453125,-0.07642494647298008,0.00058080815,0.2,0.00712890625,20
3960,12288,-4.069876600000004,9898.0,3,28,82.58,6,2992.163803100586,0.0001,-0.0009650616470025852,0.004074573516845703,1397.1544189453125,-0.07409534028265626,0.0014380235,0.2,0.01396484375,25
4618,14336,23.419769459999987,9794.0,3,28,83.17,7,3491.131571960449,0.0001,-0.001108088399632834,-0.007372856140136719,1997.572998046875,-0.0842240280820988,0.0007787075,0.2,0.005078125,30
5324,16384,6.607551699999995,9794.0,3,28,81.22,8,3612.0397186279297,0.0001,-0.0007832120172679424,-0.008855462074279785,1798.7562255859375,-0.0766505059436895,0.00032151112,0.2,0.0048828125,35
6005,18432,20.542205199999994,9778.0,3,28,81.4,9,3424.3820014953612,0.0001,-0.0008015106985112652,-0.0016977787017822266,1520.751953125,-0.0807393186725676,0.0013788575,0.2,0.01357421875,40
6674,20480,18.656417419999997,9778.0,3,28,81.57,10,3433.806642150879,0.0001,-0.0021631981362588704,0.002498149871826172,1189.052001953125,-0.07879935294622556,0.000733571,0.2,0.01015625,45
7329,22528,29.874103699999992,9898.0,3,28,82.34,11,3583.700589752197,0.0001,0.0007318586591281928,0.0034950971603393555,2470.62890625,-0.07621706272475422,0.0007530938,0.2,0.00849609375,50
