custom/current_screen,time/time_elapsed,time/total_timesteps,custom/max_height,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl
27,649,2048,9658.0,1,3,75.73076923076923,484.5165862307692,,,,,,,,,,
27,1301,4096,9658.0,2,3,77.3076923076923,523.5408012307691,0.00205078125,85,-0.06204597334144637,0.2,23364.828125,-6.282329559326172e-05,0.0001,39298.93015136719,-0.0006960944170714356,0.00030699602
27,1952,6144,9466.0,3,3,78.3974358974359,551.3457578974361,0.01279296875,90,-0.06749069375218823,0.2,22778.16015625,-5.4955482482910156e-05,0.0001,39094.80596923828,-0.0030658785603009165,0.0010073446
27,2597,8192,9434.0,4,3,79.77,581.4557163400001,0.00419921875,95,-0.06276982151321135,0.2,18725.265625,-3.9458274841308594e-05,0.0001,38733.584741210936,-0.000949890140327625,0.00051056285
27,3256,10240,9466.0,5,3,80.9,604.1939657100002,0.004296875,100,-0.06523354978999123,0.2,20741.236328125,-3.4689903259277344e-05,0.0001,37262.099157714845,-0.0013200897024944424,0.0005408937
27,3910,12288,9466.0,6,3,79.21,571.5930535900002,0.00322265625,105,-0.07174815541366115,0.2,15121.8408203125,-1.9669532775878906e-05,0.0001,37943.78850097656,-0.0007704527757596225,0.00048031833
