rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,custom/current_screen,time/iterations,custom/max_height,time/fps,train/n_updates,train/loss,train/approx_kl,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/learning_rate
-6.548257779999995,15.67,1575,2048,37,1,13282.0,1,,,,,,,,,,
31.243335129999988,16.5,3126,4096,37,2,13026.0,1,312,19845.748046875,0.0012454666,-0.7151152420789003,0.2,-0.0026724577590357514,36723.54356689453,0.050181448459625244,0.003515625,0.0001
70.59847370000001,16.82,4719,6144,37,3,13026.0,1,317,20893.146484375,0.00026622167,-0.7191913943737746,0.2,-0.0010311650112271309,36253.6099609375,0.05105990171432495,0.00068359375,0.0001
48.61215939000001,15.41,6263,8192,37,4,13202.0,1,322,19691.21484375,0.0012336399,-0.7186879135668278,0.2,-0.0027826847712276504,37075.15167236328,0.0562894344329834,0.003515625,0.0001
27.34767347,15.3,7835,10240,37,5,13058.0,1,327,19284.76953125,0.0009568775,-0.7058769080787897,0.2,-0.00186911289638374,32322.819946289062,0.06460738182067871,0.00556640625,0.0001
-37.00122982,15.97,9487,12288,37,6,13258.0,1,332,19360.654296875,0.0007808911,-0.6933291338384151,0.2,-0.002344053555862047,36416.74306640625,0.05634492635726929,0.00283203125,0.0001
39.56279804,16.12,11025,14336,37,7,13258.0,1,337,23669.91796875,0.0009259929,-0.7036102313548327,0.2,-0.0017569260729942472,39823.95541992188,0.058856070041656494,0.00439453125,0.0001
35.48676639,15.62,12643,16384,37,8,13282.0,1,342,19952.0,0.0005974689,-0.7158124938607215,0.2,-0.001560270058689639,39795.9423828125,0.031961679458618164,0.0029296875,0.0001
13.29248027999999,15.59,14165,18432,37,9,13026.0,1,347,28387.884765625,0.0005629296,-0.7308889824897051,0.2,-0.0016996505946735851,39090.92868652344,0.04653584957122803,0.0013671875,0.0001
19.839483360000013,15.37,15728,20480,37,10,13058.0,1,352,14753.68359375,0.00075737195,-0.7020254623144865,0.2,-0.0016668390657287092,38096.21496582031,0.047669053077697754,0.00439453125,0.0001
46.89257060999999,15.97,17331,22528,37,11,13282.0,1,357,17493.962890625,0.0013773288,-0.7105534367263318,0.2,-0.002003072970546782,34828.70369873047,0.04528987407684326,0.00732421875,0.0001
60.576530030000015,18.17,18809,24576,37,12,13058.0,1,362,19996.861328125,0.0005081633,-0.7163311570882798,0.2,-0.000979884882690385,41032.36958007813,0.051921069622039795,0.0041015625,0.0001
11.062281050000003,15.28,20396,26624,37,13,13058.0,1,367,13904.1806640625,0.0019552987,-0.73375188075006,0.2,-0.0014031100305146537,37273.67703857422,0.06082296371459961,0.00556640625,0.0001
-42.60396162999999,16.49,21903,28672,37,14,13026.0,1,372,14049.3447265625,0.0023188228,-0.7136321056634187,0.2,-0.00328551864658948,30067.18145751953,0.07518482208251953,0.0087890625,0.0001
64.45353838,16.7,23385,30720,37,15,13026.0,1,377,15633.6767578125,0.0006778027,-0.7078896284103393,0.2,-0.0020320645795436575,35171.98787841797,0.05564773082733154,0.00654296875,0.0001
23.126401280000003,15.66,24962,32768,37,16,13058.0,1,382,17475.3828125,0.00083839364,-0.726615059375763,0.2,-0.002369262767024338,38140.8414428711,0.03674733638763428,0.00361328125,0.0001
6.691295310000007,14.86,26578,34816,37,17,13202.0,1,387,18776.640625,0.00062798464,-0.690407432615757,0.2,-0.001720116384967696,35747.254943847656,0.052133917808532715,0.005859375,0.0001
49.86805181,16.63,28119,36864,37,18,13058.0,1,392,17505.162109375,0.00049473206,-0.7054203871637583,0.2,-0.0017095145616622177,45981.594458007814,0.044273972511291504,0.003515625,0.0001
-0.4887587100000054,16.48,29729,38912,37,19,13282.0,1,397,15441.865234375,0.0006333334,-0.7160475812852383,0.2,-0.0017270495987759204,29877.34735107422,0.05849945545196533,0.00224609375,0.0001
