rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,custom/current_screen,train/n_updates,train/value_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
-64.87942201999999,9.45,13026.0,1,1,2048,1959,37,,,,,,,,,,
-59.30466175999998,10.68,13026.0,1,2,4096,3855,37,252,26265.379931640626,0.0001,10955.6875,0.022851228713989258,0.004296875,0.2,-0.002099891207762994,0.0016189853,-0.8157552924007178
-26.784865170000003,11.28,13258.0,1,3,6144,5793,37,257,34476.370361328125,0.0001,20725.609375,0.016704976558685303,0.0021484375,0.2,-0.0018244253500597552,0.001253229,-0.7998912248760461
-53.006477569999994,10.05,13026.0,1,4,8192,7817,37,262,29198.17299194336,0.0001,14139.7509765625,0.01817697286605835,0.00478515625,0.2,-0.0016306025645462796,0.0009548777,-0.7470480483025312
-47.1041193,9.66,13058.0,1,5,10240,9823,37,267,26106.145239257814,0.0001,9999.1591796875,0.02148360013961792,0.0,0.2,-0.0013926498679211364,0.00048861303,-0.7322521712630987
-47.71200158,11.89,13258.0,1,6,12288,11695,37,272,32370.267919921876,0.0001,18342.947265625,0.017213106155395508,0.00205078125,0.2,-0.002936669430346228,0.0018591451,-0.7610743399709463
-30.402299360000008,10.5,13058.0,1,7,14336,13757,37,277,35144.15297851562,0.0001,16434.751953125,0.01033872365951538,0.001171875,0.2,-0.002075186718138866,0.0005344991,-0.7833438411355018
-60.881414750000005,9.76,13026.0,1,8,16384,15772,37,282,28331.01417236328,0.0001,13758.1533203125,0.012391626834869385,0.00205078125,0.2,-0.0019268404750619084,0.0009945016,-0.7426980774849653
-51.300696050000006,9.61,13026.0,1,9,18432,17655,37,287,33727.613989257814,0.0001,15560.6513671875,0.022749125957489014,0.00712890625,0.2,-0.0017760332790203392,0.0007134493,-0.7557938914746046
-33.605714070000005,11.23,13026.0,1,10,20480,19563,37,292,32576.30791015625,0.0001,16790.416015625,0.0233994722366333,0.005859375,0.2,-0.002060912863817066,0.0014957165,-0.7732506345957517
-86.25763346999999,9.56,13058.0,1,11,22528,21514,37,297,30547.654174804688,0.0001,15207.1240234375,0.010015130043029785,0.0013671875,0.2,-0.002119083589059301,0.0010172176,-0.7517767123878002
-56.07520153,11.27,13058.0,1,12,24576,23332,37,302,25780.071398925782,0.0001,13484.646484375,0.022241711616516113,0.00341796875,0.2,-0.0010047154282801785,0.0006749368,-0.7764619309455156
