time/iterations,rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,custom/max_height,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction
25,11.71,15,179.03530093999998,23043,25600,1,5138.0,0.2,9.202957153320312e-05,187,0.0001,0.008683243,4480.66015625,-0.4937180592570194,12305.663948946221,-0.005391869434090548,0.062136627906976744
26,11.11,15,145.51618101,23974,26624,1,5114.0,0.2,5.799531936645508e-05,192,0.0001,0.005676074,8765.2890625,-0.48178715221583845,13277.205737304688,-0.0037521027727052568,0.046484375
27,11.51,15,160.21593016,24878,27648,1,5154.0,0.2,9.971857070922852e-05,197,0.0001,0.01257585,6831.5244140625,-0.4892365921288729,14029.188024902343,-0.0071923259878531095,0.0849609375
28,11.55,15,183.56262368,25809,28672,1,5154.0,0.2,6.0439109802246094e-05,202,0.0001,0.011000618,7248.23291015625,-0.4883209362626076,13795.333758544923,-0.009265364555176347,0.079296875
29,10.89,15,159.14942184,26748,29696,1,5154.0,0.2,0.0001189112663269043,207,0.0001,0.0029356903,6389.0458984375,-0.4680184029042721,9682.89126586914,-0.007654295198153705,0.0453125
30,10.99,15,160.02870660000002,27681,30720,1,5154.0,0.2,0.00010454654693603516,209,0.0001,0.038158745,4453.40234375,-0.46272042919607725,11967.704216452206,0.002000925295493182,0.03860294117647059
31,11.11,15,165.43460316,28626,31744,1,5330.0,0.2,3.987550735473633e-05,214,0.0001,0.005653654,7231.95166015625,-0.45236785896122456,12394.66610107422,-0.0014347959542647005,0.0576171875
32,10.96,15,169.17631020999997,29572,32768,1,5330.0,0.2,5.441904067993164e-05,219,0.0001,0.0100966785,10649.8525390625,-0.46310240030288696,13846.353405761718,-0.00667725094826892,0.098046875
33,11.08,15,169.66244985999998,30523,33792,1,5114.0,0.2,5.8770179748535156e-05,220,0.0001,0.010795466,7437.60400390625,-0.4783503200326647,11068.826276506696,-0.002762923150190285,0.04799107142857143
34,11.02,15,136.08583332,31492,34816,1,5154.0,0.2,3.904104232788086e-05,222,0.0001,0.010959548,6126.55078125,-0.47120238840579987,10627.235614483174,-0.0018886202731384681,0.034254807692307696
