time/iterations,rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,custom/max_height,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/explained_variance
18,8.76,21,220.31493591000003,7266.0,18432,0,19362,14519.328125,0.0001,85,-0.005221212678588927,29580.99025878906,-0.34779899306595324,0.0030287236,0.016796875,0.2,8.153915405273438e-05
19,8.78,21,250.95563282999998,7266.0,19456,0,20475,14478.9169921875,0.0001,90,-0.0055839442065916955,28150.446337890626,-0.3338830690830946,0.0026638974,0.014453125,0.2,0.0001068115234375
20,8.81,21,230.73014967000003,7330.0,20480,0,21583,13673.541015625,0.0001,95,-0.003484949504490942,27304.20068359375,-0.3082424089312553,0.0031529982,0.0251953125,0.2,2.5451183319091797e-05
21,8.62,21,217.34251344,7482.0,21504,0,22713,13229.01953125,0.0001,100,-0.0050417144084349275,27315.064599609374,-0.3328523624688387,0.0037848162,0.016796875,0.2,2.8133392333984375e-05
22,8.76,21,210.59785087999998,7482.0,22528,0,23828,14338.75390625,0.0001,103,-0.003229908324364159,28395.945703125,-0.3265458067258199,0.007560792,0.010069444444444445,0.2,1.5795230865478516e-05
23,9.17,21,245.16622741999996,7354.0,23552,0,24895,12965.2763671875,0.0001,108,-0.005008584132883698,26597.356323242188,-0.3778170522302389,0.004804099,0.04765625,0.2,7.18235969543457e-05
24,9.42,21,242.97173629,7394.0,24576,0,25949,12922.7548828125,0.0001,113,-0.005045659729512408,24924.9009765625,-0.38597368746995925,0.005708921,0.044140625,0.2,0.0002454519271850586
25,9.29,21,234.52028470000002,7266.0,25600,0,27014,12219.173828125,0.0001,118,-0.00392908196663484,24619.93505859375,-0.38365916535258293,0.003945999,0.053515625,0.2,1.329183578491211e-05
26,9.26,21,243.4685666,7266.0,26624,0,28075,12017.6015625,0.0001,123,-0.005853328015655279,24581.907958984375,-0.39850257746875284,0.0052910387,0.0580078125,0.2,0.0003535151481628418
27,9.05,21,215.70154751999996,7266.0,27648,0,29170,12245.8486328125,0.0001,128,-0.005482290650252253,24435.972875976564,-0.36572656482458116,0.004941029,0.0541015625,0.2,1.0669231414794922e-05
28,9.08,21,243.50691426000006,7266.0,28672,0,30257,14098.44921875,0.0001,132,-0.004743044437081726,24824.502531828704,-0.3690206121515345,0.0109191025,0.04369212962962963,0.2,0.0001259446144104004
29,8.89,21,248.46768046000005,7354.0,29696,0,31344,11777.6201171875,0.0001,137,-0.0048980280931573365,23589.1724609375,-0.3275899991393089,0.004825776,0.028125,0.2,1.3530254364013672e-05
30,9.14,21,236.52177199,7266.0,30720,0,32434,10729.3564453125,0.0001,142,-0.00568187655590009,22602.46015625,-0.3253128472715616,0.0020055429,0.0345703125,0.2,1.519918441772461e-05
31,8.78,21,238.27900334000003,7266.0,31744,0,33540,11288.6640625,0.0001,147,-0.0038591540418565274,22629.989501953125,-0.33188502341508863,0.003935965,0.024609375,0.2,0.00031250715255737305
32,8.75,21,225.67356933000002,7354.0,32768,0,34637,11719.3037109375,0.0001,152,-0.005543536483310163,23714.46826171875,-0.3238555446267128,0.0026322736,0.0271484375,0.2,1.990795135498047e-05
33,9.0,21,249.33268230000002,7266.0,33792,0,35719,11117.5888671875,0.0001,157,-0.007015421916730702,23691.790454101563,-0.3099697748199105,0.002707667,0.0263671875,0.2,4.291534423828125e-06
34,8.97,21,253.35127102000007,7330.0,34816,0,36807,9832.337890625,0.0001,162,-0.0018803866929374634,20781.459033203126,-0.30795526057481765,0.0011789105,0.01328125,0.2,9.59634780883789e-06
35,9.1,21,216.07919908,7354.0,35840,0,37882,10681.712890625,0.0001,167,-0.003318015194963664,21288.885668945313,-0.33283148128539325,0.007652023,0.0529296875,0.2,0.00024396181106567383
36,9.34,21,267.47276575,7394.0,36864,0,38929,12547.3408203125,0.0001,172,-0.010099083569366485,23510.63447265625,-0.36511177122592925,0.003976154,0.0677734375,0.2,0.00038051605224609375
37,9.23,21,245.65985476999998,7354.0,37888,0,40001,8684.9794921875,0.0001,177,-0.005420256248908117,18275.960180664064,-0.3463458869606256,0.0040423814,0.041015625,0.2,2.396106719970703e-05
