time/time_elapsed,custom/current_screen,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,custom/max_height,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/approx_kl
1953,22,0,3.75,1,-86.82717457999998,1024,7722.0,,,,,,,,,,
3994,22,0,3.35,2,-100.96666664999996,2048,7882.0,0.00234375,30719.126684570314,0.0001,140,15421.4873046875,0.20651674270629883,-0.0023721266887150707,0.2,-0.6284964457154274,0.0022993865
5973,22,0,3.4,3,-105.22046029999997,3072,7778.0,0.053125,30182.876513671876,0.0001,145,14942.1455078125,0.215173602104187,-0.00487143755890429,0.2,-0.6350987061858178,0.006642825
7978,22,0,3.35,4,-87.15538093999997,4096,7722.0,0.0142578125,31044.428271484376,0.0001,150,14761.158203125,0.1975666880607605,-0.0017405304359272122,0.2,-0.6316173695027828,0.001962752
9930,22,0,3.54,5,-83.11304759999999,5120,7722.0,0.0154296875,29370.259985351564,0.0001,155,13766.39453125,0.22026342153549194,-0.002447416464565322,0.2,-0.6716274425387383,0.006511526
11848,22,0,3.52,6,-87.29469837999997,6144,7626.0,0.0767578125,29779.84580078125,0.0001,160,15948.654296875,0.23745274543762207,-0.005561810138169676,0.2,-0.6702747397124768,0.0058067255
