time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,custom/max_height,time/iterations,custom/current_screen,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss
24576,143.322174,2,10126,42.85,9234.0,12,26,0.00576171875,55,0.00076693855,0.2,64035.040258789064,0.0001,0.036789655685424805,-0.08635912223253399,0.00030417037196457387,32809.08984375
26624,153.52711613,2,10968,41.02,9074.0,13,26,0.00830078125,60,0.0009528497,0.2,61061.4705078125,0.0001,0.03267306089401245,-0.07426108929794281,-0.0026832466741325335,38262.9375
28672,166.58202020000002,2,11761,42.37,9074.0,14,26,0.00029296875,65,0.0002641829,0.2,71316.23422851562,0.0001,0.027384579181671143,-0.07742669782601297,-0.0007237203768454492,41482.92578125
30720,199.16097515,2,12565,48.4,9218.0,15,26,0.0037109375,70,0.00053733564,0.2,56964.26884765625,0.0001,0.03639817237854004,-0.07546240924857557,-0.002268796473799739,32641.345703125
32768,244.24819418000004,2,13359,51.83,9074.0,16,26,0.00283203125,75,0.0007135684,0.2,56009.31457519531,0.0001,0.021327316761016846,-0.07973742082249373,-0.0010929245094303043,26830.716796875
34816,288.32827923,2,14142,53.27,9074.0,17,26,0.0044921875,80,0.00044315172,0.2,55619.52700195312,0.0001,0.011919140815734863,-0.08129874567966908,0.00019919506448786705,25025.017578125
36864,289.09235151999997,2,14929,55.64,9074.0,18,26,0.0017578125,85,0.00040865524,0.2,54291.814672851564,0.0001,0.007338523864746094,-0.07896877402672545,-0.0003387282748008147,26345.08203125
38912,287.14546224000003,2,15728,52.87,9234.0,19,26,0.0078125,90,0.0005955822,0.2,52016.665588378906,0.0001,0.004338741302490234,-0.07598688907455653,-0.00199753338820301,32053.962890625
40960,310.73160195,2,16505,48.31,9074.0,20,26,0.005078125,95,0.0005925136,0.2,61315.26135253906,0.0001,0.00384521484375,-0.07640846082940697,-0.0012888545432360842,32494.087890625
43008,365.90729360999995,2,17253,51.16,9074.0,21,26,0.00302734375,100,0.0004023055,0.2,60934.53940429688,0.0001,0.004448115825653076,-0.07298844499746338,-0.0007473803038010373,37872.05859375
45056,365.4594876,2,18032,53.62,9074.0,22,26,0.0009765625,105,0.00023223629,0.2,54023.527404785156,0.0001,0.004456996917724609,-0.0661708883359097,-0.0007672732608625665,29464.732421875
47104,376.46851555000006,2,18805,55.66,9074.0,23,26,0.00283203125,110,0.0006470294,0.2,50907.39104003906,0.0001,0.001492142677307129,-0.07946541267447174,-0.0007061335258185863,21841.6328125
49152,342.77326107999994,2,19567,54.32,9234.0,24,26,0.00087890625,115,0.00033694814,0.2,56143.248754882814,0.0001,0.0015398263931274414,-0.0727915484807454,-0.0008378118160180748,24749.021484375
51200,365.7918881599999,2,20306,53.47,9074.0,25,26,0.00908203125,120,0.00082989316,0.2,55866.085668945314,0.0001,0.001026928424835205,-0.061668195982929316,-0.0024726183066377415,20502.619140625
53248,310.57421015000006,2,21081,49.7,9234.0,26,26,0.0015625,125,0.0004461098,0.2,49044.44912109375,0.0001,0.0016931891441345215,-0.07248035974334925,-0.00022602945973630993,18301.5078125
55296,288.32856356,2,21870,49.16,9082.0,27,26,0.010546875,130,0.0009311576,0.2,58148.32556152344,0.0001,0.0008754134178161621,-0.07159163524629548,-0.0022494465752970426,20061.8671875
57344,365.76463379,2,22632,54.39,9074.0,28,26,0.021484375,135,0.0014749236,0.2,52657.28520507812,0.0001,0.0012252330780029297,-0.0767829392803833,0.0001191926363389939,22535.3203125
59392,410.59170890999997,2,23390,58.14,9234.0,29,26,0.0080078125,140,0.00088802865,0.2,47416.06188964844,0.0001,0.0014451146125793457,-0.0722966130822897,-0.00023144531878642737,20734.603515625
61440,344.07167653,2,24207,51.19,9074.0,30,26,0.0111328125,145,0.0012994362,0.2,50202.1985961914,0.0001,0.0009077787399291992,-0.07543554515577852,-2.2532456205226482e-05,20471.794921875
