custom/max_height,time/fps,rollout/ep_rew_mean,time/time_elapsed,custom/current_screen,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss
90.0,0,-104.46827642,3051,1,3.66,1,2048,,,,,,,,,,
90.0,0,-94.75071625999999,5848,1,5.5,2,4096,10776.080401611329,5100.71435546875,0.015249974,0.2,-0.00244140625,-2.292188447713852,0.2283203125,0.0001,5,-0.04301872987416573
186.0,0,-86.88971233999999,8599,1,5.62,3,6144,8383.085586547852,3148.088134765625,0.011305602,0.2,-0.006710410118103027,-2.2641244024038314,0.13017578125,0.0001,10,-0.036377374263247476
90.0,0,-84.79138302999998,11325,1,6.93,4,8192,7916.700836181641,3347.387451171875,0.010117861,0.2,0.0011368989944458008,-2.2297403320670126,0.0927734375,0.0001,15,-0.030458910448942333
186.0,0,-72.90420400000001,14039,1,8.86,5,10240,6857.462725830078,3506.620849609375,0.0076570567,0.2,0.0014038681983947754,-2.1976196348667143,0.08076171875,0.0001,20,-0.02738964884192683
90.0,0,-64.45994619000001,16707,1,11.78,6,12288,6637.018576049804,2924.9267578125,0.008502275,0.2,0.0009704232215881348,-2.1702654376626014,0.0447265625,0.0001,25,-0.02401886746811215
90.0,0,-42.47430494,19268,1,11.54,7,14336,5417.2481689453125,1784.034912109375,0.0046700835,0.2,0.0014560222625732422,-2.1557411774992943,0.0224609375,0.0001,30,-0.014323165474343114
186.0,0,-45.123127620000005,21833,1,12.17,8,16384,7964.624786376953,4425.1767578125,0.008892644,0.2,0.003329634666442871,-2.155173586308956,0.0984375,0.0001,35,-0.018258081105886958
90.0,0,-31.871745920000002,24333,1,10.27,9,18432,7572.173246765136,4027.724853515625,0.005886621,0.2,0.008155584335327148,-2.1594868436455728,0.0400390625,0.0001,40,-0.007812791803735309
