time/fps,custom/max_height,custom/current_screen,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/value_loss
1,-302.0,0,512,1,8.0,-0.140625,484,,,,,,,,,,
1,-158.0,0,1024,2,8.0,-0.18,979,0.011008253,0.2,0.0003,-0.006312143057584763,-0.027639223326696084,-2.8846695512533187,-0.5225998163223267,10,0.084765625,0.17809869394404815
1,-158.0,0,1536,3,8.0,-0.15,1469,0.008351608,0.2,0.0003,-0.01881352998316288,-0.019134549258160403,-2.8756821274757387,-0.1643131971359253,20,0.02890625,0.2663415256422013
1,-302.0,0,2048,4,8.0,-0.18,1963,0.0068774857,0.2,0.0003,0.07203954458236694,-0.01957072237855755,-2.866365444660187,-0.06595849990844727,30,0.0271484375,0.7048698254395276
1,-302.0,0,2560,5,8.0,-0.09,2454,0.005864427,0.2,0.0003,0.15048974752426147,-0.017050845007179304,-2.8563171178102493,-0.2572211027145386,40,0.023828125,0.4194204297149554
1,-302.0,0,3072,6,8.0,-0.09,2951,0.009146243,0.2,0.0003,-0.034144360572099686,-0.027596937282942234,-2.849985641241074,-48.3569221496582,50,0.0611328125,0.009445168667298276
1,-158.0,0,3584,7,8.0,-0.09,3445,0.00951711,0.2,0.0003,0.1892595887184143,-0.020942979922983794,-2.835493043065071,-0.043294429779052734,60,0.04453125,0.326007295929594
1,-302.0,0,4096,8,8.0,-0.24,3946,0.008676168,0.2,0.0003,-0.059084340929985046,-0.02520098245004192,-2.824234762787819,-59.019378662109375,70,0.0568359375,0.007138112127722707
1,-302.0,0,4608,9,8.0,-0.21,4449,0.0072237924,0.2,0.0003,0.5469827055931091,-0.015436339488951489,-2.817468073964119,0.0021079182624816895,80,0.0240234375,1.0814564824686386
1,-302.0,0,5120,10,8.0,-0.21,4946,0.008869026,0.2,0.0003,-0.044013842940330505,-0.025889706588350235,-2.8202358037233353,-4.450499534606934,90,0.0625,0.04747001771465875
1,-302.0,0,5632,11,8.0,-0.12,5442,0.008880623,0.2,0.0003,0.3075231909751892,-0.01865911498753121,-2.801004761457443,0.0905371904373169,100,0.0318359375,0.6329933412955142
1,-302.0,0,6144,12,8.0,0.0,5930,0.013226196,0.2,0.0003,-0.032433442771434784,-0.028576767339836807,-2.811732846498489,-107.18583679199219,110,0.1064453125,0.030329919717041777
1,-302.0,0,6656,13,8.0,0.0,6420,0.010781096,0.2,0.0003,-0.06653224676847458,-0.02695946353196632,-2.811475622653961,-112.72077941894531,120,0.078125,0.008321403581066988
1,-302.0,0,7168,14,8.0,0.0,6911,0.010886505,0.2,0.0003,-0.050348807126283646,-0.02791701755486429,-2.795041397213936,-113.80760955810547,130,0.087109375,0.003955651001888327
1,-302.0,0,7680,15,8.0,0.0,7406,0.010845226,0.2,0.0003,-0.055016785860061646,-0.033500666974578056,-2.791759732365608,-80.43326568603516,140,0.1185546875,0.00204263956657087
