rollout/ep_rew_mean,custom/max_height,custom/current_screen,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/learning_rate
-197.48441835955052,8714.0,25,2048,1454,1,22.674157303370787,1,,,,,,,,,,
-119.11229129000002,8730.0,25,4096,2803,1,26.36,2,0.02998046875,19291.00390625,175,0.2,42870.64697265625,-1.309292244911194,0.007057639,0.08704328536987305,-0.002159975304675754,0.0001
-173.64692457,8714.0,25,6144,4288,1,22.8,3,0.09404296875,35186.59765625,180,0.2,44151.101733398435,-1.3103341817855836,0.00844898,0.1524466872215271,-0.007515981837059371,0.0001
-186.75467615999997,8714.0,25,8192,5813,1,20.87,4,0.0658203125,21193.0234375,185,0.2,56251.95886230469,-1.3205774590373038,0.008729529,0.11305773258209229,-0.004119912930764258,0.0001
-160.80335283,8730.0,25,10240,7241,1,23.8,5,0.04501953125,22713.70703125,190,0.2,53645.60625,-1.3148055493831634,0.0077047353,0.11286228895187378,-0.006838391249766573,0.0001
-198.85768191,8714.0,25,12288,8677,1,23.5,6,0.06865234375,26951.8515625,195,0.2,42514.96275634765,-1.3443643592298031,0.008311175,0.10410881042480469,-0.0005350546212866903,0.0001
-219.01851198,8714.0,25,14336,10178,1,21.95,7,0.0486328125,17724.587890625,200,0.2,41094.91706542969,-1.3343732714653016,0.008226524,0.10953301191329956,-0.0038942791754379867,0.0001
-182.41182715,8714.0,25,16384,11753,1,18.46,8,0.0611328125,25981.58984375,205,0.2,41557.33607177735,-1.3570765569806098,0.008015663,0.061442792415618896,-0.003145928354933858,0.0001
-156.66203054999997,8714.0,25,18432,13280,1,21.74,9,0.0427734375,24686.861328125,210,0.2,59118.46098632812,-1.3204037338495254,0.007871747,0.11921894550323486,-0.006951944204047322,0.0001
-151.57169251000002,8714.0,25,20480,14654,1,26.04,10,0.02412109375,18689.9140625,215,0.2,59942.15480957031,-1.3282043613493442,0.006642809,0.11881834268569946,-0.005474694329313934,0.0001
-145.49050979,8714.0,25,22528,16116,1,22.39,11,0.0203125,26379.880859375,220,0.2,36988.5680847168,-1.326847867667675,0.0045288512,0.1469266414642334,-0.004105151044495869,0.0001
-150.87139598,8714.0,25,24576,17670,1,20.3,12,0.00400390625,26482.552734375,225,0.2,50199.03715820312,-1.3383623018860817,0.0035034772,0.10969281196594238,-0.0016539178766834084,0.0001
-111.81747265,8730.0,25,26624,19173,1,21.19,13,0.0001953125,15951.7177734375,230,0.2,53496.86965332031,-1.3099893450737,0.0012067597,0.07982242107391357,-0.0010542106872890144,0.0001
-35.885938949999996,8730.0,25,28672,20609,1,23.76,14,9.765625e-05,22114.611328125,235,0.2,53410.36042480469,-1.3304091706871986,0.0023858796,0.12783467769622803,-0.0012404098059050738,0.0001
-126.79013177,8714.0,25,30720,22140,1,20.49,15,0.012890625,32674.1171875,240,0.2,61480.96350097656,-1.3381712190806865,0.0033041402,0.16530239582061768,-0.0051347588567296045,0.0001
