time/fps,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,custom/max_height,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/learning_rate
0,36,-65.29206569,2048,3232,12658.0,1,4.89,,,,,,,,,,
0,36,-65.85108948999999,4096,6559,12658.0,2,4.69,0.00595703125,0.18606561422348022,-0.005069154142984189,0.00255325,1763.8639659881592,0.2,157,-2.2515845030546187,862.5247192382812,0.0001
0,36,-70.38674457,6144,9878,12722.0,3,4.68,0.0138671875,0.23516052961349487,-0.0072574959835037586,0.0032506776,1471.9225994110107,0.2,162,-2.253527781367302,798.4405517578125,0.0001
0,36,-64.69714965000001,8192,13140,12786.0,4,4.22,0.02822265625,0.23409515619277954,-0.005810792330885306,0.005074274,1548.6130332946777,0.2,167,-2.2577428728342057,634.9351196289062,0.0001
0,36,-67.38694319999999,10240,16543,12658.0,5,4.8,0.0248046875,0.2605970501899719,-0.008676544381887651,0.0061116694,1350.147045135498,0.2,172,-2.2327148213982584,868.6864624023438,0.0001
0,36,-61.509204759999996,12288,19934,12714.0,6,4.8,0.00458984375,0.2709469199180603,-0.004524352925363928,0.004021076,1408.3096103668213,0.2,177,-2.250750930607319,692.9824829101562,0.0001
0,36,-65.66093282,14336,23336,12714.0,7,4.92,0.01123046875,0.25748616456985474,-0.004175177973229438,0.0028557226,1579.6296195983887,0.2,182,-2.2473640933632852,832.8194580078125,0.0001
0,36,-57.699941249999995,16384,26819,12722.0,8,5.04,0.0,0.2688536047935486,-0.005264977752813138,0.0015065505,1447.556251144409,0.2,187,-2.2327877029776575,430.9638671875,0.0001
0,36,-58.67217951,18432,30219,12658.0,9,4.7,0.00078125,0.32187342643737793,-0.003217311220942065,0.0026450367,1410.6898429870605,0.2,192,-2.241318519413471,615.105224609375,0.0001
0,36,-62.85432725,20480,33588,12714.0,10,4.53,0.0,0.29640454053878784,-0.0007806063629686832,0.0023661836,1524.6973762512207,0.2,197,-2.2374085649847983,609.0401611328125,0.0001
0,36,-59.58480046,22528,36831,12658.0,11,5.18,0.0056640625,0.32721877098083496,-0.0042684131214627994,0.0019889465,1373.5803565979004,0.2,202,-2.2359124168753626,612.4714965820312,0.0001
0,36,-65.87421133,24576,39878,12714.0,12,5.49,0.00927734375,0.2843403220176697,-0.004471518818172626,0.0057802964,1621.847983932495,0.2,207,-2.246127079427242,965.5307006835938,0.0001
0,36,-57.8238394,26624,43150,12658.0,13,4.78,0.00400390625,0.2970201373100281,-0.0027919868916796986,0.0048676045,1464.9833995819092,0.2,212,-2.2502338603138923,678.1642456054688,0.0001
0,36,-64.87536095,28672,46508,12658.0,14,4.96,0.00693359375,0.2874879240989685,-0.008712895530334209,0.003644107,1536.836580657959,0.2,217,-2.24576672911644,558.6881103515625,0.0001
0,36,-63.85985439999999,30720,49848,12786.0,15,4.7,0.0140625,0.3397815227508545,-0.006743238339549862,0.003826722,1452.8296527862549,0.2,222,-2.241953805088997,622.1531982421875,0.0001
0,36,-61.49404087,32768,53199,12722.0,16,4.63,0.02412109375,0.27949434518814087,-0.007414525741478428,0.007819539,1687.761111831665,0.2,227,-2.2349963665008543,754.0443115234375,0.0001
0,36,-61.315330180000004,34816,56491,12722.0,17,5.82,0.04580078125,0.33272141218185425,-0.005394099917612039,0.005645504,1597.239294052124,0.2,232,-2.230128489434719,738.866943359375,0.0001
0,36,-63.67904229,36864,59530,12658.0,18,5.69,0.01220703125,0.26970523595809937,-0.00449444966216106,0.0036537652,1831.689028930664,0.2,237,-2.23950437605381,607.09619140625,0.0001
0,36,-59.45825003000001,38912,62975,12658.0,19,4.96,0.00029296875,0.28237372636795044,-0.0021949961432255805,0.0018354922,1802.8260425567628,0.2,242,-2.2412903547286986,846.0286865234375,0.0001
0,36,-61.77721471999999,40960,66108,12658.0,20,5.94,0.00712890625,0.19869446754455566,-0.00626117461360991,0.0040269615,2558.0504146575927,0.2,247,-2.2353614166378977,867.0789794921875,0.0001
0,36,-64.10279333,43008,69263,12714.0,21,5.17,0.0076171875,0.32295870780944824,-0.005000933258270379,0.0027547963,1476.763111114502,0.2,252,-2.21656394302845,719.8590698242188,0.0001
0,36,-59.905535480000005,45056,72479,12658.0,22,5.19,0.005859375,0.31442558765411377,-0.005074881779728457,0.0040251566,1542.125333404541,0.2,257,-2.2108904853463174,1165.4267578125,0.0001
0,36,-61.96639667999999,47104,75695,12658.0,23,5.56,0.01787109375,0.22963786125183105,-0.003380599306547083,0.004006861,2012.591707611084,0.2,262,-2.2243972569704056,645.9205322265625,0.0001
0,36,-73.37449691,49152,78860,12658.0,24,5.03,9.765625e-05,0.27454668283462524,-0.0024681811279151588,0.0032294667,1763.4758087158202,0.2,267,-2.2284192889928818,884.2755126953125,0.0001
0,36,-70.10996712,51200,81828,12658.0,25,5.67,0.0013671875,0.26214778423309326,-0.004934356498415582,0.0015696748,1598.809135055542,0.2,272,-2.2040909826755524,831.7696533203125,0.0001
