time/iterations,time/time_elapsed,custom/max_height,custom/current_screen,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,1449,2402.0,7,19.54,56.81069076,2048,1,,,,,,,,,,
2,2872,2402.0,7,20.59,86.89938741000002,4096,1,0.02283653846153846,7074.15478515625,1,-0.7400361253665044,0.2,0.0001,0.008483192,-0.0014351606369018555,0.00015898249470270597,14357.839393028846
3,4353,2306.0,7,17.89,41.52028791,6144,1,0.06708984375,7593.34912109375,6,-0.7661207120865583,0.2,0.0001,0.014225205,-0.0002778768539428711,-0.0015561667882138864,12910.091436767578
4,5843,2306.0,7,16.51,38.154529079999996,8192,1,0.08304794520547945,7445.2158203125,9,-0.8024280773450251,0.2,0.0001,0.01833494,0.002751469612121582,-0.006635168618331216,13951.384444563357
5,7270,2306.0,7,20.47,93.86177617000001,10240,1,0.01953125,7756.4052734375,10,-0.7849777936935425,0.2,0.0001,0.0058629983,0.004895150661468506,-0.0033639505272731185,14448.213134765625
6,8715,2202.0,7,19.6,74.56677746,12288,1,0.0578125,5725.11669921875,15,-0.7544291343539953,0.2,0.0001,0.011079574,0.012198388576507568,-0.002087144722463563,12789.284356689453
