rollout/ep_rew_mean,custom/current_screen,time/total_timesteps,custom/max_height,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss
-169.55466666999996,37,2048,13026.0,1,0,6193,2.53,,,,,,,,,,
-168.67753090999994,37,4096,13058.0,2,0,11777,2.54,0.2,0.00034433603286743164,-0.7535360217094421,17176.759765625,5,0.0001,36581.35461425781,0.016635176,0.23994140625,-0.02521859953412786
-167.80066666999994,37,6144,13058.0,3,0,17034,2.63,0.2,0.005005240440368652,-0.8083988137543201,12886.341796875,10,0.0001,30965.96746826172,0.01098498,0.21962890625,-0.02895646808319725
-161.99537999999995,37,8192,13026.0,4,0,21642,3.18,0.2,0.0019516348838806152,-0.8606135148555041,15194.40234375,15,0.0001,29347.847521972657,0.015063558,0.1576171875,-0.01923434643249493
-154.65399999999997,37,10240,13026.0,5,0,25676,3.71,0.2,0.0007753372192382812,-0.9058401861052582,15275.8154296875,18,0.0001,29374.921648550724,0.017036125,0.09375,-0.014635898793737093
-162.82399999999996,37,12288,13258.0,6,0,29251,3.76,0.2,0.0005061626434326172,-0.9212461318820715,13202.7841796875,23,0.0001,27146.558032226563,0.009410838,0.11748046875,-0.01503370980208274
-146.87096173999996,37,14336,13058.0,7,0,32661,4.39,0.2,0.0001804828643798828,-0.9264822188764811,12953.77734375,28,0.0001,26157.694897460937,0.0070759105,0.1193359375,-0.011810263176448644
-150.27044443999998,37,16384,13058.0,8,0,35928,4.81,0.2,0.0001685023307800293,-0.9403004042804242,12026.3466796875,33,0.0001,25768.280981445314,0.011769187,0.16259765625,-0.015364803452393971
-121.14901142999996,37,18432,13026.0,9,0,38746,5.76,0.2,0.0002357959747314453,-0.9152994830161333,11689.9970703125,38,0.0001,26193.232556152343,0.010581701,0.1380859375,-0.016539273399394004
