rollout/ep_rew_mean,time/total_timesteps,custom/max_height,rollout/ep_len_mean,custom/current_screen,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/value_loss,train/policy_gradient_loss
86.76083473809524,2048,10130.0,24.30952380952381,29,1097,1,1,,,,,,,,,,
44.789197189999996,4096,10130.0,24.38,29,2208,1,2,0.2,0.0052734375,-0.32703856052830815,0.00082925055,0.0001,5639.0380859375,35,0.0022209882736206055,10610.980252075195,-0.0009192099852953107
89.94540305000001,6144,10130.0,25.54,29,3280,1,3,0.2,0.0537109375,-0.327355142403394,0.0028102673,0.0001,4574.29541015625,40,-0.00018537044525146484,10286.579595947265,-0.0010240676056127995
96.71687524000001,8192,10130.0,26.47,29,4307,1,4,0.2,0.011328125,-0.31854353528469803,0.0017254506,0.0001,4559.00390625,45,0.0013667941093444824,10134.977627563476,-0.00232815456984099
99.89595744,10240,10242.0,26.68,29,5359,1,5,0.2,0.01875,-0.3314496411010623,0.0022844612,0.0001,4775.93017578125,50,0.0008890628814697266,9503.179537963868,4.418158350745216e-05
90.04998757,12288,10242.0,26.76,29,6391,1,6,0.2,0.041796875,-0.3342713161371648,0.0048453724,0.0001,4730.32861328125,55,0.00027614831924438477,9610.435202026367,-0.001305740897078067
96.90138150000001,14336,10130.0,27.77,29,7445,1,7,0.2,0.06785714285714285,-0.3491907707282475,0.02561959,0.0001,5391.49853515625,57,0.0002510547637939453,9150.227790178571,0.005513176162328039
93.11746265,16384,10130.0,30.68,29,8475,1,8,0.2,0.03239889705882353,-0.3535615928909358,0.02455754,0.0001,4833.61376953125,60,-2.1457672119140625e-06,8942.978422277114,-0.0018328439156689187
90.71618086999999,18432,10130.0,34.58,29,9391,1,9,0.2,0.0341796875,-0.3627699283882976,0.0033421838,0.0001,3989.282958984375,65,0.0003116726875305176,8154.444650268555,0.0009753852267749607
124.90795086,20480,10130.0,29.09,29,10513,1,10,0.2,0.0322265625,-0.3277969192713499,0.0026444774,0.0001,2794.8564453125,70,0.00022149085998535156,7084.585729980468,0.00039262585778487846
95.20955494999998,22528,10130.0,24.28,29,11702,1,11,0.2,0.0025390625,-0.3869008131325245,0.00047013615,0.0001,4692.83544921875,75,0.0011859536170959473,8937.134405517578,-0.0013331617752555757
105.90301452,24576,10130.0,26.15,29,12812,1,12,0.2,0.01279296875,-0.39902607947587965,0.0015216416,0.0001,4488.14892578125,80,1.9550323486328125e-05,10058.78542175293,-7.530713628511876e-05
45.84472524999999,26624,10130.0,20.69,29,14117,1,13,0.2,0.02353395061728395,-0.4055577336270132,0.007432131,0.0001,4904.05126953125,83,0.0002853870391845703,9002.759663146218,0.0016539826770715508
94.63940268999998,28672,10130.0,21.4,29,15390,1,14,0.2,0.04794921875,-0.4499466486275196,0.003690843,0.0001,7551.98876953125,88,4.857778549194336e-05,12225.988336181641,-0.0066004320455249395
133.10504373999999,30720,10130.0,22.67,29,16620,1,15,0.2,0.0232421875,-0.44045550264418126,0.0016651583,0.0001,6158.30712890625,93,0.0008516907691955566,11023.171405029298,-0.0005947153666056692
152.24910021,32768,10130.0,22.29,29,17886,1,16,0.2,0.00986328125,-0.4160264674574137,0.002272463,0.0001,5680.5595703125,98,0.000743865966796875,9716.734246826172,-0.004080666057416238
134.66540128999998,34816,10130.0,22.22,29,19132,1,17,0.2,0.0,-0.44584357645362616,0.00036271132,0.0001,5021.84912109375,103,0.00039643049240112305,9244.83243713379,-0.0007433883976773359
138.97051759,36864,10130.0,23.64,29,20317,1,18,0.2,0.00634765625,-0.44091336615383625,0.0010372057,0.0001,3734.32470703125,108,6.633996963500977e-05,9243.945013427734,-0.003134146291995421
117.91364503999999,38912,10130.0,26.07,29,21452,1,19,0.2,0.00986328125,-0.4364831684157252,0.0018511814,0.0001,4706.96484375,113,0.00014275312423706055,8342.126779174805,-0.0009161774447420612
84.32890267,40960,10130.0,30.8,29,22427,1,20,0.2,0.04175,-0.4416450641155243,0.012560422,0.0001,5774.7451171875,117,0.00013595819473266602,8754.9708359375,0.0034839784502983095
89.42340718,43008,10130.0,26.95,29,23581,1,21,0.2,0.03994140625,-0.3929881239309907,0.0019107821,0.0001,3027.252685546875,122,0.00015014410018920898,7197.744677734375,-0.0019924062784411945
109.74371903000001,45056,10130.0,27.45,29,24677,1,22,0.2,0.01708984375,-0.4280100669711828,0.0009248492,0.0001,4500.220703125,127,0.00022083520889282227,9681.26131286621,-0.0021935264609055593
101.85221078999999,47104,10130.0,32.41,29,25707,1,23,0.2,0.017780172413793104,-0.441582425144212,0.008539835,0.0001,4966.98779296875,131,0.003867030143737793,8033.795662715517,-0.0026079013899514645
