rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
236.56825393,5.53,2048.0,1.0,0,2267,,,,,,,,,,
234.03419907,5.52,4096.0,2.0,0,4541,-0.66812654501862,0.2,2.0,0.0001,19778.470703125,42376.552734375,0.012166418,-0.0105184153912382,-0.0003222227096557,0.0203993055555555
-84.95047619,2.74,6144.0,3.0,0,3817,,,,,,,,,,
-36.24767818999999,3.55,8192.0,4.0,0,6827,-0.7042553019523621,0.2,8.0,0.0001,18932.14453125,35532.01171875,0.007444176,-0.0254775412008166,0.0143119096755981,0.04125
-35.27620391999999,3.82,10240.0,5.0,0,2722,,,,,,,,,,
55.454777840000006,5.7,12288.0,6.0,0,4888,-0.824172212017907,0.2,16.0,0.0001,14490.4599609375,29758.717230902777,0.012442728,-0.0425123698078095,0.0248721837997436,0.1805555555555555
75.80291783000001,6.31,14336.0,7.0,1,2022,,,,,,,,,,
116.26000384000002,6.8,16384.0,8.0,1,3951,-0.7942638125270605,0.2,34.0,0.0001,12159.3984375,25076.394494628905,0.0054201176,-0.0161979849101044,0.0033546686172485,0.0373046875
91.22811017000002,7.38,18432.0,9.0,1,5865,-0.7473756916821003,0.2,39.0,0.0001,9498.3525390625,22072.40628662109,0.0054357336,-0.0178819300519535,0.0014320015907287,0.04951171875
136.18612418000004,7.33,20480.0,10.0,1,7720,-0.7316085055470467,0.2,44.0,0.0001,10622.41015625,21659.80009765625,0.0045227436,-0.0143885602767113,0.0003952980041503,0.04365234375
170.75788664,8.3,22528.0,11.0,1,9491,-0.7049809113144875,0.2,49.0,0.0001,10158.353515625,19789.279528808594,0.004410282,-0.0126437689876183,0.0003725886344909,0.03505859375
157.16671193,7.18,24576.0,12.0,1,11419,-0.6983121559023857,0.2,54.0,0.0001,9177.0595703125,19187.53231201172,0.0045269458,-0.013837427526596,0.000142216682434,0.0734375
169.815178,7.93,26624.0,13.0,1,13254,-0.6533413127064704,0.2,59.0,0.0001,9621.32421875,19458.20509033203,0.0031111226,-0.0112046770431334,0.0002075433731079,0.0330078125
172.86978591,7.85,28672.0,14.0,1,15092,-0.6266337420791388,0.2,64.0,0.0001,8550.5810546875,17498.408764648437,0.0045807664,-0.0080355731537565,0.0001472830772399,0.02216796875
199.41395518,8.18,30720.0,15.0,1,16892,-0.6092323706201885,0.2,67.0,0.0001,8537.994140625,17170.73474651834,0.0047079795,-0.0054930929985383,0.0001031160354614,0.0168138586956521
191.1958298,8.0,32768.0,16.0,1,18696,-0.592656530680195,0.2,69.0,0.0001,7649.18603515625,15463.517105594758,0.00705387,-0.0001492537107438,0.0002022981643676,0.0068044354838709
175.25988160999998,7.66,34816.0,17.0,1,20559,-0.5641519151628017,0.2,74.0,0.0001,7302.35107421875,15328.630877685548,0.0036046621,-0.0068778572895098,0.0001453757286071,0.019921875
176.66967339999997,7.75,36864.0,18.0,1,22417,-0.5312006050720811,0.2,79.0,0.0001,7013.4638671875,15265.894665527345,0.0019400592,-0.0073177025464246,0.0001038312911987,0.014453125
208.31759259,8.07,38912.0,19.0,1,24242,-0.5339579604566097,0.2,84.0,0.0001,7291.92724609375,14613.107977294922,0.0014953741,-0.0041089486214332,6.663799285888672e-05,0.0154296875
165.22967094,6.98,40960.0,20.0,1,26180,-0.5293974131345749,0.2,86.0,0.0001,6200.630859375,13223.439127604166,0.044862907,-0.0012369089915106,8.291006088256836e-05,0.0056423611111111
170.76114670999996,7.15,43008.0,21.0,1,28091,-0.5360882017347548,0.2,87.0,0.0001,8039.990234375,14790.307508680557,0.0048995,0.0053558061934179,6.818771362304688e-05,0.0095486111111111
200.25384076999995,7.74,45056.0,22.0,1,29935,-0.5235090288850996,0.2,88.0,0.0001,7796.0830078125,14371.167209201389,0.0036570223,-0.0021891040658509,5.501508712768555e-05,0.0150462962962962
192.01060848999995,7.87,47104.0,23.0,1,31801,-0.5337631599656467,0.2,89.0,0.0001,6500.91796875,13440.10907192888,0.005515387,0.004161931991834,5.173683166503906e-05,0.03125
126.54317889000004,6.67,49152.0,24.0,1,33835,-0.5299451791721842,0.2,90.0,0.0001,6420.09521484375,13162.046280570652,0.006331507,0.0007552048798812,6.324052810668945e-05,0.0251358695652173
158.03166376,7.22,51200.0,25.0,1,35780,-0.5216155307633537,0.2,91.0,0.0001,8399.3251953125,16507.897600446428,0.024297029,0.0030166025140455,9.834766387939451e-06,0.0200892857142857
178.97137803,7.5,53248.0,26.0,1,37673,-0.5175731897354126,0.2,92.0,0.0001,8521.1630859375,15724.3369140625,0.008340519,-0.002526488341391,2.747774124145508e-05,0.003125
182.68854107999996,7.75,55296.0,27.0,1,39485,-0.52513435341063,0.2,93.0,0.0001,6960.49072265625,14523.06798735119,0.006674474,-0.0045497524330303,3.743171691894531e-05,0.0483630952380952
201.18706062,7.59,57344.0,28.0,1,41374,-0.5008618804350705,0.2,98.0,0.0001,6214.30615234375,12248.609911421654,0.017707372,-0.0118472137075232,7.975101470947266e-05,0.079775528169014
200.65716301,7.46,59392.0,29.0,1,43291,-0.4788005948066711,0.2,99.0,0.0001,5903.287109375,13275.926171875,0.027133727,0.0131727896630764,2.8312206268310547e-05,0.015625
186.95458002000004,7.51,61440.0,30.0,1,45180,-0.4849062306540353,0.2,100.0,0.0001,7000.943359375,12878.705775669643,0.007428717,-0.002032708376646,7.241964340209961e-05,0.0133928571428571
204.71212402,7.74,63488.0,31.0,1,47038,-0.489073959844453,0.2,101.0,0.0001,7397.533203125,13034.8681640625,0.0084562395,0.0021468691660889,4.4465065002441406e-05,0.0066964285714285
