time/fps,rollout/ep_rew_mean,custom/current_screen,time/iterations,custom/max_height,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/loss
0,-182.41338887999996,16,1,5562.0,4.69,3478,2048,,,,,,,,,,
0,-138.02578464999996,16,2,5618.0,5.95,6668,4096,0.0001,0.0017580986022949219,32176.38328857422,0.2,5,-0.013006053760182112,-0.7100770104676485,0.12724609375,0.010838664,14451.4287109375
0,-149.13260618999996,16,3,5474.0,6.17,9645,6144,0.0001,0.05354028940200806,28792.369177246095,0.2,10,-0.012730998062761501,-0.7273720465600491,0.1046875,0.010201039,13283.26953125
0,-106.59779749999998,16,4,5618.0,7.18,12463,8192,0.0001,0.11366641521453857,26186.16064453125,0.2,15,-0.017026616423390806,-0.7195539891719818,0.10927734375,0.013159192,13214.7578125
0,-83.53259249000001,16,5,5562.0,8.48,15171,10240,0.0001,0.16979002952575684,24508.52626953125,0.2,20,-0.011017791670747101,-0.7018566858023405,0.0685546875,0.0057747466,12449.05859375
0,-45.32084239000001,16,6,5722.0,9.06,17830,12288,0.0001,0.2154025435447693,22961.40264892578,0.2,25,-0.009710659983102232,-0.6758421264588833,0.05380859375,0.0068108095,11385.34375
0,-100.56864551999999,16,7,5474.0,7.52,20563,14336,0.0001,0.2533079981803894,21310.890258789062,0.2,30,-0.010630664095515385,-0.649403665959835,0.06064453125,0.007777971,11067.400390625
0,-65.38657757,16,8,5474.0,9.16,23122,16384,0.0001,0.2731321454048157,21381.987243652344,0.2,35,-0.009940187452593818,-0.648227883130312,0.0775390625,0.00791963,9732.41015625
0,-11.955770599999996,16,9,5602.0,10.1,25585,18432,0.0001,0.29024380445480347,20593.297521972658,0.2,40,-0.011123300774488597,-0.6527205277234316,0.073828125,0.0066730836,9422.3662109375
0,-44.79147678,16,10,5618.0,9.75,28141,20480,0.0001,0.3336387872695923,18878.889392089844,0.2,45,-0.009664995281491428,-0.6546966187655926,0.0748046875,0.005434688,9445.7490234375
0,32.04428858,16,11,5530.0,11.94,30442,22528,0.0001,0.34225994348526,19554.834997558595,0.2,50,-0.00871592178591527,-0.6624836504459382,0.049609375,0.005151529,10336.3916015625
0,21.68167386000001,16,12,5530.0,10.82,32896,24576,0.0001,0.3666386008262634,17905.928131103516,0.2,55,-0.00683235926553607,-0.638209592923522,0.04130859375,0.004897601,8466.916015625
0,4.648719640000001,16,13,5722.0,10.29,35362,26624,0.0001,0.2961040139198303,18873.183026123046,0.2,60,-0.0027003912546206266,-0.6277783170342446,0.00771484375,0.001270191,9571.2041015625
0,-52.22994735,16,14,5722.0,9.12,37887,28672,0.0001,0.34396880865097046,18846.637890625,0.2,65,-0.0036940619815140963,-0.6283257521688939,0.0115234375,0.0019371611,9302.0634765625
