time/fps,rollout/ep_rew_mean,time/iterations,custom/max_height,time/total_timesteps,rollout/ep_len_mean,custom/current_screen,time/time_elapsed,train/value_loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction
1,172.65578499999995,1,5154.0,1024,9.89,15,1017,,,,,,,,,,
1,206.47741796,2,5114.0,2048,9.92,15,2039,22625.3919921875,-0.508079282566905,0.008115262,-0.011252621101448312,11328.865234375,0.0001,0.2,15,0.002118349075317383,0.0533203125
1,186.49038388999995,3,5154.0,3072,9.78,15,3067,22851.510522460936,-0.5183190394192934,0.011982098,-0.014934921322856098,11097.3876953125,0.0001,0.2,20,0.0009985566139221191,0.0611328125
1,194.66072470999998,4,5138.0,4096,10.55,15,4060,22007.24318847656,-0.5455592960119248,0.003760201,-0.006648671498987823,10760.29296875,0.0001,0.2,25,0.00020235776901245117,0.025390625
1,170.36609095000003,5,5114.0,5120,9.73,15,5108,20740.66848144531,-0.5512782827019691,0.0061763832,-0.010037915036082267,10697.18359375,0.0001,0.2,30,0.0031003952026367188,0.04609375
1,198.18208895,6,5330.0,6144,9.7,15,6142,20827.3634765625,-0.5433109827339649,0.0050389306,-0.007743280485738069,10576.7529296875,0.0001,0.2,35,0.0004544854164123535,0.0392578125
0,190.33400152,7,5330.0,7168,9.74,15,7170,20709.107080078124,-0.5168958004564047,0.0055054924,-0.007233807526063174,10071.716796875,0.0001,0.2,40,-5.364418029785156e-05,0.03359375
0,199.33856501000002,8,5154.0,8192,10.12,15,8205,20255.086059570312,-0.5134774543344974,0.00519742,-0.009052025811979548,9813.087890625,0.0001,0.2,45,-2.181529998779297e-05,0.0474609375
0,209.31142183999992,9,5154.0,9216,9.87,15,9229,19478.70703125,-0.5155252501368522,0.0063261497,-0.005824233347084373,9590.0908203125,0.0001,0.2,50,0.00018221139907836914,0.0267578125
