rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/max_height,time/time_elapsed,custom/current_screen,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/approx_kl
-0.24,1,8.0,18432,-302.0,18406,0,36,0.00024133920669555664,0.0634765625,-3.1246484965085983,0.513104353917879,350,-0.015578844491392374,0.0003,0.2,-0.008889317512512207,0.009087393
-0.15,1,8.0,18944,-302.0,18920,0,37,-0.14108002185821533,0.0841796875,-3.101293107867241,0.2551821879926138,360,-0.019309988239547236,0.0003,0.2,0.1948830932378769,0.008725955
-0.12,1,8.0,19456,-302.0,19436,0,38,-0.04832279682159424,0.1501953125,-3.082654657959938,0.2778903549478855,370,-0.02476371761003975,0.0003,0.2,-0.00729760155081749,0.014778901
-0.03,1,8.0,19968,-302.0,19937,0,39,0.018059074878692627,0.149609375,-3.1258241295814515,0.30758406924433074,380,-0.016885342809837313,0.0003,0.2,-0.03922877460718155,0.010498757
-0.06,1,8.0,20480,-302.0,20438,0,40,-0.09558510780334473,0.2091796875,-3.111481657624245,0.06139544975012541,390,-0.03265220903558656,0.0003,0.2,-0.04830314218997955,0.019404963
-0.15,1,8.0,20992,-302.0,20957,0,41,-0.05855214595794678,0.13984375,-3.1109831482172012,0.059106483715004286,400,-0.021284478274174033,0.0003,0.2,0.02617945708334446,0.011891091
0.0,1,8.0,21504,-302.0,21463,0,42,-0.03827035427093506,0.080859375,-3.089514282345772,0.3616287645476405,410,-0.021778859430924058,0.0003,0.2,0.13829690217971802,0.010619763
0.0,1,8.0,22016,-302.0,21965,0,43,-52.04059982299805,0.1322265625,-3.084844082593918,0.007793735385348555,420,-0.029808754101395607,0.0003,0.2,-0.05313359573483467,0.011561945
0.0,1,8.0,22528,-302.0,22467,0,44,-77.86993408203125,0.04921875,-3.0635072946548463,0.0010141291866602841,430,-0.029204900935292245,0.0003,0.2,-0.060632023960351944,0.007451111
0.0,1,8.0,23040,-302.0,22980,0,45,-87.93058776855469,0.153515625,-3.0764195203781126,0.0001020629136860407,440,-0.03238839640980586,0.0003,0.2,-0.05183965340256691,0.014378086
-0.06,1,8.0,23552,-302.0,23490,0,46,-114.07321166992188,0.074609375,-3.096869522333145,2.1187026867153236e-05,450,-0.02764751052018255,0.0003,0.2,-0.04853305593132973,0.01317615
