custom/current_screen,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,custom/max_height,time/time_elapsed,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/approx_kl
1,4.97,-3.399691200000001,0,2048,90.0,3982,1,,,,,,,,,,
1,4.29,-24.21491684,0,4096,186.0,7947,2,7743.32861328125,-1.450455079600215,4.959292709827423e-09,3e-05,0.003602921962738037,0.0,0.2,10,15758.897286987305,0.0
1,4.66,4.8166814199999965,0,6144,90.0,12148,3,7977.39306640625,-1.3851446967571974,-0.02632953190623084,3e-05,0.023774802684783936,0.137060546875,0.2,20,13567.270074462891,0.014887601
1,4.9,37.37593126,0,8192,90.0,16400,4,7601.17333984375,-1.292275033146143,-0.02756985738524236,3e-05,0.04552936553955078,0.160595703125,0.2,30,17867.954132080078,0.015279177
1,4.76,30.38096266,0,10240,186.0,20806,5,9613.751953125,-1.216778851673007,-0.015690211948822252,3e-05,0.056465744972229004,0.08798828125,0.2,40,18350.32921447754,0.009991299
1,5.21,48.21967153000001,0,12288,90.0,25165,6,7501.4033203125,-1.1550584074109793,-0.01872461846214719,3e-05,0.047767043113708496,0.09970703125,0.2,50,17435.697177124024,0.0082851015
1,5.81,58.02160230999999,0,14336,186.0,29558,7,9024.7705078125,-1.103618975356221,-0.014669857565604617,3e-05,0.06272590160369873,0.06796875,0.2,60,18492.09816894531,0.0071315505
1,5.99,69.37007011,0,16384,306.0,33977,8,8736.9384765625,-1.0317800668999553,-0.011910689703654498,3e-05,0.03629159927368164,0.046826171875,0.2,70,18197.397210693358,0.0053286953
