custom/max_height,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate
2738.0,2419,8,231.02410060999998,10.5,0,1,2048,,,,,,,,,,
2770.0,4996,8,195.49983687999998,10.2,0,2,4096,48,-0.7608860877976902,27474.373046875,0.015648684,0.2,0.026494565217391304,56741.410948822464,0.0010603301335072172,2.5093555450439453e-05,0.0001
2698.0,7253,8,237.37016531000006,10.4,0,3,6144,49,-0.7655283367192304,28835.53515625,0.0060175178,0.2,0.026041666666666668,57187.13946759259,-4.978874629294431e-05,3.653764724731445e-05,0.0001
2770.0,9530,8,231.45477012999999,10.49,0,4,8192,51,-0.7131009264425798,27377.01171875,0.0066718524,0.2,0.032670454545454544,56946.68828125,0.0015095596625046297,2.092123031616211e-05,0.0001
2698.0,11842,8,214.23522717,10.28,0,5,10240,56,-0.6764262903481721,29119.23046875,0.004273515,0.2,0.02138671875,57483.752734375,-0.0017542332410812379,2.4437904357910156e-05,0.0001
2770.0,14097,8,230.93621309999997,10.22,0,6,12288,61,-0.6772165969014168,26236.7734375,0.003014531,0.2,0.0224609375,56179.007568359375,-0.0003600206517148763,1.1861324310302734e-05,0.0001
2698.0,16359,8,226.59422179999999,10.34,0,7,14336,66,-0.6704483781009912,28874.54296875,0.0046619372,0.2,0.03037109375,56000.488500976564,-0.003228751802816987,9.715557098388672e-06,0.0001
2698.0,18655,8,233.71656468999998,10.45,0,8,16384,69,-0.6457544557750226,26992.935546875,0.008147315,0.2,0.029296875,55163.23491210937,-0.0030226511880755424,5.602836608886719e-06,0.0001
2698.0,20929,8,268.17501272,10.92,0,9,18432,73,-0.6339230216851756,26864.3984375,0.008787663,0.2,0.03623949579831933,54944.64430147059,-0.003053467024211623,6.4373016357421875e-06,0.0001
2698.0,23181,8,238.80188225,10.61,0,10,20480,74,-0.625143099289674,25604.97265625,0.008463704,0.2,0.031850961538461536,54432.28305288462,0.003910484007344796,7.569789886474609e-06,0.0001
