rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
13.181833615384615,9.807692307692308,512.0,1.0,1,492,,,,,,,,,,
34.01516659183673,10.448979591836734,1024.0,2.0,1,939,-0.6108131246133284,0.2,2.0,0.0001,19715.42578125,43247.92116477273,0.0275688,-0.006979418749159,0.0001347064971923,0.080965909090909
60.23410078999999,12.06,1536.0,3.0,1,1357,-0.6173739820718765,0.2,7.0,0.0001,21855.5703125,42643.03681640625,0.01096724,-0.0155417234869673,0.0002142190933227,0.06875
98.86580774000002,11.7,2048.0,4.0,1,1820,-0.6216193759763563,0.2,12.0,0.0001,43353.2421875,75514.60008445945,0.017223343,-0.0119646404290924,-0.0007010698318481,0.0734797297297297
138.64907626000002,11.82,2560.0,5.0,1,2285,-0.6241964206099511,0.2,17.0,0.0001,24960.802734375,46283.16962890625,0.009953069,-0.0171240863390266,0.000694453716278,0.07734375
166.28981914,12.32,3072.0,6.0,1,2725,-0.608636454532021,0.2,20.0,0.0001,25970.521484375,57911.13301809211,0.019281162,-0.0093529350859554,0.0001314282417297,0.0427631578947368
102.82909204,11.67,3584.0,7.0,1,3198,-0.6221075788140297,0.2,25.0,0.0001,25347.935546875,53644.563671875,0.011969348,-0.0127158648800104,1.0013580322265623e-05,0.092578125
154.78634902,12.19,4096.0,8.0,1,3630,-0.6167772948741913,0.2,30.0,0.0001,21965.37890625,44811.9755859375,0.010838768,-0.0186620698776096,-0.0002145767211914,0.1328125
220.19103793,11.32,4608.0,9.0,1,4138,-0.6084677174687385,0.2,35.0,0.0001,35649.08984375,58622.07841796875,0.006027248,-0.0063884680857881,0.0001709461212158,0.03203125
233.78595038999995,10.93,5120.0,10.0,1,4597,-0.6038840487599373,0.2,40.0,0.0001,31716.638671875,58719.728515625,0.0026960657,-0.0061257886933162,2.181529998779297e-05,0.01015625
218.69040395,11.52,5632.0,11.0,1,5071,-0.5955342382192612,0.2,45.0,0.0001,24288.12890625,46776.21923828125,0.0038527884,-0.0058088410180062,-5.7220458984375e-05,0.026953125
242.34555859,12.49,6144.0,12.0,1,5509,-0.5816808216273784,0.2,50.0,0.0001,24174.341796875,52062.65732421875,0.0031984057,-0.0051267252070829,1.9073486328125e-06,0.013671875
287.66877931,13.16,6656.0,13.0,1,5948,-0.5596781991422176,0.2,55.0,0.0001,26332.017578125,49680.08369140625,0.009496388,-0.0148421172285452,5.185604095458984e-06,0.071875
274.03886663,13.08,7168.0,14.0,1,6394,-0.5509485401213169,0.2,60.0,0.0001,22947.814453125,49123.61484375,0.008501784,-0.0087361830985173,-1.1444091796875e-05,0.053125
244.66863002999995,12.72,7680.0,15.0,1,6868,-0.5390866219997406,0.2,65.0,0.0001,23683.138671875,47184.26376953125,0.005242612,-0.0078436997020617,-1.2993812561035156e-05,0.02265625
224.50124275,12.24,8192.0,16.0,1,7343,-0.5126541197299957,0.2,70.0,0.0001,23444.09375,43461.347265625,0.011574203,-0.0098960871750023,-3.743171691894531e-05,0.05625
216.16638927,11.27,8704.0,17.0,1,7844,-0.5044733487069607,0.2,75.0,0.0001,30263.923828125,52584.77890625,0.0058886884,-0.0107559921918436,-3.4809112548828125e-05,0.039453125
253.76281473,11.71,9216.0,18.0,1,8287,-0.4873762719333172,0.2,80.0,0.0001,24907.44140625,49390.25703125,0.007475258,-0.0094870479311794,-1.8358230590820312e-05,0.0515625
310.66315928,12.69,9728.0,19.0,1,8734,-0.4777595497667789,0.2,85.0,0.0001,22267.4140625,53254.36572265625,0.0029770196,-0.0064361962256953,3.337860107421875e-05,0.012109375
336.40107599999993,12.88,10240.0,20.0,1,9153,-0.4784910224378109,0.2,90.0,0.0001,26635.455078125,54766.3841796875,0.0023147492,-0.0044902215828187,-2.157688140869141e-05,0.014453125
374.92297673,12.73,10752.0,21.0,1,9596,-0.4690102621912956,0.2,95.0,0.0001,24762.24609375,52350.89814453125,0.0024616926,-0.0049791684839874,-4.756450653076172e-05,0.01953125
328.46349674,11.43,11264.0,22.0,1,10094,-0.4738755077123642,0.2,100.0,0.0001,27514.98046875,59932.2978515625,0.0067880517,-0.0067401048494502,-2.491474151611328e-05,0.0234375
326.41117677,11.37,11776.0,23.0,1,10545,-0.4607045352458954,0.2,105.0,0.0001,28669.26171875,59256.6390625,0.0028205325,-0.0070397822419181,-1.4901161193847656e-05,0.025
326.96498415,12.02,12288.0,24.0,1,10990,-0.479069509357214,0.2,110.0,0.0001,30825.724609375,57366.45,0.0055921646,-0.0064306697342544,-3.349781036376953e-05,0.027734375
285.71414903,12.1,12800.0,25.0,1,11442,-0.4858521305024624,0.2,115.0,0.0001,24193.642578125,53467.96982421875,0.005188075,-0.009055906755384,-1.7523765563964844e-05,0.04609375
318.01032595,12.72,13312.0,26.0,1,11862,-0.4808774702250957,0.2,120.0,0.0001,21808.75390625,52434.284375,0.007000776,-0.0102328021777793,9.238719940185549e-06,0.0609375
360.72401059,12.19,13824.0,27.0,1,12315,-0.4929192624986171,0.2,125.0,0.0001,31332.2890625,58402.90810546875,0.0038829437,-0.0073715343372896,-2.47955322265625e-05,0.03046875
332.59524868999995,11.2,14336.0,28.0,1,12784,-0.4855142764747143,0.2,130.0,0.0001,32316.826171875,63067.99228515625,0.0027948315,-0.0071433979086577,1.8715858459472656e-05,0.0234375
294.65020193,11.48,14848.0,29.0,1,13237,-0.4780104838311672,0.2,135.0,0.0001,31487.19140625,59782.93173828125,0.013957575,-0.0125530918361619,1.6927719116210938e-05,0.060546875
317.3057426,12.75,15360.0,30.0,1,13645,-0.4694280594587326,0.2,140.0,0.0001,28706.150390625,51749.99501953125,0.009499296,-0.0083971883868798,-1.728534698486328e-05,0.0421875
396.7626145700001,13.27,15872.0,31.0,1,14057,-0.4776100970804691,0.2,145.0,0.0001,29413.728515625,54730.46142578125,0.005770022,-0.0108148363651707,3.6954879760742183e-06,0.03984375
380.03674221,13.38,16384.0,32.0,1,14496,-0.4750049367547035,0.2,150.0,0.0001,29710.927734375,58937.66015625,0.003419557,-0.0041810899623669,-2.026557922363281e-05,0.0078125
404.5673091,13.45,16896.0,33.0,1,14927,-0.481684036552906,0.2,155.0,0.0001,26431.21484375,51234.028125,0.0048546833,-0.0080423663021065,3.081560134887695e-05,0.044921875
370.0068912199999,12.15,17408.0,34.0,1,15386,-0.4745902404189109,0.2,160.0,0.0001,29730.6953125,54980.43056640625,0.004704858,-0.006178690760862,-1.132488250732422e-05,0.02578125
330.42725057,11.55,17920.0,35.0,1,15837,-0.4752142898738384,0.2,165.0,0.0001,29741.072265625,60048.2263671875,0.002330476,-0.0057969238143414,1.7940998077392578e-05,0.016015625
343.2842198999999,12.44,18432.0,36.0,1,16272,-0.4817950755357742,0.2,170.0,0.0001,25200.681640625,53006.31025390625,0.0050084093,-0.0123035689815878,1.0848045349121094e-05,0.024609375
339.13695826000003,12.43,18944.0,37.0,1,16719,-0.4846022465290167,0.2,175.0,0.0001,27707.53125,55725.24659455128,0.0139783835,-0.0135823200003076,-1.7762184143066406e-05,0.0376602564102564
317.25098933,11.74,19456.0,38.0,1,17193,-0.4766284361481666,0.2,180.0,0.0001,26926.25,55920.0876953125,0.003080946,-0.0078497059876099,-1.347064971923828e-05,0.021875
320.46996598,10.94,19968.0,39.0,1,17654,-0.499852479994297,0.2,185.0,0.0001,27890.21484375,53850.86474609375,0.0027897828,-0.0056010313681326,7.075071334838867e-05,0.023046875
319.5388947,11.34,20480.0,40.0,1,18103,-0.4763904891908169,0.2,190.0,0.0001,28644.107421875,61534.9986328125,0.0029623047,-0.0066599390469491,-1.1682510375976562e-05,0.009375
283.72952704,11.54,20992.0,41.0,1,18553,-0.4912644274532795,0.2,195.0,0.0001,38561.62890625,61245.873828125,0.0074866787,-0.0083377790171653,-7.390975952148437e-06,0.05234375
299.6068426599999,12.48,21504.0,42.0,1,18989,-0.4922751277685165,0.2,200.0,0.0001,28895.0,51000.88232421875,0.010173882,-0.0116983152227476,8.940696716308594e-06,0.075
358.93581363000004,13.06,22016.0,43.0,1,19419,-0.4951964400708675,0.2,205.0,0.0001,24402.43359375,45713.73515625,0.004892077,-0.0089188024867326,-1.347064971923828e-05,0.03046875
384.26418725,13.77,22528.0,44.0,1,19831,-0.5056549027562142,0.2,210.0,0.0001,26619.18359375,55212.0208984375,0.0026559648,-0.0107786363223567,-1.71661376953125e-05,0.01796875
324.03559424,12.28,23040.0,45.0,1,20304,-0.5101542383432388,0.2,215.0,0.0001,29265.509765625,51225.92392578125,0.0042601665,-0.0087476072716526,-1.0013580322265623e-05,0.030078125
258.90380251,11.07,23552.0,46.0,1,20801,-0.4981101281940937,0.2,220.0,0.0001,27010.251953125,54925.34521484375,0.010546096,-0.0109531868947669,4.38690185546875e-05,0.046875
309.86109449,11.25,24064.0,47.0,1,21240,-0.5024877215425173,0.2,222.0,0.0001,25557.39453125,47743.14485677084,0.026767643,-0.0120640069556732,-2.86102294921875e-06,0.0520833333333333
360.04952267999994,12.77,24576.0,48.0,1,21655,-0.5037795647978782,0.2,227.0,0.0001,26896.7734375,58078.5521484375,0.0055106557,-0.0056755353230983,-1.4543533325195312e-05,0.04375
411.19608968,13.1,25088.0,49.0,1,22078,-0.4879577502608299,0.2,232.0,0.0001,23837.970703125,48683.37705078125,0.00546304,-0.0044792469707317,-1.6808509826660156e-05,0.016796875
356.16932584,12.26,25600.0,50.0,1,22553,-0.4990513488650322,0.2,237.0,0.0001,26897.765625,55097.5947265625,0.0035478263,-0.0106251039076596,-1.156330108642578e-05,0.0328125
335.26642819,11.72,26112.0,51.0,1,22989,-0.4989586755633354,0.2,242.0,0.0001,28092.26953125,55817.72197265625,0.0068489863,-0.0118112849770113,-4.410743713378906e-06,0.0265625
383.46510837,11.89,26624.0,52.0,1,23415,-0.4877589583396912,0.2,247.0,0.0001,26863.33203125,54685.159765625,0.0036851587,-0.0071865112986415,-8.344650268554688e-06,0.013671875
401.50190137,12.37,27136.0,53.0,1,23824,-0.4905352495610714,0.2,252.0,0.0001,30985.638671875,58950.0267578125,0.0073298337,-0.0077276763273403,-1.156330108642578e-05,0.0203125
388.91005877,13.74,27648.0,54.0,1,24231,-0.4921928688883781,0.2,257.0,0.0001,24394.3203125,54374.5251953125,0.004689185,-0.0079158823238685,-8.344650268554688e-06,0.028515625
337.03676057,13.88,28160.0,55.0,1,24673,-0.5194598712027073,0.2,262.0,0.0001,25974.673828125,47093.41396484375,0.006727494,-0.0074104547617025,-5.125999450683594e-06,0.046484375
328.72140222,13.65,28672.0,56.0,1,25098,-0.4876457303762436,0.2,264.0,0.0001,24315.7734375,47509.124755859375,0.019686362,-0.0079142698086798,2.1696090698242188e-05,0.0439453125
371.2905443100001,13.13,29184.0,57.0,1,25520,-0.4763281573267544,0.2,267.0,0.0001,22614.078125,47112.867647058825,0.030666046,-0.0028271266423604,-6.9141387939453125e-06,0.0110294117647058
419.77844795,13.4,29696.0,58.0,1,25932,-0.4739287361502647,0.2,272.0,0.0001,26578.283203125,53524.74716796875,0.007255788,-0.0078662059560883,-1.2516975402832031e-05,0.0328125
