time/time_elapsed,rollout/ep_len_mean,custom/max_height,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,time/iterations,time/fps,train/clip_range,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/loss
274,5.35,-302.0,11975,0,-4.332,48,0,0.2,3e-05,-0.16349039375782012,8.07642936706543e-06,0.8231817483901978,0.0,10685,1.4901161e-08,36.67390594482422,18.822216033935547
280,5.38,-302.0,11979,0,-4.77,49,0,0.2,3e-05,-0.10752967596054078,1.1070072650909423e-05,0.5359604358673096,0.0,10690,0.0,120.00432891845703,59.59267807006836
285,5.4,-302.0,11983,0,-5.228,50,0,0.2,3e-05,-0.08134652525186539,-5.127489566802979e-06,0.59154212474823,0.0,10695,0.0,131.70023498535156,64.7724609375
291,5.35,-158.0,11987,0,-5.377999999999999,51,0,0.2,3e-05,-0.14826217591762542,-5.34355640411377e-06,0.6282510757446289,0.0,10700,0.0,159.0201416015625,77.69434356689453
296,5.35,-302.0,11991,0,-5.377999999999999,52,0,0.2,3e-05,-0.13813709914684297,1.1295080184936523e-06,0.8983869552612305,0.0,10705,0.0,70.7430648803711,36.41885757446289
302,5.36,-302.0,11995,0,-5.558,53,0,0.2,3e-05,-0.25371610522270205,-0.00013539940118789673,-0.030713558197021484,0.0,10710,1.937151e-07,267.66786499023436,133.22161865234375
308,5.36,-302.0,11999,0,-5.707999999999999,54,0,0.2,3e-05,-0.08083265274763107,-2.9949843883514406e-05,0.6033177375793457,0.0,10715,2.9802322e-08,127.59690551757812,63.45061492919922
314,5.36,-302.0,12003,0,-5.858,55,0,0.2,3e-05,-0.15954607129096984,1.4778971672058105e-05,0.6311517953872681,0.0,10720,5.9604645e-08,171.9789581298828,84.7791976928711
320,5.36,-158.0,12007,0,-5.978,56,0,0.2,3e-05,-0.15544231832027436,-1.6857683658599853e-05,0.5431620478630066,0.0,10725,0.0,237.26629943847655,118.45266723632812
325,5.36,-302.0,12011,0,-5.978,57,0,0.2,3e-05,-0.1547090709209442,2.689957618713379e-05,0.2030935287475586,0.0,10730,0.0,119.98080444335938,59.52103805541992
