time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,custom/current_screen,custom/max_height,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss
962,10.12,1,151.48050291,1,1024,19,6594.0,,,,,,,,,,
1913,10.23,2,188.50577112,1,2048,19,6594.0,0.0865234375,13916.107421875,-0.4781707745045424,0.0001,0.008512778,5,0.0007748007774353027,0.2,26428.91242675781,-0.015387299470603466
2842,9.88,3,205.97603267,1,3072,19,6594.0,0.0462890625,12904.2177734375,-0.47289068512618543,0.0001,0.004325485,10,0.0009572505950927734,0.2,27354.309301757814,-0.007838743325555697
3761,9.24,4,206.61126552000002,1,4096,19,6594.0,0.0435546875,15954.953125,-0.45403297170996665,0.0001,0.0047753514,15,0.0003851652145385742,0.2,29329.701025390626,-0.008965504972729832
4710,9.03,5,192.51439605999997,1,5120,19,6682.0,0.0421875,13728.236328125,-0.4251186389476061,0.0001,0.0048491037,20,0.0006150007247924805,0.2,30070.882373046876,-0.00638022517086938
5640,9.22,6,208.79665191,1,6144,19,6682.0,0.0279296875,12590.6083984375,-0.39800757318735125,0.0001,0.002817026,25,0.0034016966819763184,0.2,28123.362939453124,-0.00566934518283233
6553,9.19,7,247.35799637999997,1,7168,19,6682.0,0.0416015625,15006.232421875,-0.40212864987552166,0.0001,0.0058216606,30,0.006021618843078613,0.2,29034.399267578126,-0.0059248361445497725
