rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,time/iterations,custom/max_height,train/clip_range,train/explained_variance,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss
4.02,28672,0,59088,36,-71.50055316,14,12722.0,0.2,-0.00017559528350830078,0.08916015625,0.0001,-0.005353853115229868,1490.2733154296875,65,3017.3400634765626,0.011588043,-2.347671572864056
4.06,30720,0,62855,36,-75.61489802000001,15,12722.0,0.2,-0.0001456737518310547,0.0806640625,0.0001,-0.012892246359842829,1663.001953125,70,2928.859832763672,0.010201903,-2.341919431090355
3.99,32768,0,66583,36,-72.24275125,16,12658.0,0.2,-0.00011777877807617188,0.03154296875,0.0001,-0.00374894360138569,1267.634033203125,75,2650.6784126281736,0.008003749,-2.339721155166626
3.92,34816,0,70442,36,-72.69814321000001,17,12658.0,0.2,-9.882450103759766e-05,0.08203125,0.0001,-0.013890127712511458,1048.1611328125,80,2423.183257293701,0.009561269,-2.31956062912941
4.71,36864,0,74143,36,-67.55787049999999,18,12658.0,0.2,-6.0439109802246094e-05,0.09833984375,0.0001,-0.02053699915704783,809.85888671875,85,2148.175287628174,0.009912231,-2.2868026971817015
4.03,38912,0,77550,36,-78.08117931,19,12714.0,0.2,-5.733966827392578e-05,0.0953525641025641,0.0001,-0.005326239571261864,1009.055908203125,88,2238.0165123572715,0.01072714,-2.2961934193586693
4.52,40960,0,81036,36,-75.47591943,20,12658.0,0.2,-3.1948089599609375e-05,0.11875,0.0001,0.002398683461878035,885.66455078125,90,1962.093478732639,0.015469885,-2.286704609129164
4.55,43008,0,84467,36,-68.88965265,21,12658.0,0.2,-5.7220458984375e-05,0.13125,0.0001,-0.008087489288300276,984.0756225585938,95,1928.744149017334,0.009607445,-2.343249264359474
5.02,45056,0,87699,36,-80.78955889000001,22,12658.0,0.2,-2.3126602172851562e-05,0.22355769230769232,0.0001,0.009536555287643122,783.8634643554688,96,1770.6357797475962,0.014667247,-2.323611938036405
4.72,47104,0,91133,36,-77.259806,23,12722.0,0.2,-1.5139579772949219e-05,0.1505859375,0.0001,-0.014413661422440781,925.7664184570312,101,1870.0220779418946,0.013866775,-2.308694560825825
3.95,49152,0,94609,36,-72.59246359,24,12722.0,0.2,-7.510185241699219e-06,0.16779891304347827,0.0001,-0.0002141285120793011,894.2742919921875,102,1758.659084154212,0.010901309,-2.3150834000628926
4.93,51200,0,97942,36,-77.62520692999999,25,12658.0,0.2,0.00010520219802856445,0.0568359375,0.0001,-0.013745346973882988,832.9382934570312,107,1816.716916656494,0.009585246,-2.2911598846316337
4.35,53248,0,101584,36,-67.36878802,26,12658.0,0.2,0.008788347244262695,0.10205078125,0.0001,-0.018120157840894536,915.7589111328125,112,1953.3578575134277,0.009915296,-2.2794782131910325
4.6,55296,0,105179,36,-70.84419872000001,27,12658.0,0.2,0.011985838413238525,0.05615234375,0.0001,-0.011308137071318924,1130.5123291015625,117,1924.1562942504884,0.008330077,-2.284988223016262
4.61,57344,0,108678,36,-69.61295029000001,28,12658.0,0.2,0.03350251913070679,0.01533203125,0.0001,-0.008543353257118724,920.6677856445312,122,1784.773518371582,0.0057129115,-2.2844932481646536
4.03,59392,0,112296,36,-65.97477118,29,12658.0,0.2,0.06780135631561279,0.00595703125,0.0001,-0.005789810221176595,828.3837890625,127,1724.8769943237305,0.004674983,-2.2774728313088417
4.64,61440,0,115732,36,-64.37698540000001,30,12658.0,0.2,0.10885840654373169,0.01142578125,0.0001,-0.00837470525293611,1007.7396240234375,132,1757.7316299438476,0.0043083215,-2.2763834610581397
4.42,63488,0,119086,36,-61.37512248,31,12722.0,0.2,0.12260133028030396,0.0,0.0001,-0.004049770586425439,865.5420532226562,137,1771.1556442260742,0.0027811755,-2.2773093074560165
4.74,65536,0,122274,36,-60.63445691000001,32,12658.0,0.2,0.20324420928955078,0.01455078125,0.0001,-0.008662968734279275,729.4557495117188,142,1461.1279109954835,0.005118288,-2.2446991741657256
5.11,67584,0,125556,36,-64.9070406,33,12714.0,0.2,0.21095019578933716,0.00341796875,0.0001,-0.0024334912188351153,642.3604736328125,147,1480.4408336639403,0.0043803086,-2.2539519280195237
