custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,custom/current_screen,train/clip_range,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/loss
306.0,8.084399999999999,4213,1,1.81,0,2048,1,,,,,,,,,,
90.0,7.143199999999998,8487,2,1.8,0,4096,1,0.2,0.0,0.0038962364196777344,-1.2175587471574546e-08,0.0,10,2751.8812210083006,-1.460964071005583,3e-05,1087.9434814453125
90.0,4.095049999999997,12783,3,1.95,0,6144,1,0.2,0.03318181,0.07615828514099121,-0.04543086167104775,0.384912109375,20,3049.4015777587892,-1.3793704055249691,3e-05,2900.403564453125
90.0,11.494136999999998,17189,4,1.79,0,8192,1,0.2,0.037998438,0.12964093685150146,-0.03433649640792282,0.34951171875,30,2665.903942871094,-1.2936946533620357,3e-05,979.0697021484375
186.0,24.815311999999995,21774,5,1.61,0,10240,1,0.2,0.03632106,0.16283857822418213,-0.037320556003396635,0.3380859375,40,2534.6489078521727,-1.1202207675203681,3e-05,2559.14794921875
186.0,22.513173999999996,26432,6,1.66,0,12288,1,0.2,0.015961643,0.2004108428955078,-0.0266091340497951,0.2771484375,50,2447.0612400054933,-0.9835717644542455,3e-05,563.697509765625
306.0,21.224424999999997,31158,7,1.67,0,14336,1,0.2,0.009379614,0.23118019104003906,-0.021110445204249116,0.1740234375,60,2222.3279500961303,-0.8566629445180297,3e-05,903.4813232421875
186.0,14.133874999999996,35896,8,1.72,0,16384,1,0.2,0.0067250994,0.25921177864074707,-0.01682440350559773,0.09482421875,70,2038.0184783935547,-0.751328344643116,3e-05,699.2831420898438
