time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,custom/max_height,time/iterations,custom/current_screen,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss
0,2501,155.9783595,11.72,2048,5530.0,1,16,,,,,,,,,,
0,4919,182.63006100999996,12.63,4096,5562.0,2,16,11513.21385498047,0.004156768321990967,0.05341796875,0.004376996,71,-0.495208010263741,5042.2080078125,0.2,0.0001,-0.009334256593137979
0,7358,158.93922663000004,11.61,6144,5530.0,3,16,10529.842749023437,0.003474295139312744,0.00732421875,0.0016457003,76,-0.5019971814006567,5174.6787109375,0.2,0.0001,-0.0024078565620584413
0,9802,177.20678628,12.02,8192,5602.0,4,16,10081.776168823242,0.001989126205444336,0.04619140625,0.005050527,81,-0.48683629408478735,4910.92578125,0.2,0.0001,-0.008045245593530126
