time/time_elapsed,time/iterations,custom/max_height,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss
4821,34,442.0,11.06,81.01264682,2,0,4352,0.0001561665,8576.9755859375,0.0,165,0.0001,-0.6907297015190125,0.022170186042785645,0.2,16677.12021484375,0.00031016413122415544
4965,35,442.0,11.12,82.10522313,2,0,4480,0.0006888872,8981.1826171875,0.0046875,170,0.0001,-0.7271317064762115,0.016892671585083008,0.2,18876.9046875,-0.0034601988270878794
5113,36,442.0,11.12,91.22948502999999,2,0,4608,0.00045079645,8077.81201171875,0.0,175,0.0001,-0.7654994487762451,0.007367253303527832,0.2,16027.5552734375,-0.003613614849746227
5262,37,442.0,11.41,89.06501300999999,2,0,4736,0.0013885964,7470.34228515625,0.00625,180,0.0001,-0.7932764291763306,0.04852837324142456,0.2,16311.6236328125,-0.005704965442419052
5404,38,538.0,11.55,94.11710780999996,2,0,4864,0.0028498853,5667.98046875,0.0078125,185,0.0001,-0.8273131310939789,0.04567795991897583,0.2,10816.96484375,-0.00934230601415038
5556,39,442.0,11.97,100.85283609999996,2,0,4992,0.0022490192,6079.416015625,0.0078125,190,0.0001,-0.7582138001918792,0.016087055206298828,0.2,14011.0279296875,-0.006784133147448301
5702,40,538.0,11.89,101.06990391999996,2,0,5120,0.002285086,8027.7177734375,0.009375,195,0.0001,-0.7559406518936157,0.01897299289703369,0.2,17022.930078125,-0.007596607133746147
5852,41,626.0,12.03,97.49641185999997,2,0,5248,0.0012102993,6587.337890625,0.003125,200,0.0001,-0.7463894605636596,0.024481117725372314,0.2,13506.203515625,-0.006534853205084801
6006,42,490.0,12.19,106.18963897999998,2,0,5376,0.0021565133,7030.0810546875,0.0046875,205,0.0001,-0.7804712772369384,0.030026137828826904,0.2,11764.6337890625,-0.009371419064700603
6158,43,650.0,12.09,109.14109065999997,2,0,5504,0.001519883,9115.3740234375,0.00625,210,0.0001,-0.7726918876171112,0.014508605003356934,0.2,18462.2623046875,-0.0051049887202680114
6320,44,442.0,11.92,107.12026789999999,2,0,5632,0.0005468577,8591.107421875,0.003125,215,0.0001,-0.7210939347743988,0.03556245565414429,0.2,18810.4583984375,-0.003719984833151102
6470,45,538.0,11.7,114.88512835999998,2,0,5760,0.0014285971,9175.0087890625,0.0078125,220,0.0001,-0.6933789849281311,-0.0026274919509887695,0.2,18057.974609375,-0.008531167730689048
6619,46,442.0,11.41,127.02435073999999,2,0,5888,0.00082005514,9105.705078125,0.0015625,225,0.0001,-0.6704713404178619,0.029093503952026367,0.2,18096.2787109375,-0.004443572647869587
6775,47,442.0,11.49,134.67268436999998,2,0,6016,0.0013158908,8811.5859375,0.00625,230,0.0001,-0.6792565286159515,0.0005842447280883789,0.2,17797.6130859375,-0.007315421663224697
6931,48,442.0,11.35,141.04298062,2,0,6144,0.0016719913,7697.72900390625,0.0078125,235,0.0001,-0.7467891156673432,0.04072660207748413,0.2,15589.19111328125,-0.00571237662807107
7083,49,650.0,11.53,141.42718886000003,2,0,6272,0.00055356324,9305.3896484375,0.003125,240,0.0001,-0.661481362581253,0.006706893444061279,0.2,18040.70390625,-0.0011619591154158116
7230,50,490.0,11.2,143.68722059999996,2,0,6400,0.00088415714,6711.21826171875,0.0046875,245,0.0001,-0.7572895467281342,0.041152358055114746,0.2,12935.0236328125,-0.00569754671305418
7373,51,490.0,10.9,137.57756302999996,2,0,6528,0.0007472844,9062.4951171875,0.0015625,250,0.0001,-0.654467624425888,0.017002522945404053,0.2,16754.29541015625,-0.003482980653643608
7522,52,490.0,11.05,140.42280975999998,2,0,6656,0.0018619304,9471.345703125,0.00625,255,0.0001,-0.6582676112651825,-0.011788606643676758,0.2,18213.7861328125,-0.0077466672286391255
7687,53,442.0,11.18,146.72211132999996,2,0,6784,0.00032326765,8458.681640625,0.0015625,260,0.0001,-0.6600105464458466,0.03299999237060547,0.2,17061.28388671875,-0.000955798476934433
7842,54,442.0,11.24,153.10903874,2,0,6912,0.0004703435,9704.978515625,0.0015625,265,0.0001,-0.7070655703544617,0.040756821632385254,0.2,19093.590625,-0.00425118776038289
7998,55,442.0,11.25,153.3273767,2,0,7040,0.0005944241,9052.3994140625,0.0,270,0.0001,-0.6771888315677643,-0.007840871810913086,0.2,18902.540234375,-0.005833752453327179
8149,56,442.0,11.41,147.64431507,2,0,7168,0.0004299311,8596.4375,0.0,275,0.0001,-0.6767271280288696,0.019800007343292236,0.2,17447.6826171875,-0.0033867795951664447
8296,57,442.0,11.11,144.46331073999997,2,0,7296,0.00070520584,5085.45166015625,0.0,280,0.0001,-0.6634551465511322,0.032223284244537354,0.2,9649.6486328125,-0.0031827248632907866
8445,58,650.0,11.2,144.66025994999998,2,0,7424,0.0017208732,9479.591796875,0.0046875,285,0.0001,-0.6514645338058471,0.004782140254974365,0.2,19337.3029296875,-0.0010214235633611679
8603,59,490.0,11.43,151.76294249,2,0,7552,0.0013846513,6162.90380859375,0.0109375,290,0.0001,-0.6774907410144806,-0.010469198226928711,0.2,12539.92099609375,-0.003368863929063082
8757,60,442.0,11.54,158.52534365,2,0,7680,0.00027517462,7199.76904296875,0.0,295,0.0001,-0.680176055431366,0.04405033588409424,0.2,15342.326953125,-0.001364624872803688
