custom/max_height,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,custom/current_screen,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/approx_kl
2482.0,112.03539388000002,2048,1528,1,7,1,18.7,,,,,,,,,,
2402.0,84.09191263000002,4096,3089,2,7,1,18.38,-0.0013033420066623127,8614.74032054228,0.2,0.1221923828125,0.0001,0.03511029411764706,134,-0.8230546839096967,4033.71923828125,0.013175027
2402.0,123.56960857999998,6144,4614,3,7,1,19.64,0.004520900400839452,10013.131901297982,0.2,0.08633619546890259,0.0001,0.05757874015748032,138,-0.8215042427768857,5462.572265625,0.010223977
2306.0,111.35727604,8192,6123,4,7,1,19.72,0.0004309430456487462,8405.335034179687,0.2,0.12761855125427246,0.0001,0.04033203125,143,-0.7921855438500642,3987.96630859375,0.006087335
2202.0,148.06355926999998,10240,7577,5,7,1,22.29,-0.0005573505973991225,8801.704977596508,0.2,0.13194477558135986,0.0001,0.008731617647058824,145,-0.7843213712467867,4954.4462890625,0.019004583
2306.0,133.20750545,12288,9052,6,7,1,20.96,-0.0018877716851420701,6791.463763427734,0.2,0.1560206413269043,0.0001,0.03212890625,150,-0.7921919990330935,3022.720458984375,0.0054196743
2306.0,125.10303147999998,14336,10557,7,7,1,19.89,-0.0023060956000521475,7962.407151825574,0.2,0.10597437620162964,0.0001,0.01211734693877551,154,-0.7682553201305623,4958.40966796875,0.018417709
2402.0,134.45574445,16384,12044,8,7,1,20.07,-0.0021746156737208365,7733.0066192626955,0.2,0.12673413753509521,0.0001,0.0171875,159,-0.7854226913303137,4533.8876953125,0.00472873
2402.0,113.36889061000002,18432,13542,9,7,1,19.44,9.112519765039906e-05,6410.268186950683,0.2,0.12399709224700928,0.0001,0.03515625,164,-0.8076872147619725,3206.321044921875,0.0073701395
2202.0,114.4371898,20480,15069,10,7,1,19.71,-0.00024572421724979694,7563.068242938702,0.2,0.11898374557495117,0.0001,0.03413461538461538,169,-0.8175445125653193,4507.3427734375,0.01700816
2202.0,121.04923065999998,22528,16599,11,7,1,20.39,0.018894592225551607,8143.370595703125,0.2,0.12709730863571167,0.0001,0.025,171,-0.8422989332675934,6266.11865234375,0.021989305
2306.0,123.11520636999998,24576,18107,12,7,1,20.74,-0.0028421682864427566,8178.7473046875,0.2,0.11132168769836426,0.0001,0.049375,172,-0.8507385468482971,3600.437744140625,0.008331116
2202.0,111.47041660999999,26624,19593,13,7,1,20.81,0.0020432201446965335,7713.293151855469,0.2,0.11722815036773682,0.0001,0.02099609375,177,-0.8221915356814862,5913.392578125,0.003500396
