time/total_timesteps,time/iterations,custom/current_screen,time/fps,custom/max_height,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
2048,1,29,1,10242.0,157.06765397894736,21.42105263157895,1387,,,,,,,,,,
4096,2,29,1,10130.0,160.79098835999997,22.05,2729,-0.4317722236737609,7476.610336303711,3742.85205078125,219,0.00023025274276733398,0.2,0.002979262,0.01796875,0.0017717052454827354,0.0001
6144,3,29,1,10130.0,117.8978945,25.17,3971,-0.4316769000142813,7102.760061645507,3568.9580078125,224,0.00020945072174072266,0.2,0.006073606,0.04931640625,0.0018032730935374276,0.0001
8192,4,29,1,10130.0,120.51147058999997,23.5,5295,-0.42864541690796615,7569.0685363769535,5335.5947265625,229,-2.384185791015625e-06,0.2,0.0034055419,0.05859375,0.0036974451766582208,0.0001
10240,5,29,1,10130.0,141.60697757,24.47,6512,-0.4586129589006305,8606.96042175293,4345.01953125,234,6.99162483215332e-05,0.2,0.0056141457,0.0240234375,0.0027501590317115187,0.0001
12288,6,29,1,10130.0,176.26343168000002,24.57,7739,-0.44977094121277333,7256.670816040039,3110.266357421875,239,0.00044226646423339844,0.2,0.004525586,0.0705078125,-0.006639238266507164,0.0001
14336,7,29,1,10130.0,146.08284467,24.03,9034,-0.47819931283593176,5398.507154846191,3214.811767578125,244,0.0018842816352844238,0.2,0.0032279287,0.0150390625,-0.003783443840802647,0.0001
16384,8,29,1,10130.0,164.01653528000003,20.42,10427,-0.463112604804337,7552.45337524414,2722.83740234375,249,0.0003039240837097168,0.2,0.011957151,0.08134765625,0.00158821354561951,0.0001
18432,9,29,1,10130.0,160.60101507,19.62,11834,-0.5129326701164245,7490.332803344727,4073.37646484375,254,0.0006374120712280273,0.2,0.002839963,0.01943359375,-0.002293180412380025,0.0001
