custom/current_screen,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,custom/max_height,time/iterations,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance
8,-116.54148717948719,25.166666666666668,2048,0,2191,2770.0,1,,,,,,,,,,
8,-115.68547620000002,33.08,4096,0,4151,2770.0,2,-0.021685613150475548,0.0001,65,0.11318359375,764.4723510742188,0.012155069,-1.9786470606923103,1777.1403816223144,0.2,3.933906555175781e-06
8,-114.79591361000001,44.0,6144,1,6084,2818.0,3,-0.00924518535612151,0.0001,70,0.0822265625,735.9384155273438,0.0099140145,-2.004871194809675,1568.315252685547,0.2,6.794929504394531e-06
8,-117.10026879000002,51.45,8192,1,8167,2770.0,4,-0.009513823284037612,0.0001,75,0.10092905405405406,632.8216552734375,0.017144108,-1.9974650378162797,1189.1463552938926,0.2,4.1425228118896484e-05
8,-117.13108081,42.68,10240,1,10221,2698.0,5,-0.0050091043738047444,0.0001,79,0.18598790322580644,377.4473876953125,0.017423887,-2.006477330961535,1066.9547970679498,0.2,2.9385089874267578e-05
8,-118.32487032000003,43.84,12288,1,12281,2770.0,6,-0.01231875317171216,0.0001,84,0.14208984375,567.5234985351562,0.014367237,-2.032543808221817,1212.325803375244,0.2,3.272294998168945e-05
8,-119.55772885999998,44.6,14336,1,14293,2698.0,7,-0.0008499886893298266,0.0001,86,0.08873820754716981,422.9535827636719,0.011665835,-2.074140892838532,1057.3948410322082,0.2,6.943941116333008e-05
8,-114.87237103000001,40.88,16384,1,16137,2770.0,8,0.0004811377676073895,0.0001,88,0.10210755813953488,422.7701416015625,0.01843872,-2.0240612917168197,1075.4415027707123,0.2,6.937980651855469e-05
8,-116.8982537,46.69,18432,1,17805,2770.0,9,-0.0004756050051323005,0.0001,91,0.11361607142857143,634.2526245117188,0.016086208,-1.9450763055256435,958.6319370814732,0.2,0.00011664628982543945
8,-119.87280295000001,52.36,20480,1,19585,2698.0,10,-0.0030870693241013213,0.0001,96,0.13603515625,301.6016540527344,0.010095701,-1.9919095672667027,1028.8561214447022,0.2,0.00020951032638549805
8,-121.6307335,51.33,22528,1,21377,2698.0,11,-0.010457749018678441,0.0001,101,0.0748046875,422.4196472167969,0.012127366,-1.99763715416193,1010.21357421875,0.2,0.06735140085220337
8,-124.70710247999999,54.0,24576,1,23149,2770.0,12,-0.006190348390373401,0.0001,106,0.04072265625,294.273193359375,0.0060399245,-2.0003480061888697,813.0013734817505,0.2,0.11147928237915039
8,-123.04537044000003,55.95,26624,1,24931,2770.0,13,-0.005699342378647998,0.0001,111,0.05244140625,417.345947265625,0.0076968265,-1.9908013105392457,890.1487783432007,0.2,0.1275879144668579
8,-123.99413671999999,59.24,28672,1,26747,2770.0,14,-0.006798489947686903,0.0001,116,0.07626953125,372.0126953125,0.008892058,-1.9996732391417027,718.7886747360229,0.2,0.1775478720664978
8,-122.98578313,56.36,30720,1,28653,2770.0,15,-0.005492970172781497,0.0001,121,0.07607421875,496.2714538574219,0.00765803,-2.021282397210598,698.038165473938,0.2,0.19512122869491577
8,-123.33865390999999,56.86,32768,1,30574,2818.0,16,-0.005583655442751479,0.0001,126,0.07734375,369.60516357421875,0.009744159,-2.015245220065117,725.6902759552001,0.2,0.2163723111152649
8,-123.40370300999999,54.42,34816,1,32481,2698.0,17,-0.005209818462026306,0.0001,131,0.06728515625,324.0789489746094,0.0091082575,-2.0134626753628253,710.8232933044434,0.2,0.21183770895004272
8,-126.54587693000002,62.64,36864,1,34318,2770.0,18,-0.004299891804112122,0.0001,136,0.04423828125,454.69317626953125,0.0075567355,-2.0101788245141505,637.05491771698,0.2,0.22886377573013306
8,-125.02029569,63.07,38912,1,36238,2770.0,19,-0.005316565296379849,0.0001,141,0.05048828125,394.0333251953125,0.008279318,-2.0239810906350613,677.1592874526978,0.2,0.2023078203201294
8,-128.64526024000003,66.71,40960,1,38190,2698.0,20,-0.0048625502153299745,0.0001,146,0.07373046875,275.1764831542969,0.00947381,-2.0154992967844008,523.8225525856018,0.2,0.28019535541534424
8,-130.13686471,68.96,43008,1,40143,2698.0,21,-0.005575735826278105,0.0001,151,0.06689453125,334.8984375,0.0075539965,-1.9819385938346386,642.1629608154296,0.2,0.24378418922424316
8,-129.94062388,65.75,45056,1,42274,2698.0,22,-0.0035453198594041168,0.0001,156,0.10751953125,352.4097900390625,0.008864257,-2.0177595138549806,616.0541063308716,0.2,0.28300797939300537
8,-130.19587028,67.64,47104,1,44375,2698.0,23,-0.008084009899175727,0.0001,161,0.0921875,303.9322204589844,0.010292944,-1.9951105199754238,602.9550529479981,0.2,0.2445518970489502
8,-129.98150244,69.73,49152,1,46376,2698.0,24,-0.008242814225377515,0.0001,166,0.06865234375,239.71823120117188,0.011274411,-1.9890702389180661,540.6353404045105,0.2,0.2620035409927368
8,-130.33795971,69.86,51200,1,48383,2698.0,25,-0.005833027913467959,0.0001,171,0.08486328125,274.6165466308594,0.009704847,-2.0051783092319964,568.7766233444214,0.2,0.3076549768447876
8,-133.1089159,72.14,53248,1,50439,2770.0,26,-0.0080866029340541,0.0001,176,0.076953125,314.1496276855469,0.01043619,-1.996015814691782,647.6377316474915,0.2,0.21786904335021973
8,-136.03818217,71.48,55296,1,52544,2698.0,27,-0.004170433161198162,0.0001,181,0.07275390625,447.75506591796875,0.009504781,-2.0282583057880403,638.0316019058228,0.2,0.273887574672699
8,-138.88868660999998,74.88,57344,1,54595,2698.0,28,-0.005718884203815833,0.0001,186,0.05673828125,431.9327697753906,0.0064505315,-2.0103305488824845,636.1601568222046,0.2,0.22369712591171265
8,-139.64495048999999,77.85,59392,1,56642,2698.0,29,-0.0047591586975613605,0.0001,191,0.08740234375,238.23739624023438,0.010212252,-2.0238869093358516,665.9537160873413,0.2,0.25786465406417847
8,-133.72198351,72.99,61440,1,58708,2698.0,30,-0.008915474082459695,0.0001,196,0.11826171875,134.11737060546875,0.011722051,-2.0454654835164545,604.0088233947754,0.2,0.28089767694473267
8,-131.03136886000001,69.36,63488,1,60819,2770.0,31,-0.008670338304364122,0.0001,201,0.054296875,195.7249755859375,0.008224389,-2.024798033386469,472.30186700820923,0.2,0.29815638065338135
