custom/max_height,time/fps,time/total_timesteps,custom/current_screen,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates
9794.0,2,2048,28,1,77.15384615384616,751,148.3770627307692,,,,,,,,,,
9794.0,2,4096,28,2,78.07692307692308,1512,155.77679890384616,1067.0875244140625,0.00071405363,0.0001,-0.09768274978268891,0.2,2170.623598098755,-0.0009240843617590144,0.0080078125,0.25234025716781616,270
9778.0,2,6144,28,3,78.74358974358974,2261,143.32813611538464,607.3574829101562,0.0007698233,0.0001,-0.10097784949466586,0.2,2008.4582660675048,-0.000647431900142692,0.00888671875,0.23102229833602905,275
9898.0,2,8192,28,4,79.26,3020,160.80727539999998,3210.723388671875,0.00068704516,0.0001,-0.10263128019869328,0.2,2849.5346923828124,-0.0006169321575725916,0.00625,0.12060678005218506,280
9794.0,2,10240,28,5,77.94,3756,139.67105975,380.97540283203125,0.0015968909,0.0001,-0.1164149360731244,0.2,1251.4836278915404,-0.0013566681343945674,0.01396484375,0.3597058653831482,285
9778.0,2,12288,28,6,78.58,4506,130.72971035999998,671.0446166992188,0.00063271413,0.0001,-0.09767812120262534,0.2,2800.0813274383545,-0.0012534226989373565,0.00625,0.14400207996368408,290
9794.0,2,14336,28,7,77.69,5259,135.37032861999998,857.8146362304688,0.0021939583,0.0001,-0.10498787723481655,0.2,2890.843230819702,-0.003110184328397736,0.01689453125,0.10745775699615479,295
9778.0,2,16384,28,8,76.23,5994,132.00151741,706.4486694335938,0.0012690717,0.0001,-0.10470477908384054,0.2,1814.894474220276,-0.0006952304145670495,0.01005859375,0.2655741572380066,300
9898.0,2,18432,28,9,77.73,6737,143.75558375999998,544.83740234375,0.00042370672,0.0001,-0.11243219044990838,0.2,1540.1729974746704,7.175965292844921e-05,0.00458984375,0.3173922300338745,305
9778.0,2,20480,28,10,77.5,7471,145.63511665000001,1060.6376953125,0.00077449635,0.0001,-0.09775612787343561,0.2,2956.9388061523437,-0.0012881441420176999,0.00859375,0.09046560525894165,310
9778.0,2,22528,28,11,76.28,8248,119.84029614,1115.390625,0.0010975695,0.0001,-0.10260572300758213,0.2,2519.1748336791993,-0.002341717448143754,0.01591796875,0.18572986125946045,315
9898.0,2,24576,28,12,75.81,9010,113.44983319,924.7896118164062,0.0007529686,0.0001,-0.09378012886736542,0.2,3748.3710494995116,-0.0006689427100354806,0.00380859375,0.036012351512908936,320
9794.0,2,26624,28,13,74.13,9738,122.35371164999997,410.1584777832031,0.0008429348,0.0001,-0.10026526243891568,0.2,2377.6148487091064,-0.000941635267372476,0.0083984375,0.1681218147277832,325
9898.0,2,28672,28,14,75.75,10527,137.13986004999998,281.7402648925781,0.00065013685,0.0001,-0.09935010748449713,0.2,1736.054409790039,-0.00023099173849914223,0.007421875,0.29595082998275757,330
