custom/current_screen,time/fps,time/iterations,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
16,0,1,5474.0,-144.09812209,4411,2048,3.28,,,,,,,,,,
16,0,2,5474.0,-141.57256400000003,8373,4096,3.6,4,0.021525634,0.0015773177146911621,0.2,-2.4730964313119146,7536.400390625,0.0001,-0.05173998284627194,15661.876431739936,0.20590572033898305
16,0,3,5474.0,-138.62471944,12100,6144,4.95,9,0.01919446,-0.026733994483947754,0.2,-2.4288821309804915,6185.83203125,0.0001,-0.04720163223391864,12742.888818359375,0.19873046875
16,0,4,5474.0,-135.68919244,15636,8192,5.69,14,0.013874853,-0.00860738754272461,0.2,-2.375975602865219,4933.380859375,0.0001,-0.03897520107566379,10922.271911621094,0.13662109375
