time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,custom/current_screen,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/n_updates
14,1,24834,28672,5.0297544799999985,23.39,1034.0,3,3990.811279296875,0.001171875,-1.5348093509674072,0.0001,-0.0013847540292772464,9043.322201538085,0.047408878803253174,0.2,0.0008685577,284
15,1,26673,30720,33.63844903,22.78,1034.0,3,3586.48193359375,0.0072265625,-1.5381993263959886,0.0001,-0.00391053078637924,8435.076824951171,0.031021177768707275,0.2,0.0016600405,289
16,1,28593,32768,-12.638297730000003,20.09,1034.0,3,4452.38916015625,0.00791015625,-1.5037881545722485,0.0001,-0.0035234053793828934,10038.375775146484,0.04018527269363403,0.2,0.0016222883,294
17,1,30484,34816,19.253868130000004,22.51,890.0,3,4007.045654296875,0.01220703125,-1.4399763636291028,0.0001,-0.003957269847160205,9494.053674316407,0.02491825819015503,0.2,0.002460363,299
18,1,32389,36864,22.33783746000001,17.98,786.0,3,3986.5625,0.006640625,-1.479850571602583,0.0001,-0.002526192905497737,9716.671505737304,0.051017165184020996,0.2,0.0022950182,304
19,1,34303,38912,28.881778069999992,17.92,1034.0,3,6706.578125,0.011328125,-1.4528438314795493,0.0001,-0.004768792050890624,11673.041778564453,0.04528498649597168,0.2,0.0031152791,309
20,1,36263,40960,23.881442809999996,18.95,786.0,3,6458.9208984375,0.00576171875,-1.4070592798292636,0.0001,-0.0026694360247347506,11878.234979248047,0.012351632118225098,0.2,0.0028371166,314
21,1,38215,43008,20.25973342,18.93,890.0,3,5748.83642578125,0.0134765625,-1.428818266093731,0.0001,-0.0030430571408942343,11387.068438720704,0.009780347347259521,0.2,0.0019747103,319
22,1,40140,45056,28.009128490000002,20.73,890.0,3,5299.49365234375,0.007421875,-1.4773582436144352,0.0001,-0.0023781536699971186,11573.908880615234,0.026455223560333252,0.2,0.0014617932,324
23,1,42115,47104,30.852183020000002,19.91,786.0,3,3887.373046875,0.0029296875,-1.4599784173071384,0.0001,-0.0024049979954725133,10245.965167236329,0.042695462703704834,0.2,0.00091102096,329
24,1,44058,49152,31.28551938,18.97,978.0,3,5057.46435546875,0.00478515625,-1.4446492135524749,0.0001,-0.00233827879128512,11166.230651855469,0.012087762355804443,0.2,0.0010212183,334
25,1,46034,51200,47.81918313999999,18.06,1034.0,3,6400.361328125,0.0064453125,-1.479216253757477,0.0001,-0.0018848151172278448,11176.372253417969,0.010853052139282227,0.2,0.0017334396,339
26,1,48078,53248,36.067027440000004,17.49,890.0,3,6660.1865234375,0.0017578125,-1.4439513973891736,0.0001,-0.0008041175140533596,12221.153076171875,0.022949576377868652,0.2,0.0009151349,344
27,1,49962,55296,68.78075693999999,22.9,1034.0,3,6576.892578125,0.0076171875,-1.4458953380584716,0.0001,-0.002927531686145812,12434.84741821289,0.012604951858520508,0.2,0.0018546911,349
28,1,52002,57344,11.232407839999997,18.55,1034.0,3,4531.591796875,0.0171875,-1.4822799794375896,0.0001,-0.0036338531761430206,9328.317141723634,0.017233848571777344,0.2,0.0046669445,354
29,1,53991,59392,13.736447089999999,17.68,890.0,3,5729.5576171875,0.0099609375,-1.447561839222908,0.0001,-0.003333569969981909,11318.386376953125,-0.00025904178619384766,0.2,0.0013506948,359
30,1,55982,61440,27.76393441000001,17.9,890.0,3,5040.83740234375,0.0048828125,-1.4555046193301677,0.0001,-0.001991014459053986,11304.84912109375,0.015595316886901855,0.2,0.0007722661,364
31,1,57977,63488,32.08064374,19.5,890.0,3,6986.30810546875,0.0021484375,-1.4735531032085418,0.0001,-0.0007548104360466823,12363.795697021484,0.0154915452003479,0.2,0.0009305291,369
32,1,59974,65536,36.656738440000005,18.04,890.0,3,5476.5634765625,0.0068359375,-1.452276523411274,0.0001,-0.002698067406890914,11666.449322509765,0.010933160781860352,0.2,0.0012942946,374
33,1,62039,67584,39.65794328000001,19.14,890.0,3,7027.2587890625,0.0072265625,-1.4531247854232787,0.0001,-0.0014519493008265272,11575.17260131836,0.025769531726837158,0.2,0.0014257461,379
