custom/max_height,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,custom/current_screen,time/time_elapsed,train/loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl
12722.0,0,1,-110.7049,1024,6.75,36,1617,,,,,,,,,,
12722.0,0,2,-101.77151999999998,2048,7.45,36,3252,10328.4287109375,-0.02417858939152211,0.0001,-0.00037980079650878906,0.2,-1.089916917681694,5,0.1244140625,23166.589794921874,0.0132962745
12714.0,0,3,-92.01686,3072,6.97,36,4909,13762.0791015625,-0.015649023663718252,0.0001,0.00037795305252075195,0.2,-1.0595843769609927,10,0.109765625,23847.281103515626,0.010686533
12722.0,0,4,-104.82228,4096,7.49,36,6499,11726.4267578125,-0.02512032805243507,0.0001,0.0010788440704345703,0.2,-1.0412532724440098,15,0.1654296875,22662.81466064453,0.013038224
