rollout/ep_len_mean,time/total_timesteps,custom/current_screen,custom/max_height,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
68.96551724137932,2048,28,9898.0,1,666,3,491.4245399310344,,,,,,,,,,
70.75438596491227,4096,28,9994.0,2,1337,3,491.179601122807,43150.79479980469,-0.06994860385311767,17622.65625,0.00035197532,0.00185546875,0.0001,45,-0.0006959518839721567,0.2,0.009286463260650635
73.3132530120482,6144,28,9930.0,3,1988,3,535.4244498554218,41865.02629394531,-0.06583630394889042,16756.87109375,0.00011067619,0.001171875,0.0001,50,-0.0004969247442204505,0.2,0.0063285231590271
75.43,8192,28,9898.0,4,2640,3,565.8455151600001,41269.56849365235,-0.06483618242200465,25494.89453125,0.00018413077,0.0001953125,0.0001,55,-0.0005758780214819125,0.2,0.00754547119140625
77.66,10240,28,9930.0,5,3294,3,597.9565736500001,40866.23881835937,-0.06292564856121316,25689.267578125,0.00015076759,0.001171875,0.0001,60,-0.00022399700828827916,0.2,0.006141245365142822
78.68,12288,28,9898.0,6,3945,3,618.56004479,39150.88858642578,-0.06235786690376699,14784.33984375,0.00014023273,0.00078125,0.0001,65,-0.00023412390728481114,0.2,0.004787027835845947
79.15,14336,28,9930.0,7,4600,3,619.1316215200001,39738.49185791016,-0.0590000803465955,14727.361328125,0.00027660502,0.0013671875,0.0001,70,-0.00024280554935103283,0.2,0.004183769226074219
79.42,16384,28,9778.0,8,5256,3,619.5776002700001,38689.48742675781,-0.0599820556351915,22449.283203125,0.00038813,0.00302734375,0.0001,75,-0.000799599799211137,0.2,0.0030450820922851562
79.41,18432,28,9994.0,9,5907,3,610.3233109800001,39530.16170654297,-0.05903642575722188,16801.30859375,0.00067117426,0.00546875,0.0001,80,-0.0006058923856471666,0.2,0.0027090907096862793
80.55,20480,28,9898.0,10,6556,3,621.10476816,35541.89871826172,-0.05843219805392437,19657.85546875,7.0012e-05,0.00029296875,0.0001,85,-0.00023521492548752576,0.2,0.002537965774536133
78.66,22528,28,9794.0,11,7227,3,599.49061156,36017.455505371094,-0.06439552322262898,18985.564453125,0.0002479278,0.0013671875,0.0001,90,-0.00018024265300482513,0.2,0.0021424293518066406
79.47,24576,28,9994.0,12,7880,3,609.89877993,39610.930908203125,-0.05844306622748263,19156.97265625,0.00035980696,0.0025390625,0.0001,95,-0.0008330539640155621,0.2,0.0015797615051269531
79.15,26624,28,9794.0,13,8530,3,619.15673759,34678.15107421875,-0.057693337032105774,17472.712890625,0.00014288677,0.00244140625,0.0001,100,-0.0009170842065941542,0.2,0.0019529461860656738
