custom/max_height,time/iterations,custom/current_screen,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_fraction
186.0,1,1,1,8.0,463,0.0,512,,,,,,,,,,
90.0,2,1,1,8.0,926,0.0,1024,10,0.0003,-5.355774879455566,0.05126625514822081,0.2,-1.3907397717237473,0.09710052,-0.12280908226966858,-0.01825983196031302,0.4771484375
-158.0,3,0,1,8.0,1377,0.0,1536,20,0.0003,-23.758392333984375,0.002172913282629452,0.2,-1.515449483692646,0.09284642,-0.14612464606761932,-0.0356294822297059,0.39765625
-302.0,4,0,1,8.0,1865,0.0,2048,30,0.0003,-29.11341094970703,0.00017349283349403776,0.2,-1.9724621906876565,0.078776374,-0.127726212143898,-0.029752137273317204,0.5484375
-158.0,5,0,1,8.0,2337,-0.06,2560,40,0.0003,-50.86656951904297,0.0003166683822200866,0.2,-2.186905598640442,0.06399809,-0.1829637885093689,-0.038977667910512534,0.488671875
-302.0,6,0,1,8.0,2812,-0.12,3072,50,0.0003,-0.0008380413055419922,0.3503140197251923,0.2,-2.3860349118709565,0.04588311,0.1175263375043869,-0.012516654568025842,0.4951171875
-302.0,7,0,1,8.0,3304,-0.06,3584,60,0.0003,-0.057403564453125,0.26019639672013,0.2,-2.3482836186885834,0.060554765,-0.1840749979019165,-0.03316934348549694,0.422265625
-158.0,8,0,1,8.0,3815,0.0,4096,70,0.0003,-181.45535278320312,0.00710463744453591,0.2,-2.6448555171489714,0.0825987,-0.18243780732154846,-0.02557044989662245,0.4810546875
-302.0,9,0,1,8.0,4331,-0.06,4608,80,0.0003,-33.14839553833008,0.0002488032162773379,0.2,-2.6206655353307724,0.0941955,-0.17727349698543549,-0.04370793891139328,0.536328125
-302.0,10,0,1,8.0,4837,-0.03,5120,90,0.0003,-0.00012564659118652344,0.17217843746711878,0.2,-2.8288905054330824,0.05148943,-0.09012680500745773,-0.01875061261234805,0.4623046875
-302.0,11,0,1,8.0,5351,-0.12,5632,100,0.0003,-42.74367904663086,0.002975159818015527,0.2,-2.8827349454164506,0.05834255,-0.2108123004436493,-0.044305678782984616,0.4671875
-302.0,12,0,1,8.0,5871,-0.12,6144,110,0.0003,0.0004267096519470215,0.7739785193327406,0.2,-2.8378844976425173,0.025298882,-0.12787489593029022,-0.02094876494957134,0.347265625
-302.0,13,0,1,8.0,6382,0.0,6656,120,0.0003,-71.75658416748047,0.014686902481116704,0.2,-2.9742234855890275,0.06460731,-0.1779823899269104,-0.03146882235305384,0.4736328125
-302.0,14,0,1,8.0,6900,0.0,7168,130,0.0003,-49.36587905883789,3.0931588884186564e-05,0.2,-2.9618402987718584,0.06315545,-0.2250150442123413,-0.03947486102115363,0.4712890625
-302.0,15,0,1,8.0,7427,0.0,7680,140,0.0003,-132.62054443359375,5.902311488057421e-05,0.2,-2.9832333356142042,0.041007403,-0.2033097743988037,-0.023441863671178,0.3994140625
