custom/max_height,custom/current_screen,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss
186.0,1,5.33,-59.61200000000001,1,1,1901,2048,,,,,,,,,,
90.0,1,5.35,-71.86000000000001,1,2,3815,4096,0.0,10,10071.74047088623,6163.6103515625,-3.401364665478468e-08,0.0,0.2,3e-05,-0.0002709627151489258,-1.2619179755449295
-158.0,0,5.01,-64.67199999999998,1,3,5734,6144,0.0,20,11410.475614929199,4418.92138671875,4.844332579523325e-09,0.0,0.2,3e-05,0.0012481212615966797,-1.258088954910636
-158.0,0,5.6,-59.196,1,4,7648,8192,0.067041015625,30,13291.260006713866,2901.45849609375,-0.012130217108642682,0.010295224,0.2,3e-05,0.0027188658714294434,-1.245116114243865
90.0,1,5.59,-54.94,1,5,9613,10240,0.05830078125,40,10704.13394470215,3512.853759765625,-0.013742024432576726,0.007592383,0.2,3e-05,0.0033118724822998047,-1.2222556471824646
90.0,1,4.98,-66.20000000000002,1,6,11565,12288,0.0689453125,50,13585.326828765868,3840.5341796875,-0.011559713156020734,0.0072616674,0.2,3e-05,0.0037418603897094727,-1.1494006883352994
186.0,1,4.54,-54.66400000000001,1,7,13551,14336,0.068896484375,60,11150.962459564209,3722.442626953125,-0.014247406495269389,0.008126635,0.2,3e-05,0.0024652481079101562,-1.2063653871417046
90.0,1,4.48,-67.95999999999998,1,8,15497,16384,0.044873046875,70,11652.547120666504,10164.1337890625,-0.009451193941640668,0.0075796894,0.2,3e-05,0.004609823226928711,-1.1654926728457213
186.0,1,5.42,-52.896000000000015,1,9,17452,18432,0.079248046875,80,12424.58635559082,3133.77001953125,-0.010754412204551044,0.009531291,0.2,3e-05,0.005333006381988525,-1.1594684969633817
-158.0,0,5.44,-62.584,1,10,19434,20480,0.15234375,90,7652.502747344971,2414.618896484375,-0.01639853106898954,0.012029032,0.2,3e-05,0.005854487419128418,-1.1363471997901797
90.0,1,5.59,-57.032,1,11,21452,22528,0.101220703125,100,6637.921309661865,2288.302490234375,-0.013275229264399968,0.008569298,0.2,3e-05,0.009840071201324463,-0.9981866631656885
186.0,1,5.55,-59.224,1,12,23474,24576,0.0955078125,110,6183.111548233032,2509.4931640625,-0.012877684623526875,0.007032968,0.2,3e-05,0.017975211143493652,-0.9461427308619023
186.0,1,5.88,-60.812,1,13,25499,26624,0.09638671875,120,6293.52663230896,3139.408447265625,-0.013996926641266328,0.007191238,0.2,3e-05,0.021725118160247803,-0.8954931940883398
306.0,1,5.26,-55.94,1,14,27520,28672,0.074658203125,130,5583.0843868255615,1009.48974609375,-0.011805108199769165,0.0056186356,0.2,3e-05,0.023634910583496094,-0.928068564273417
186.0,1,5.89,-62.972,1,15,29539,30720,0.0458984375,140,6228.00877494812,2836.0390625,-0.007440219572163187,0.0046249377,0.2,3e-05,0.03370404243469238,-0.8861713236197829
186.0,1,6.54,-63.123999999999995,1,16,31575,32768,0.091748046875,150,6883.56537399292,4785.0400390625,-0.01431559268530691,0.0073696002,0.2,3e-05,0.041126787662506104,-0.8417514434084297
90.0,1,6.37,-68.624,1,17,33617,34816,0.07421875,160,4528.348525047302,1186.480224609375,-0.009145177375467028,0.0052412,0.2,3e-05,0.0468408465385437,-0.7656855205073952
90.0,1,6.25,-58.18800000000001,1,18,35629,36864,0.0404296875,170,4665.192868423462,358.3385314941406,-0.007084844649943989,0.0037717298,0.2,3e-05,0.03481400012969971,-0.6536473894491792
90.0,1,6.34,-61.21999999999999,1,19,37678,38912,0.05126953125,180,4530.012074661255,967.8712158203125,-0.011042214000190143,0.004536215,0.2,3e-05,0.054300010204315186,-0.7255646536126733
186.0,1,6.82,-63.58799999999999,1,20,39720,40960,0.064599609375,190,2527.5534982681274,3059.003173828125,-0.012030408821010497,0.0041286238,0.2,3e-05,0.07602101564407349,-0.5277077750302851
90.0,1,6.71,-62.74799999999999,1,21,41780,43008,0.0533203125,200,2617.902557849884,739.4902954101562,-0.008968043110508006,0.004241288,0.2,3e-05,0.07980573177337646,-0.5362061753869056
186.0,1,6.77,-68.104,1,22,43844,45056,0.034912109375,210,2040.018541908264,451.771728515625,-0.007725057113566436,0.004244061,0.2,3e-05,0.06761407852172852,-0.5050748092122376
90.0,1,6.9,-66.868,1,23,45880,47104,0.030859375,220,1722.3498410224915,640.3878784179688,-0.005732115435966989,0.0020297635,0.2,3e-05,0.06048238277435303,-0.42272642757743595
