custom/max_height,time/iterations,custom/current_screen,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance
8714.0,11,25,2,-383.72595999999993,11264,4495,55.32,-1.0433864310383796,0.0032114228,0.0001,0.0232421875,7351.08251953125,14346.182000732422,0.2,-0.005423943605273962,110,-1.6570091247558594e-05
8714.0,12,25,2,-384.87296000000003,12288,4926,56.92,-1.0349068149924279,0.0021201896,0.0001,0.0046875,7106.36279296875,11488.543618774414,0.2,-0.0035924375581089405,115,-2.753734588623047e-05
8714.0,13,25,2,-377.5989599999999,13312,5337,60.44,-1.0459318995475768,0.004162741,0.0001,0.0115234375,5843.7744140625,11396.211456298828,0.2,-0.0024711476056836546,120,-1.3589859008789062e-05
8714.0,14,25,2,-369.80396,14336,5765,60.1,-1.1097664937376976,0.0025392477,0.0001,0.0267578125,3730.01025390625,8387.65237121582,0.2,-0.0017779621062800287,125,-1.609325408935547e-05
8714.0,15,25,2,-372.48996,15360,6171,60.2,-1.1535292133688926,0.0038182712,0.0001,0.0349609375,10236.9150390625,14813.361419677734,0.2,-0.0013540920743253082,130,5.543231964111328e-06
8714.0,16,25,2,-356.02242857,16384,6650,55.94,-1.1712205797433852,0.002651341,0.0001,0.0109375,3365.949951171875,9860.212026977539,0.2,-0.0032093840069137513,135,-2.7418136596679688e-05
8714.0,17,25,2,-353.71842856999996,17408,7099,56.61,-1.1719455122947693,0.0027913104,0.0001,0.0095703125,6117.61328125,17651.657751464845,0.2,-0.006388012511888519,140,1.6450881958007812e-05
8714.0,18,25,2,-349.24842857,18432,7519,55.6,-1.1717390775680543,0.0138463415,0.0001,0.109375,3374.228271484375,8066.50397644043,0.2,-0.014289681846275926,145,-0.00023102760314941406
8714.0,19,25,2,-342.50902041,19456,7939,55.62,-1.1620642766356468,0.004939536,0.0001,0.00234375,5864.232421875,8790.162994384766,0.2,-0.004350040759891272,150,5.960464477539063e-08
8714.0,20,25,2,-355.02502041,20480,8437,49.9,-1.168306252360344,0.005641795,0.0001,0.065234375,6026.39306640625,12014.58461303711,0.2,-0.0038522452756296842,155,5.036592483520508e-05
8730.0,21,25,2,-369.81859183999995,21504,8889,52.16,-1.1837858110666275,0.007724966,0.0001,0.0375,8304.673828125,16694.861419677734,0.2,-0.006773322535445913,160,1.7881393432617188e-07
8714.0,22,25,2,-365.60778231999996,22528,9305,54.17,-1.153715893626213,0.0037880586,0.0001,0.005078125,3544.33251953125,9448.236178588868,0.2,-0.0049277173820883036,165,-6.794929504394531e-06
8714.0,23,25,2,-351.66038887999997,23552,9724,53.95,-1.1643843978643418,0.0098636765,0.0001,0.134765625,5275.1015625,9505.668585205078,0.2,-0.009893004223704338,170,6.67572021484375e-05
8714.0,24,25,2,-346.67325317999996,24576,10172,54.12,-1.1670611917972564,0.012553578,0.0001,0.1798828125,4062.91943359375,9031.411267089843,0.2,-0.011265165891381912,175,0.001939237117767334
8714.0,25,25,2,-346.59425317999995,25600,10623,53.96,-1.1615450009703636,0.006698669,0.0001,0.0240234375,4071.3310546875,12212.435009765624,0.2,-0.005580870056292042,180,0.004019975662231445
8714.0,26,25,2,-344.1062531799999,26624,11128,52.06,-1.1776413753628732,0.004487044,0.0001,0.0037109375,6136.31884765625,9823.747360229492,0.2,-0.002769122290192172,185,-0.006354570388793945
8714.0,27,25,2,-365.64706270000005,27648,11608,48.15,-1.1588833212852478,0.0058436496,0.0001,0.008984375,9092.6083984375,15630.925592041016,0.2,-0.007156104041496292,190,-0.00027763843536376953
8714.0,28,25,2,-381.4634561399999,28672,12037,50.2,-1.152041719853878,0.008074347,0.0001,0.0390625,7374.4404296875,12663.706512451172,0.2,-0.005241601180750876,195,-2.5272369384765625e-05
8714.0,29,25,2,-392.527,29696,12467,51.3,-1.1607413917779923,0.0071137613,0.0001,0.0130859375,4037.509765625,8672.847271728515,0.2,-0.0038731349690351636,200,-5.364418029785156e-06
8714.0,30,25,2,-393.4789999999999,30720,12903,51.44,-1.1656749650835991,0.004341562,0.0001,0.0357421875,3008.81787109375,6918.738809204102,0.2,-0.006380631728097797,205,-4.887580871582031e-06
8730.0,31,25,2,-392.316,31744,13370,52.78,-1.177986741065979,0.0019249049,0.0001,0.0005859375,3271.679931640625,8403.418692016601,0.2,-0.0015973008004948497,210,0.0001849532127380371
8714.0,32,25,2,-382.22159184,32768,13846,52.82,-1.1607325091958045,0.006498293,0.0001,0.03515625,5246.90576171875,10800.409033203125,0.2,-0.010292043420486152,215,-6.794929504394531e-06
8714.0,33,25,2,-378.16259184,33792,14291,48.62,-1.1487306505441666,0.0010402313,0.0001,0.0,6800.87158203125,17039.757708740235,0.2,-0.0028083018958568575,220,0.007268011569976807
8714.0,34,25,2,-376.11359184,34816,14775,43.7,-1.1454874083399773,0.008298467,0.0001,0.05625,6180.9501953125,8741.506747436524,0.2,-0.006461164026404731,225,-0.0054776668548583984
8714.0,35,25,2,-372.4645918399999,35840,15210,47.15,-1.1593515276908875,0.008325955,0.0001,0.0626953125,5306.240234375,10602.197802734376,0.2,-0.006844504567561671,230,0.00014472007751464844
8714.0,36,25,2,-366.19459183999993,36864,15631,50.47,-1.1384673908352851,0.0115104,0.0001,0.11328125,4563.5439453125,7830.231582641602,0.2,-0.015260232368018479,235,-0.00026535987854003906
8714.0,37,25,2,-357.27295181,37888,16057,54.9,-1.1765821769833564,0.009738706,0.0001,0.1298828125,3008.363525390625,5673.656625366211,0.2,-0.008261176361702382,240,0.00012087821960449219
8714.0,38,25,2,-358.33295181,38912,16494,54.67,-1.1926251306372173,0.014325841,0.0001,0.1549258474576271,5047.3740234375,8005.557613049524,0.2,0.00023332798174756058,244,0.008781194686889648
8714.0,39,25,2,-350.17995181,39936,16912,56.15,-1.1090094059705735,0.0022702208,0.0001,0.062890625,4621.6552734375,7199.525955200195,0.2,-0.0029776218230836093,249,5.7220458984375e-06
