time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/current_screen,custom/max_height,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss
0,1,7.8,23.10285629,2048,12,4074.0,2758,,,,,,,,,,
0,2,7.75,57.68831945,4096,12,4314.0,5484,0.06708984375,0.0001,0.2,-1.1278094924986362,227,0.020110607147216797,-0.002237800054717809,0.0060956273,20357.563226318358,10324.1708984375
0,3,8.17,70.03201355000002,6144,12,4074.0,8209,0.0658203125,0.0001,0.2,-1.1204901482909917,232,0.01980525255203247,-0.004413971258327365,0.0094143795,21379.467431640624,11229.1845703125
0,4,7.53,39.80406669,8192,12,4146.0,11041,0.045096544715447155,0.0001,0.2,-1.1141932083339225,236,0.023798108100891113,0.0005799974958465351,0.016927926,20825.060102261177,9862.9111328125
0,5,7.54,43.94824729999999,10240,12,4074.0,13839,0.013888888888888888,0.0001,0.2,-1.1403645740614996,237,0.012399137020111084,0.00022215923915306726,0.0032678798,21056.125651041668,10238.3486328125
0,6,7.66,49.94078806,12288,12,4314.0,16683,0.02221513605442177,0.0001,0.2,-1.120956276549774,242,0.022297143936157227,-0.0028387117357987937,0.0074962615,21402.032645089286,10347.9716796875
0,7,7.43,30.559358409999994,14336,12,4074.0,19518,0.03310546875,0.0001,0.2,-1.1485443010926246,247,0.041064441204071045,-0.002806120621971786,0.0049075102,22203.1515625,10639.533203125
0,8,7.42,22.226118879999998,16384,12,4002.0,22374,0.0173828125,0.0001,0.2,-1.1461952745914459,252,0.02862149477005005,-0.005526304512750357,0.0053081857,21361.799438476562,10040.482421875
0,9,8.23,80.04617739,18432,12,4074.0,25149,0.01689453125,0.0001,0.2,-1.1135464020073413,257,0.04130733013153076,-0.001128122367663309,0.0056351274,21249.36912841797,10161.876953125
0,10,7.73,109.46854368,20480,12,4074.0,27993,0.035625,0.0001,0.2,-1.0943214035034179,261,0.03298211097717285,-0.0024643126176670193,0.016037134,20931.40638671875,9836.341796875
0,11,7.69,69.42412142,22528,12,4074.0,30752,0.026988636363636364,0.0001,0.2,-1.0682944601232356,262,0.015316665172576904,0.003442401997745037,0.010630877,21398.890625,10353.1328125
0,12,8.19,31.405066029999997,24576,12,4002.0,33487,0.03515625,0.0001,0.2,-1.1470341682434082,263,0.012441098690032959,0.008080302271991968,0.010227567,19663.975341796875,10187.669921875
0,13,8.58,37.96106863,26624,12,4074.0,36171,0.03768382352941176,0.0001,0.2,-1.2468863725662231,264,0.014938116073608398,0.013837167500134777,0.01141972,21756.698529411766,11751.7216796875
0,14,8.36,45.10904175,28672,12,4074.0,38875,0.027083333333333334,0.0001,0.2,-1.2154640595118205,265,0.012516617774963379,-0.0017489821339646975,0.007696546,20327.667057291666,10497.72265625
0,15,8.0,16.700925140000003,30720,12,4074.0,41633,0.01650390625,0.0001,0.2,-1.2371435411274434,270,0.02117443084716797,-0.0009975399414543062,0.002764406,20051.48370361328,10355.4482421875
0,16,8.88,86.36268647000001,32768,12,4234.0,44304,0.02373046875,0.0001,0.2,-1.2104037284851075,275,0.031524717807769775,-0.006235859720618464,0.0056330934,19851.261291503906,10048.578125
0,17,7.44,13.15771225,34816,12,4074.0,47083,0.022039473684210525,0.0001,0.2,-1.1587369780791432,278,0.03579789400100708,0.0010515854644932245,0.009112665,21112.110464638157,10138.822265625
0,18,7.55,25.538221749999998,36864,12,4250.0,49950,0.096484375,0.0001,0.2,-1.2250395625829698,283,0.014893174171447754,-0.007857241673627868,0.0069766557,21012.23309326172,10721.580078125
0,19,7.18,23.61294427,38912,12,4146.0,52827,0.0009765625,0.0001,0.2,-1.2156156867742538,288,0.04317408800125122,-0.003015221279929392,0.0014604992,21032.26339111328,9951.9267578125
