custom/current_screen,custom/max_height,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/n_updates
32,11426.0,0,12.848101265822784,1,1243,1024,151.72343696202535,,,,,,,,,,
32,11274.0,0,12.96,2,2508,2048,166.01839657999997,-0.010847368295071647,0.0034844817,7844.1552734375,0.0302734375,-0.9009959943592548,0.0001,0.12619799375534058,14537.98201904297,0.2,105
32,11226.0,0,13.5,3,3735,3072,195.07945066999997,-0.006046321534086019,0.0014593839,7266.47412109375,0.0033203125,-0.9293218426406383,0.0001,0.15036320686340332,13404.397668457032,0.2,110
32,11234.0,0,12.99,4,4996,4096,204.03191417,-0.007833782635862008,0.0019919677,6135.87451171875,0.004296875,-0.8521972939372062,0.0001,0.0006905198097229004,13299.014489746094,0.2,115
32,11490.0,0,13.72,5,6253,5120,207.50011866,-0.007570244872476905,0.0030962615,6992.5341796875,0.0068359375,-0.8471710130572319,0.0001,0.05714040994644165,13161.561145019532,0.2,120
32,11202.0,0,13.91,6,7498,6144,211.58979743999996,-0.007266681484179571,0.0042814817,6183.73876953125,0.0240234375,-0.8791149213910103,0.0001,0.0980185866355896,12641.215771484374,0.2,125
32,11202.0,0,14.36,7,8686,7168,227.93579386000002,-0.006369901134166867,0.0016777345,5503.4228515625,0.0044921875,-0.867411008477211,0.0001,0.07780599594116211,12672.488952636719,0.2,130
32,11202.0,0,13.98,8,9968,8192,219.94399334999997,-0.010240047913976013,0.0042846426,5403.4560546875,0.024609375,-0.8535783149302005,0.0001,0.005039870738983154,11504.874096679687,0.2,135
