custom/current_screen,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,custom/max_height,rollout/ep_len_mean,time/iterations,time/fps,train/learning_rate,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss
25,1148,629.2806468552631,2048,8930.0,26.06578947368421,1,1,,,,,,,,,,
25,2206,691.49981091,4096,8930.0,30.22,2,1,0.0001,134718.7846191406,5,0.2,-0.7534191131591796,2.9802322387695312e-05,72549.9453125,0.005483974,0.05126953125,-0.003720205870922655
25,3333,660.8133293599999,6144,8930.0,31.73,3,1,0.0001,112334.69584960937,10,0.2,-0.7306532852351666,0.01907336711883545,52603.07421875,0.0029304326,0.0041015625,-0.0022767919435864314
25,4411,668.93837817,8192,8930.0,31.1,4,1,0.0001,117799.90629882812,15,0.2,-0.739879259839654,0.0069318413734436035,49563.1796875,0.0030483124,0.00458984375,-0.004724832784268074
25,5565,677.9519064899999,10240,8714.0,29.79,5,1,0.0001,106412.06298828125,20,0.2,-0.7009672369807959,0.005095005035400391,50737.30078125,0.0023061514,0.00458984375,-0.0022499969752971085
25,6726,627.8281232999999,12288,8714.0,26.95,6,1,0.0001,121054.8037109375,25,0.2,-0.7415932793170213,0.0055800676345825195,55982.49609375,0.003259305,0.01025390625,-0.0005975193198537454
25,7852,659.9692377299999,14336,8730.0,28.45,7,1,0.0001,124275.8185546875,30,0.2,-0.7506264723837376,0.002457141876220703,57937.18359375,0.0036437216,0.00830078125,1.795275020413101e-05
25,8972,638.4835746,16384,8714.0,29.12,8,1,0.0001,112439.74116210938,35,0.2,-0.7643530011177063,0.0026853084564208984,59080.7734375,0.0027539989,0.015234375,-0.004940817048191093
25,10051,629.99431643,18432,8930.0,31.66,9,1,0.0001,110390.1017578125,40,0.2,-0.7256149988621473,0.0017331242561340332,55372.0625,0.003716212,0.02919921875,-0.004693018842954188
25,11109,623.06313934,20480,8930.0,34.04,10,1,0.0001,90747.62980957031,45,0.2,-0.7307664442807436,0.0009625554084777832,40376.85546875,0.0014117179,0.0009765625,-0.0017025488545186819
25,12223,671.9548980100001,22528,8730.0,29.04,11,1,0.0001,98241.68071289062,50,0.2,-0.6793252974748611,0.00024300813674926758,46861.69921875,0.004297655,0.01025390625,-0.0019780550472205507
25,13375,640.12405742,24576,8730.0,27.98,12,1,0.0001,111191.68115234375,55,0.2,-0.7349540650844574,0.0006442070007324219,54009.578125,0.003205334,0.00810546875,-0.0034988530882401393
25,14467,614.8385289599998,26624,8930.0,30.19,13,1,0.0001,111930.66635742187,60,0.2,-0.7816289369016886,0.0008848309516906738,54993.7265625,0.003543876,0.021875,-0.0025961745297536252
25,15577,635.45130737,28672,8930.0,28.55,14,1,0.0001,94018.94296875,65,0.2,-0.7558492381125689,0.0006103515625,44150.01171875,0.004513913,0.0189453125,-0.005222294194390997
25,16717,647.02573389,30720,8714.0,28.42,15,1,0.0001,103377.14936523438,70,0.2,-0.7630313523113728,0.0005022287368774414,47381.4375,0.0033211303,0.0181640625,-0.005507785707595758
25,17775,647.9436751499999,32768,8730.0,30.73,16,1,0.0001,103510.3634765625,75,0.2,-0.7823255371302367,0.0004411935806274414,54968.94140625,0.0045178058,0.0349609375,-0.006318391078093555
25,18868,665.0119580399999,34816,8930.0,32.02,17,1,0.0001,98483.87768554688,80,0.2,-0.7309329710900784,3.0994415283203125e-05,40380.69921875,0.004401836,0.01796875,-0.0023549436242319643
25,20034,681.6189939999998,36864,8730.0,25.39,18,1,0.0001,95995.61303710938,85,0.2,-0.7611557126045227,0.00027942657470703125,50514.01953125,0.0028128978,0.011328125,-0.0019609952985774727
25,21152,713.9343675899999,38912,8930.0,27.76,19,1,0.0001,113319.48876953125,90,0.2,-0.8220705993473529,0.0005860328674316406,56246.609375,0.004437117,0.01796875,-0.0033539187570568174
25,22304,636.0221816699999,40960,8714.0,26.83,20,1,0.0001,100203.37041015625,95,0.2,-0.8210698142647743,0.0004526376724243164,48619.23046875,0.0060330355,0.0236328125,-0.005738806558656506
