time/fps,custom/max_height,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,time/iterations,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,train/value_loss
1,3162.0,2048,1652,15.14,130.57504882,9,1,,,,,,,,,,
1,3082.0,4096,3287,15.07,142.02184812,9,2,0.011612568,0.0409375,0.2,0.0001,-0.0037749497033655642,6335.02880859375,76,-0.7346028566360474,0.02759331464767456,9569.79392578125
1,3178.0,6144,4915,15.53,138.46541279,9,3,0.013207718,0.024609375,0.2,0.0001,0.0017168921884149313,4325.197265625,78,-0.7107745543122291,0.015749216079711914,7535.639343261719
1,3082.0,8192,6594,15.15,134.56910285,9,4,0.023897042,0.03505067567567568,0.2,0.0001,0.002701611811848911,3460.301025390625,80,-0.700478606932872,0.014271378517150879,7837.370235958615
1,3162.0,10240,8266,14.45,153.48927256,9,5,0.0074685877,0.048677884615384616,0.2,0.0001,-0.003463435022590252,3978.59521484375,81,-0.7111740547877091,0.02611774206161499,10373.05517578125
1,3082.0,12288,9923,13.76,127.47771340999999,9,6,0.0035998926,0.014583333333333334,0.2,0.0001,-0.001164684382577737,5634.43994140625,82,-0.6990999619166056,0.019540488719940186,9419.14072265625
1,3034.0,14336,11575,16.33,147.30036597,9,7,0.010627413,0.06067154255319149,0.2,0.0001,-0.0006582083953346344,3604.03955078125,85,-0.7083300123823449,0.036244332790374756,9251.149086810174
1,3034.0,16384,13269,14.63,128.28653092000002,9,8,0.015352734,0.07081117021276596,0.2,0.0001,-0.0028491744058246307,3161.19384765625,87,-0.704260509064857,0.009343326091766357,7532.890271775266
1,3082.0,18432,15016,13.13,125.96454523,9,9,0.020716034,0.04921875,0.2,0.0001,0.003137660026550293,3106.9912109375,89,-0.7136105731129646,0.019573867321014404,8700.4650390625
1,3034.0,20480,16698,14.89,176.41201423999996,9,10,0.0056165536,0.022058823529411766,0.2,0.0001,0.006626565228490268,3148.85498046875,90,-0.702446345020743,0.0307769775390625,8979.751349954044
1,3082.0,22528,18353,15.1,157.40158069,9,11,0.011893116,0.03443877551020408,0.2,0.0001,-0.002250144562246848,3221.793212890625,92,-0.692469449675813,0.025554001331329346,6769.5853894292095
1,3034.0,24576,19990,14.94,157.38966552,9,12,0.007049877,0.04918981481481482,0.2,0.0001,0.0069799791952526126,5132.0693359375,93,-0.7110030827698884,0.027284860610961914,8186.945601851852
1,2938.0,26624,21641,14.62,161.54054981,9,13,0.011207478,0.04032258064516129,0.2,0.0001,0.0018487474130045984,3593.758056640625,94,-0.7192774030470079,0.03623843193054199,7881.386892011089
1,3162.0,28672,23281,14.8,145.46647545,9,14,0.0069327084,0.055611559139784945,0.2,0.0001,-0.0038248421774516182,5634.95263671875,97,-0.6675809160355599,0.019451141357421875,8253.348485803092
