time/iterations,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,time/fps,custom/max_height,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates
14,6,10805,15.51,1,1946.0,14336,163.60735488999998,0.0076188673,12605.926526085805,0.0001,0.0614406779661017,6048.166015625,0.2,0.00011712312698364258,-0.006634925255330943,-0.7011539441044048,51
15,6,11579,14.61,1,1946.0,15360,139.87342342,0.00906695,12649.136328125,0.0001,0.061328125,5996.54248046875,0.2,0.00011336803436279297,-0.008228822419187053,-0.7049240343272686,56
16,6,12353,15.11,1,1978.0,16384,159.56782386999998,0.011588134,12076.36474609375,0.0001,0.07356770833333333,6133.85791015625,0.2,9.053945541381836e-05,-0.002668266708496958,-0.7105993839601675,59
17,6,13113,16.31,1,1946.0,17408,187.53942338000002,0.008152835,11794.175036621094,0.0001,0.0724609375,5530.556640625,0.2,0.00010329484939575195,-0.0046915768762119114,-0.7007738009095192,64
18,6,13878,16.93,1,1978.0,18432,173.07972546999997,0.011416424,11080.899658203125,0.0001,0.0888671875,5009.001953125,0.2,9.238719940185547e-05,-0.006438631267519668,-0.7144575670361519,69
19,6,14633,16.99,1,2138.0,19456,189.97789418999994,0.009422128,10736.852795410156,0.0001,0.0703125,5087.21875,0.2,4.07099723815918e-05,-0.0027785105223301796,-0.7635865725576878,74
20,6,15384,17.16,1,1946.0,20480,178.70895437999997,0.006477973,10288.277783203124,0.0001,0.055078125,4893.92529296875,0.2,5.9485435485839844e-05,-0.0034094524220563472,-0.767523218691349,79
21,6,16162,16.56,1,1978.0,21504,168.21266139,0.010012239,10309.205688476562,0.0001,0.0845703125,5256.640625,0.2,3.713369369506836e-05,-0.00893585494486615,-0.7398647867143154,84
22,6,16920,16.75,1,1842.0,22528,182.78812749,0.008078698,10346.909545898438,0.0001,0.044921875,4736.06982421875,0.2,3.802776336669922e-05,-0.004608147213002667,-0.7379346571862697,89
23,6,17674,17.24,1,1946.0,23552,192.32588026999997,0.007759882,9740.682073974609,0.0001,0.041015625,4689.0029296875,0.2,3.790855407714844e-05,-0.003308594727423042,-0.7013474971055984,94
24,6,18447,17.42,1,1946.0,24576,192.33071859999993,0.0048153177,9206.323034667968,0.0001,0.032421875,4950.212890625,0.2,3.4749507904052734e-05,-0.0029697373101953417,-0.6900772124528884,99
25,6,19201,17.3,1,1978.0,25600,191.88424662,0.007983118,9121.635192871094,0.0001,0.0642578125,4556.6767578125,0.2,2.4080276489257812e-05,-0.0060036371694877745,-0.6936276279389858,104
26,6,19958,17.09,1,2018.0,26624,198.55354207000005,0.005441247,9347.576959228516,0.0001,0.0439453125,4758.77099609375,0.2,2.3126602172851562e-05,-0.0032460948859807104,-0.7117657952010632,109
27,6,20715,17.06,1,1946.0,27648,192.39195318000003,0.01482702,9083.9702734375,0.0001,0.0475,3768.977783203125,0.2,2.5093555450439453e-05,-0.0038904332369565963,-0.7094696617126465,111
28,6,21486,16.45,1,1978.0,28672,172.88071017,0.0052446504,8519.989107572115,0.0001,0.038461538461538464,4243.8037109375,0.2,2.5272369384765625e-05,0.0032800673148952997,-0.6884952187538147,112
29,6,22238,16.47,1,1946.0,29696,182.71799744,0.0150139555,9969.5240234375,0.0001,0.0453125,4459.79443359375,0.2,1.4662742614746094e-05,-0.007949244463816285,-0.6602661669254303,114
