custom/max_height,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/value_loss
-14.0,12.0,0,1,2048,2888,0,240.20070785000004,,,,,,,,,,
-14.0,12.47,0,2,4096,5753,0,240.88261765000007,0.0001,1421.876220703125,0.2,205,-2.1741308413445948,-0.007000023819273338,0.000926673412322998,0.000390625,0.0013625221,3737.154948425293
-158.0,11.27,0,3,6144,8571,0,241.15753626000006,0.0001,1624.9864501953125,0.2,210,-2.105549778789282,-0.008852274337550625,0.001150667667388916,0.000390625,0.0015496919,3516.7096923828126
-158.0,9.52,0,4,8192,11506,0,242.2322658,0.0001,1490.67431640625,0.2,215,-2.1164071694016457,-0.009325274598086252,0.0013982653617858887,0.00078125,0.0021694736,3116.9460479736326
-158.0,9.86,0,5,10240,14427,0,241.98379289000002,0.0001,1615.1884765625,0.2,220,-1.9796934932470323,-0.010377796439570375,0.00043207406997680664,0.00849609375,0.0028949063,3347.9927154541015
-158.0,8.67,0,6,12288,17387,0,242.94494544000008,0.0001,1236.1937255859375,0.2,225,-1.9571625359356404,-0.00990912344714161,0.0005463957786560059,0.01337890625,0.0026012869,2912.853105163574
-158.0,8.16,0,7,14336,20418,0,243.48932397000004,0.0001,1141.97119140625,0.2,230,-1.8018454059958458,-0.014679847404477187,0.00032633543014526367,0.00712890625,0.0038439492,2638.7941818237305
-302.0,7.89,0,8,16384,23340,0,243.73834224,0.0001,1288.86962890625,0.2,235,-1.7878292225301267,-0.007623221233370714,0.0002791285514831543,0.03525390625,0.005661322,2643.9522537231446
-302.0,7.5,0,9,18432,26258,0,244.65172090000007,0.0001,1165.475830078125,0.2,240,-1.7571923047304154,-0.00639727137167938,0.00027549266815185547,0.036328125,0.0056734122,2291.3490898132322
-158.0,7.84,0,10,20480,29137,0,244.40554758000005,0.0001,954.1737060546875,0.2,245,-1.6506949454545974,-0.009666065347846597,0.00012117624282836914,0.00361328125,0.0045493487,2086.9726722717287
-302.0,6.87,0,11,22528,32123,0,245.12568265000002,0.0001,835.5824584960938,0.2,250,-1.6107290454208851,-0.012314143910771236,0.0005643367767333984,0.00634765625,0.0035534345,1713.8979904174805
