time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,custom/current_screen,time/time_elapsed,custom/max_height,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
45056,147.13308179999999,70.69,22,2,26,15258,9074.0,105,0.0003926149,0.2,0.0001,0.003515625,-0.07671075746184215,-0.0012276432520593517,2584.3268592834474,1846.857666015625,0.21830964088439941
47104,151.41977132999997,70.09,23,2,26,15931,9074.0,110,0.0009762469,0.2,0.0001,0.006640625,-0.08658227601554244,-0.0011190432182047517,3179.9243728637693,2066.157470703125,0.1614859700202942
49152,151.42937209999997,69.89,24,2,26,16608,9074.0,115,0.0003113479,0.2,0.0001,0.00283203125,-0.07597076972015201,-0.0004895846417639404,2330.971040344238,594.99267578125,0.27784842252731323
51200,147.78644036,71.65,25,2,26,17273,9234.0,120,0.000957954,0.2,0.0001,0.00556640625,-0.07579253463773057,-0.0005484177541802637,2206.0594776153566,1198.071044921875,0.2686760425567627
53248,155.57823109,72.94,26,2,26,17942,9234.0,125,0.0026672995,0.2,0.0001,0.0240234375,-0.08434004746377469,-0.002596227149479091,3370.210760498047,1670.6463623046875,0.09000146389007568
55296,134.13144451999997,70.54,27,2,26,18634,9074.0,130,0.00027624523,0.2,0.0001,0.0064453125,-0.0883720574900508,0.00017727884041960352,2111.0419052124025,936.1383056640625,0.28907889127731323
57344,126.39732170999997,66.85,28,2,26,19324,9074.0,135,0.0004998034,0.2,0.0001,0.01826171875,-0.0851977312238887,-0.0025891580706229435,3980.5364524841307,2088.496826171875,0.14026504755020142
59392,126.87730676,65.37,29,2,26,19999,9074.0,140,0.0015141753,0.2,0.0001,0.010546875,-0.09396835176739841,-0.002086478495039046,2891.4582229614257,1998.4620361328125,0.2540815472602844
61440,138.90033861999999,69.56,30,2,26,20653,9074.0,145,0.00051811885,0.2,0.0001,0.00361328125,-0.08523736386559903,-0.0010050835961010307,2443.976319885254,1223.76025390625,0.2835286855697632
63488,155.08041774,71.04,31,2,26,21331,9074.0,150,0.0006525632,0.2,0.0001,0.0076171875,-0.08141556936316192,-0.0008964203909272328,2374.655226898193,1277.5020751953125,0.2765379548072815
65536,147.49216461,68.22,32,2,26,22017,9346.0,155,0.00036279942,0.2,0.0001,0.001953125,-0.07326232618652284,-0.0012081331879016943,1928.9478706359864,867.504150390625,0.37680333852767944
67584,140.22204341999998,66.88,33,2,26,22685,9074.0,160,0.0006705378,0.2,0.0001,0.00498046875,-0.06751638916321098,-0.0013829614472342655,2644.055680465698,597.3494873046875,0.28448498249053955
69632,147.29983761999998,69.73,34,2,26,23350,9074.0,165,0.00036278617,0.2,0.0001,0.0052734375,-0.07266766967950389,-0.0006953955540666357,2819.3353103637696,1778.152587890625,0.24107396602630615
71680,146.80483227000002,71.47,35,2,26,24016,9074.0,170,0.0006704569,0.2,0.0001,0.0064453125,-0.06799226733855904,-0.0005283525999402628,1985.5461673736572,665.3751220703125,0.3534620404243469
73728,150.56020783999998,72.87,36,2,26,24690,9074.0,175,0.00087400863,0.2,0.0001,0.0087890625,-0.06933000809513032,-0.0017481763032265007,1864.0295398712158,367.28411865234375,0.3249629735946655
75776,147.11003856,71.57,37,2,26,25355,9074.0,180,0.0005407481,0.2,0.0001,0.00380859375,-0.06281468699453399,-0.0001228516033734195,2375.4174625396727,1554.2740478515625,0.2973024845123291
77824,144.13937528999998,70.57,38,2,26,26027,9074.0,185,0.00021113886,0.2,0.0001,0.00322265625,-0.05941203812835738,-0.00020578330877469854,2684.2829109191894,1276.9315185546875,0.2658505439758301
79872,139.62139478999995,72.71,39,2,26,26686,9074.0,190,0.0009810828,0.2,0.0001,0.00732421875,-0.058268090314231816,-0.0012787751940777526,2391.4758262634277,1229.7637939453125,0.2957993149757385
81920,134.72149685,72.41,40,2,26,27345,9074.0,195,0.0012543071,0.2,0.0001,0.01357421875,-0.05643735198536888,-9.224637469742447e-05,2188.808233642578,1054.78076171875,0.33861297369003296
83968,129.44337679999998,74.58,41,2,26,27997,9074.0,200,0.00023065208,0.2,0.0001,0.00078125,-0.06701544675743207,-0.0003720263579452876,3044.723471069336,1767.2725830078125,0.22371578216552734
86016,148.57994467999998,76.11,42,3,26,28659,9074.0,205,0.00036241073,0.2,0.0001,0.00283203125,-0.06575704381102696,-0.0002597024868009612,2827.7033828735352,1402.125732421875,0.28909754753112793
88064,152.08504581999998,75.02,43,3,26,29321,9074.0,210,0.0005733778,0.2,0.0001,0.0044921875,-0.06264959084801376,-0.00042128607747145,1590.6052682876586,1118.318603515625,0.4827868938446045
90112,173.85356306999998,75.21,44,3,26,29996,9074.0,215,0.0011776303,0.2,0.0001,0.01240234375,-0.06502638733945787,-0.0016103906469652428,1467.7636701583863,1156.9266357421875,0.4525746703147888
92160,178.99379295000003,74.46,45,3,26,30681,9074.0,220,0.00079815555,0.2,0.0001,0.01572265625,-0.06912344221491366,-0.0005307998580974527,1787.5122714996337,1427.2305908203125,0.36660051345825195
94208,182.78822592000003,75.23,46,3,26,31347,9234.0,225,0.0011342319,0.2,0.0001,0.01103515625,-0.07016620511421934,-0.0013229814096121118,1627.1179092407226,607.3070678710938,0.3627539873123169
96256,187.08627107,74.95,47,3,26,32018,9074.0,230,0.0005672104,0.2,0.0001,0.003125,-0.08322741438169032,0.0005439065789687447,1151.0951934814452,193.32766723632812,0.45996010303497314
98304,182.80015380999998,74.06,48,3,26,32689,9074.0,235,0.0021686673,0.2,0.0001,0.0130859375,-0.07554141300497577,-0.0003191079624230042,572.0161245346069,569.197509765625,0.6530073881149292
100352,173.89060812,75.74,49,3,26,33378,9082.0,240,0.0009878946,0.2,0.0001,0.00576171875,-0.07192082870751619,-0.0007865662584663369,2500.20635471344,829.7680053710938,0.24127519130706787
102400,146.90714241999999,73.99,50,3,26,34073,9074.0,245,0.00053650804,0.2,0.0001,0.00615234375,-0.07112130963942036,-0.0009879887104034424,3092.0842929840087,757.6885375976562,0.1907978057861328
104448,118.72538824000002,75.05,51,3,26,34770,9074.0,250,0.00053396786,0.2,0.0001,0.0021484375,-0.07331149629317224,-0.0012760231067659334,2806.075786590576,1195.8309326171875,0.20597153902053833
106496,115.6525253,73.85,52,3,26,35469,9074.0,255,0.00087570795,0.2,0.0001,0.01162109375,-0.07330564694711939,-0.0017039395170286298,4290.064167785645,1228.25537109375,0.04481083154678345
108544,142.67283211,76.91,53,3,26,36148,9074.0,260,0.00038585762,0.2,0.0001,0.00029296875,-0.07465677689760923,-0.0003404016693821177,2964.710300064087,925.3363647460938,0.17777156829833984
