time/time_elapsed,time/total_timesteps,custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/fps,rollout/ep_len_mean,time/iterations,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss
25973,49152,11090.0,29.338975629999997,31,1,29.5,24,0.2,150,0.0001,3453.616943359375,0.040234375,0.0055938847,-1.0255191210657357,-0.005931567904190161,0.14764404296875,6933.077035522461
27161,51200,10874.0,37.87532373,31,1,26.58,25,0.2,155,0.0001,4267.25927734375,0.01513671875,0.0027345414,-1.00671803727746,-0.002990168469841592,0.24254024028778076,7098.803488159179
28282,53248,10858.0,45.03831045999999,31,1,25.83,26,0.2,160,0.0001,3845.703857421875,0.054296875,0.006413797,-1.0012786958366633,-0.005781151275732555,0.23657864332199097,7681.833068847656
29411,55296,10858.0,27.219648430000003,31,1,27.89,27,0.2,165,0.0001,4254.3857421875,0.03193359375,0.0076063657,-0.9776775185018778,-0.0038631040224572644,0.17762356996536255,8497.713763427735
30595,57344,10858.0,26.382724550000002,31,1,25.84,28,0.2,170,0.0001,3891.5966796875,0.00908203125,0.003988641,-0.9899693757295609,-0.001499864607467316,0.18744254112243652,7550.816479492188
31748,59392,10858.0,60.03210790000001,31,1,25.96,29,0.2,175,0.0001,3542.775634765625,0.0234375,0.0034163236,-0.9853431716561317,-0.00225507877767086,0.20348775386810303,7796.450695800781
32934,61440,10858.0,74.81643885,31,1,26.36,30,0.2,180,0.0001,3724.5439453125,0.01982421875,0.004032836,-0.999527657777071,-0.0020371592574520035,0.21399462223052979,7282.464697265625
34083,63488,10858.0,39.615409209999996,31,1,26.41,31,0.2,185,0.0001,3681.25341796875,0.00791015625,0.004222907,-0.9925577148795128,-0.0016018722148146481,0.18351209163665771,7672.4577362060545
35208,65536,10858.0,49.72465978,31,1,27.4,32,0.2,190,0.0001,3617.843994140625,0.03671875,0.0052767405,-0.9961418256163597,-0.004216345521854237,0.18316936492919922,8250.547314453124
36364,67584,10858.0,57.97638637,31,1,26.02,33,0.2,195,0.0001,3157.365966796875,0.01728515625,0.0073251324,-0.9880303174257279,-0.0024861548328772185,0.2131974697113037,7666.345269775391
37511,69632,10858.0,42.24521314999999,31,1,26.65,34,0.2,200,0.0001,3859.994140625,0.01240234375,0.0020139152,-0.9944738116115331,-0.0028023545892210677,0.2159927487373352,7779.857278442383
