rollout/ep_len_mean,rollout/ep_rew_mean,custom/max_height,time/fps,custom/current_screen,time/time_elapsed,time/iterations,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates
21.78723404255319,427.9864322340426,10130.0,1,29,1273,1,2048,,,,,,,,,,
18.8,423.09490747,10370.0,1,29,2668,2,4096,0.0001,-0.0022340287658153104,0.0029235168,0.0244140625,-0.5007539039477706,117180.23764648437,0.2,57879.66015625,5.960464477539063e-08,175
20.37,396.8215357699999,10130.0,1,29,3992,3,6144,0.0001,-0.0033487378852441905,0.0032196175,0.026171875,-0.5513786539435387,125723.27890625,0.2,59974.39453125,-1.1920928955078125e-07,180
19.73,498.36582493000003,10130.0,1,29,5336,4,8192,0.0001,6.456465343944729e-05,0.0013643121,0.00146484375,-0.5340521698817611,124598.7978515625,0.2,67330.2578125,3.874301910400391e-06,185
20.85,377.8823943400001,10130.0,1,29,6604,5,10240,0.0001,-0.001363894806127064,0.0014336717,0.0048828125,-0.5747650921344757,124441.598046875,0.2,65832.3046875,8.344650268554688e-07,190
20.46,398.1828918,10242.0,1,29,7887,6,12288,0.0001,-0.004069733270443976,0.004575891,0.019921875,-0.5340800285339355,117607.55991210937,0.2,64506.2421875,1.7285346984863281e-06,195
22.39,339.75683091999997,10130.0,1,29,9116,7,14336,0.0001,-0.002012817855575122,0.0036470776,0.01240234375,-0.5494043983519077,118661.69497070313,0.2,59847.2578125,2.682209014892578e-06,200
21.0,453.18868061999996,10130.0,1,29,10405,8,16384,0.0001,-0.0016253580281045288,0.0027738868,0.0125,-0.5112620951607824,114622.41015625,0.2,56029.1640625,1.6689300537109375e-06,205
19.99,367.22593649000004,10130.0,1,29,11746,9,18432,0.0001,-0.0019476786983432248,0.001431427,0.01611328125,-0.5393912395462394,114165.058984375,0.2,58034.97265625,7.152557373046875e-07,210
