time/iterations,time/fps,custom/current_screen,rollout/ep_len_mean,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/approx_kl
14,1,37,13.08,13202.0,274.03886663,6394,7168,-0.5509485401213169,-0.008736183098517359,49123.61484375,60,0.053125,0.2,0.0001,-1.1444091796875e-05,22947.814453125,0.008501784
15,1,37,12.72,13058.0,244.66863002999995,6868,7680,-0.5390866219997406,-0.007843699702061713,47184.26376953125,65,0.02265625,0.2,0.0001,-1.2993812561035156e-05,23683.138671875,0.005242612
16,1,37,12.24,13058.0,224.50124275,7343,8192,-0.5126541197299957,-0.009896087175002321,43461.347265625,70,0.05625,0.2,0.0001,-3.743171691894531e-05,23444.09375,0.011574203
17,1,37,11.27,13058.0,216.16638927,7844,8704,-0.5044733487069607,-0.01075599219184369,52584.77890625,75,0.039453125,0.2,0.0001,-3.4809112548828125e-05,30263.923828125,0.0058886884
18,1,37,11.71,13058.0,253.76281473,8287,9216,-0.4873762719333172,-0.009487047931179405,49390.25703125,80,0.0515625,0.2,0.0001,-1.8358230590820312e-05,24907.44140625,0.007475258
19,1,37,12.69,13026.0,310.66315928,8734,9728,-0.4777595497667789,-0.006436196225695312,53254.36572265625,85,0.012109375,0.2,0.0001,3.337860107421875e-05,22267.4140625,0.0029770196
20,1,37,12.88,13258.0,336.40107599999993,9153,10240,-0.4784910224378109,-0.004490221582818777,54766.3841796875,90,0.014453125,0.2,0.0001,-2.1576881408691406e-05,26635.455078125,0.0023147492
21,1,37,12.73,13058.0,374.92297673,9596,10752,-0.4690102621912956,-0.004979168483987451,52350.89814453125,95,0.01953125,0.2,0.0001,-4.756450653076172e-05,24762.24609375,0.0024616926
22,1,37,11.43,13202.0,328.46349674,10094,11264,-0.4738755077123642,-0.00674010484945029,59932.2978515625,100,0.0234375,0.2,0.0001,-2.491474151611328e-05,27514.98046875,0.0067880517
23,1,37,11.37,13282.0,326.41117677,10545,11776,-0.4607045352458954,-0.007039782241918147,59256.6390625,105,0.025,0.2,0.0001,-1.4901161193847656e-05,28669.26171875,0.0028205325
24,1,37,12.02,13058.0,326.96498414999996,10990,12288,-0.479069509357214,-0.006430669734254479,57366.45,110,0.027734375,0.2,0.0001,-3.349781036376953e-05,30825.724609375,0.0055921646
25,1,37,12.1,13058.0,285.71414903,11442,12800,-0.4858521305024624,-0.009055906755384058,53467.96982421875,115,0.04609375,0.2,0.0001,-1.7523765563964844e-05,24193.642578125,0.005188075
26,1,37,12.72,13058.0,318.01032595,11862,13312,-0.48087747022509575,-0.010232802177779377,52434.284375,120,0.0609375,0.2,0.0001,9.238719940185547e-06,21808.75390625,0.007000776
27,1,37,12.19,13026.0,360.72401059,12315,13824,-0.49291926249861717,-0.007371534337289631,58402.90810546875,125,0.03046875,0.2,0.0001,-2.47955322265625e-05,31332.2890625,0.0038829437
28,1,37,11.2,13058.0,332.59524868999995,12784,14336,-0.4855142764747143,-0.007143397908657789,63067.99228515625,130,0.0234375,0.2,0.0001,1.8715858459472656e-05,32316.826171875,0.0027948315
29,1,37,11.48,13258.0,294.65020193,13237,14848,-0.47801048383116723,-0.012553091836161911,59782.93173828125,135,0.060546875,0.2,0.0001,1.6927719116210938e-05,31487.19140625,0.013957575
