rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,custom/current_screen,custom/max_height,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/value_loss
114.89293655789473,21.326315789473686,2048,1,3,1034.0,1,1987,,,,,,,,,,
97.11138102999999,22.15,4096,2,3,1034.0,1,3998,0.014134228229522705,-1.4171817012131214,0.015234375,5192.69580078125,0.2,0.0023766086,594,0.0001,-0.0028674928020336666,9535.18133239746
125.87444506,22.37,6144,3,3,786.0,1,6045,0.027015626430511475,-1.4118734642863273,0.013671875,4495.2626953125,0.2,0.0015408734,599,0.0001,-0.0015634854673407972,9691.56625366211
88.30476771,20.27,8192,4,3,1034.0,1,8081,0.02196139097213745,-1.3796466901898383,0.0091796875,3966.938232421875,0.2,0.0012995945,604,0.0001,0.0012975512130651624,8751.172900390626
95.10734720999999,20.23,10240,5,3,786.0,1,10129,0.022085487842559814,-1.37381689324975,0.01220703125,5010.22265625,0.2,0.0017091042,609,0.0001,-0.0020253630966180934,10871.776177978516
96.41283080999997,19.58,12288,6,3,1034.0,1,12119,0.027245044708251953,-1.3791326336562633,0.01796875,5171.28759765625,0.2,0.002157595,614,0.0001,-0.002486498805228621,9990.498858642579
119.65428026000001,20.85,14336,7,3,890.0,1,14141,0.009551465511322021,-1.3735540524125098,0.01552734375,3663.919921875,0.2,0.0015945273,619,0.0001,-0.002942254571826197,10568.278326416015
95.92160548000001,18.57,16384,8,3,890.0,1,16150,0.027696549892425537,-1.3824657179415225,0.01064453125,4532.287109375,0.2,0.0009927677,624,0.0001,-0.0013574355136370287,9532.345489501953
112.61168911,19.17,18432,9,3,1034.0,1,18249,0.02076089382171631,-1.3425160594284535,0.09775390625,5134.685546875,0.2,0.012452203,629,0.0001,0.0016934564933762885,11136.90625
109.07516234000002,22.26,20480,10,3,890.0,1,20339,0.024992525577545166,-1.3755155719816685,0.00556640625,4537.59619140625,0.2,0.0012586641,634,0.0001,-0.0009006722888443619,10010.353723144532
111.78342564999998,20.95,22528,11,3,890.0,1,22447,0.02902686595916748,-1.3710311561822892,0.01728515625,4692.76025390625,0.2,0.0016374768,639,0.0001,-0.001977207264280878,9018.498645019532
135.86178436999998,20.08,24576,12,3,1034.0,1,24489,0.037696778774261475,-1.3980668991804124,0.02099609375,5641.546875,0.2,0.004175828,644,0.0001,-0.0019886942172888666,9642.68796081543
121.07459656,21.06,26624,13,3,786.0,1,26520,0.023445844650268555,-1.3667049445211887,0.0306640625,4564.328125,0.2,0.0026632417,649,0.0001,-0.003996832694974728,8677.40696105957
138.40403886,22.88,28672,14,3,890.0,1,28550,0.011619329452514648,-1.3790640629827977,0.02451171875,4782.64306640625,0.2,0.0023519315,654,0.0001,-0.0031189585366519167,8591.039666748047
108.18286934,19.53,30720,15,3,1034.0,1,30615,0.015593945980072021,-1.3852174952626228,0.01982421875,3909.267333984375,0.2,0.0020969054,659,0.0001,-0.0021360176702728494,8705.654418945312
116.36373814999999,22.81,32768,16,3,1034.0,1,32643,0.017471730709075928,-1.3848470695316792,0.02197265625,4596.9140625,0.2,0.0016535535,664,0.0001,-0.0017351872083963826,10644.206127929687
124.65058947,21.06,34816,17,3,890.0,1,34688,0.02797865867614746,-1.435358962416649,0.02119140625,4269.603515625,0.2,0.0019615837,669,0.0001,-0.004344166291411966,7929.5029571533205
98.97760663,18.43,36864,18,3,1034.0,1,36698,0.017869234085083008,-1.367852434515953,0.037109375,4881.22314453125,0.2,0.005022002,674,0.0001,-0.004120167839573696,8881.879260253907
111.03313684000001,20.44,38912,19,3,890.0,1,38815,0.016793668270111084,-1.355688611418009,0.02333984375,6598.16796875,0.2,0.0018130606,679,0.0001,-0.0027006595890270548,10873.237582397462
