time/time_elapsed,time/fps,time/total_timesteps,custom/max_height,custom/current_screen,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/learning_rate,train/policy_gradient_loss
672,3,2048,9074.0,26,119.96376392307691,77.6923076923077,1,,,,,,,,,,
1355,3,4096,9074.0,26,152.4971529433962,76.9245283018868,2,270,-0.07494387128390372,0.00751953125,2551.70751953125,3278.632455444336,0.2,0.0014713204,0.1474955677986145,0.0001,-0.0010655256599420681
2061,2,6144,9234.0,26,132.3373730235294,71.69411764705882,3,275,-0.06511391493258997,0.00224609375,903.709716796875,1587.287285232544,0.2,0.00032628383,0.432009220123291,0.0001,-0.00037702032859669997
2744,2,8192,9346.0,26,135.07098693,72.1,4,280,-0.07672815937548876,0.0048828125,637.295166015625,3515.2007484436035,0.2,0.00066436373,0.1836344599723816,0.0001,-0.002165095659438521
3439,2,10240,9074.0,26,107.68943062999999,71.6,5,285,-0.061863390903454274,0.0033203125,2034.647705078125,3007.4134475708006,0.2,0.00023545325,0.14569830894470215,0.0001,-0.0007549137211753987
4111,2,12288,9074.0,26,122.67379096,75.61,6,290,-0.0789125062758103,0.0,1606.296142578125,4717.3682662963865,0.2,0.0001330353,-0.04363703727722168,0.0001,-0.0004476513102417812
