custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,custom/max_height,train/approx_kl,train/learning_rate,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/entropy_loss
0,0.6425000000000004,512,519,1,3.61,0,-158.0,,,,,,,,,,
0,1.0300000000000002,1024,1035,2,3.71,0,-158.0,0.0042637805,0.0003,84.15369415283203,-0.020840887326630763,0.08201807737350464,0.2,203.94988956451417,50,0.0076171875,-2.7300809055566786
0,0.1869999999999999,1536,1539,3,3.73,0,-302.0,0.0052988427,0.0003,64.05866241455078,-0.021629044227302073,0.11266839504241943,0.2,171.076030254364,60,0.0140625,-2.715454822778702
0,0.03800000000000068,2048,2052,4,3.52,0,-158.0,0.0047994005,0.0003,58.95185089111328,-0.021128468151437117,0.12394773960113525,0.2,159.49772953987122,70,0.007421875,-2.698509380221367
0,0.9679999999999999,2560,2565,5,3.73,0,-158.0,0.0020511057,0.0003,148.99191284179688,-0.015230682026594878,0.12003082036972046,0.2,226.15570259094238,80,0.00078125,-2.6836405783891677
0,0.4070000000000002,3072,3085,6,3.46,0,-302.0,0.0035061245,0.0003,104.1016616821289,-0.023163940128870308,0.12589532136917114,0.2,224.40182495117188,90,0.0126953125,-2.6787469327449798
