time/fps,custom/max_height,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,custom/current_screen,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/loss
0,8098.0,1,3.85,-23.732939440000006,1702,23,1024,,,,,,,,,,
0,7994.0,2,4.49,119.34965340999999,3094,23,2048,0.0001,-0.9482513964176178,-0.035582200880162417,0.1986328125,47576.98139648438,-0.00030934810638427734,0.2,5,0.018682579,24908.458984375
0,7994.0,3,4.5,115.58640363,4521,23,3072,0.0001,-0.9017713233828545,-0.014875403966289013,0.043359375,42169.67392578125,0.0034128427505493164,0.2,10,0.0061031226,20367.408203125
0,8098.0,4,4.26,54.711483120000004,5907,23,4096,0.0001,-0.8843202084302902,-0.02095806528814137,0.09609375,42844.62392578125,0.0006649494171142578,0.2,15,0.010225495,21921.83203125
0,8226.0,5,4.96,157.22264835,7165,23,5120,0.0001,-0.8613320641219616,-0.017121992912143467,0.050390625,43135.33930664063,0.000280916690826416,0.2,20,0.005850179,22981.083984375
0,7994.0,6,5.18,129.82408779,8348,23,6144,0.0001,-0.8242554649710655,-0.011386783188208937,0.058203125,39598.9525390625,0.00014722347259521484,0.2,25,0.007197289,20614.005859375
0,8226.0,7,5.19,157.12325167999995,9553,23,7168,0.0001,-0.804423562437296,-0.015861040097661316,0.0583984375,37332.703515625,0.00013136863708496094,0.2,30,0.0048838733,18408.25390625
0,7994.0,8,5.13,164.36115857000001,10783,23,8192,0.0001,-0.7671868719160557,-0.012157384457532316,0.0265625,37518.37680664063,0.00017982721328735352,0.2,35,0.0027541702,18307.986328125
0,8098.0,9,5.26,170.72313283,11950,23,9216,0.0001,-0.7489428572356701,-0.01310292111011222,0.0373046875,38388.19658203125,7.873773574829102e-05,0.2,40,0.004006681,19626.09765625
0,8098.0,10,5.02,169.53041591,13154,23,10240,0.0001,-0.7227782160043716,-0.010476244264282286,0.0171875,36461.62856445312,0.0001506209373474121,0.2,45,0.0021042158,18757.650390625
0,8098.0,11,5.3,208.64831244999996,14331,23,11264,0.0001,-0.704980731755495,-0.009228590165730566,0.0078125,37778.77236328125,0.00017142295837402344,0.2,50,0.002273713,18261.177734375
0,7994.0,12,5.62,229.31132332999994,15497,23,12288,0.0001,-0.679601389169693,-0.014573904394637793,0.0568359375,35202.88955078125,9.697675704956055e-05,0.2,55,0.0035687322,16640.359375
0,7994.0,13,5.28,190.51661773,16665,23,13312,0.0001,-0.6492198348045349,-0.011358911055140197,0.0375,34603.211596679685,5.179643630981445e-05,0.2,60,0.005370044,17137.318359375
0,8226.0,14,5.62,249.09090549,17809,23,14336,0.0001,-0.6210537031292915,-0.011775880289496854,0.0349609375,34352.37214355469,5.304813385009766e-06,0.2,65,0.0026528155,16430.591796875
0,8098.0,15,5.5,224.18815844,18954,23,15360,0.0001,-0.5916717655956745,-0.006164788122987375,0.0171875,33494.296484375,9.697675704956055e-05,0.2,70,0.0023189497,15863.533203125
0,7994.0,16,5.78,254.96978653999994,20091,23,16384,0.0001,-0.5842019591480494,-0.005245270818704739,0.01328125,33393.11379394531,4.667043685913086e-05,0.2,75,0.0022494101,16676.447265625
0,8098.0,17,5.36,242.74475186,21248,23,17408,0.0001,-0.5693168353289366,-0.005253148463089019,0.00625,32228.78544921875,9.709596633911133e-05,0.2,80,0.002521396,16081.947265625
0,7994.0,18,5.38,247.62418218,22443,23,18432,0.0001,-0.5566316835582257,-0.005092450557276607,0.0041015625,32131.8625,1.728534698486328e-05,0.2,85,0.00280644,16308.1806640625
0,8098.0,19,5.46,251.01017479999996,23600,23,19456,0.0001,-0.5413353029638529,-0.008317617830471136,0.0521484375,32161.9755859375,3.337860107421875e-06,0.2,90,0.005698872,15516.220703125
