time/fps,time/iterations,time/total_timesteps,time/time_elapsed,custom/max_height,custom/current_screen,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl
0,1,2048,4025,442.0,2,1.9,-120.71698568,,,,,,,,,,
0,2,4096,7720,442.0,2,1.89,-121.31052155000002,-0.028950515117321628,12201.896160888671,5588.361328125,0.2,0.0001,0.19765625,-2.474714879691601,5,0.002267301082611084,0.015252309
0,3,6144,11064,442.0,2,2.29,-119.90713766,-0.026430384552804755,10705.828771972656,5180.79150390625,0.2,0.0001,0.1337890625,-2.443440829217434,10,0.0018305778503417969,0.013465751
0,4,8192,14322,442.0,2,2.77,-118.83962955000001,-0.022976473477319813,9426.812265014649,4459.8193359375,0.2,0.0001,0.08701171875,-2.4025912538170813,15,0.008200645446777344,0.011572687
0,5,10240,17412,442.0,2,2.99,-118.55170074,-0.024235017760656775,8599.606143188477,4084.706787109375,0.2,0.0001,0.09296875,-2.355877037346363,20,-0.000598907470703125,0.011695931
0,6,12288,20443,442.0,2,3.61,-111.44686001,-0.01918341525743017,7667.8319641113285,3892.954833984375,0.2,0.0001,0.052734375,-2.312307168543339,25,0.0022560954093933105,0.0076422403
0,7,14336,23224,442.0,2,4.16,-117.07685845999998,-0.022182770288782194,6589.277160644531,3404.6669921875,0.2,0.0001,0.0599609375,-2.274861605465412,30,-0.0016002655029296875,0.009700559
0,8,16384,25951,442.0,2,4.4,-109.95999121000001,-0.019439979240996764,5838.545565795898,2593.348876953125,0.2,0.0001,0.0505859375,-2.2156734988093376,35,0.0009418129920959473,0.0058481726
0,9,18432,28468,442.0,2,5.98,-99.6823634,-0.024504065688233823,4918.499171447754,2613.4375,0.2,0.0001,0.07841796875,-2.177639077603817,40,-0.0010724067687988281,0.009268789
0,10,20480,31110,490.0,2,6.07,-99.33677267999998,-0.0206025777006289,4221.2882431030275,1936.08984375,0.2,0.0001,0.08369140625,-2.1684355303645133,45,-0.0014439821243286133,0.012332759
0,11,22528,33573,490.0,2,5.73,-95.80293068999998,-0.025475672993343322,3995.105276489258,1696.6546630859375,0.2,0.0001,0.08818359375,-2.1021009013056755,50,-0.0011197328567504883,0.009079857
0,12,24576,36080,522.0,2,8.19,-72.17452265,-0.026495265826815738,3471.5879653930665,1678.061279296875,0.2,0.0001,0.1162109375,-2.065016606450081,55,-0.0009138584136962891,0.012171438
0,13,26624,38623,442.0,2,6.76,-82.19490781999998,-0.017678370330445836,3217.6798663753093,2043.2713623046875,0.2,0.0001,0.16522277227722773,-2.046542971441061,59,-0.0005244016647338867,0.021469172
0,14,28672,41086,490.0,2,7.89,-66.63335002999999,-0.012080873362720013,3226.5915379379735,1962.8585205078125,0.2,0.0001,0.1356534090909091,-2.00686977668242,62,-0.0003319978713989258,0.028252926
0,15,30720,43463,442.0,2,9.65,-53.23586220999999,-0.011939752304484857,3167.085975253705,1482.2177734375,0.2,0.0001,0.179284793814433,-1.9609350187262309,66,-0.00029206275939941406,0.03306011
0,16,32768,45885,490.0,2,11.03,-41.80766815,-0.027129510405939073,3362.120635986328,1642.36279296875,0.2,0.0001,0.16572265625,-1.983526384830475,71,2.086162567138672e-05,0.01167348
