custom/current_screen,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,custom/max_height,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/loss,train/n_updates
3,2042,1,1,23.261363636363637,2048,786.0,139.44058481818183,,,,,,,,,,
3,4093,1,2,16.48,4096,1034.0,102.20406945999999,0.0038075577,-1.3987291544675826,-0.004365105982287787,0.0001,0.02548828125,6494.568290710449,0.06020015478134155,0.2,4368.783203125,689
3,6098,1,3,22.45,6144,890.0,136.72441659,0.001449638,-1.340613453835249,-0.001799744099844247,0.0001,0.012890625,11253.584265136718,0.029118061065673828,0.2,6338.94921875,694
3,8221,0,4,17.76,8192,1034.0,77.21667790999999,0.0014845064,-1.3825717896223069,-0.0008734194678254425,0.0001,0.01240234375,7542.317724609375,0.03198957443237305,0.2,4421.72314453125,699
3,10285,0,5,19.03,10240,890.0,121.9054068,0.0012274862,-1.365165538340807,-0.0019295063248137012,0.0001,0.0103515625,10511.642788696288,0.044165849685668945,0.2,5964.51513671875,704
3,12336,0,6,19.12,12288,1034.0,94.82900942,0.000993913,-1.3662815362215042,-0.00020945224823663012,0.0001,0.01484375,8005.487957763672,0.0462375283241272,0.2,3072.857177734375,709
3,14369,0,7,19.92,14336,890.0,112.02198949999998,0.0020998395,-1.3719136454164982,-0.0013691561412997543,0.0001,0.01689453125,9668.220739746093,0.031081974506378174,0.2,5276.1357421875,714
3,16395,0,8,18.75,16384,890.0,97.77090469,0.0011014605,-1.3535672642290593,-0.0011404258926631882,0.0001,0.00849609375,8635.534158325196,0.04524528980255127,0.2,5522.181640625,719
3,18451,0,9,20.23,18432,890.0,122.02855789000002,0.0013147184,-1.3514812976121902,-0.00031482186750508845,0.0001,0.01181640625,9983.999084472656,0.03737080097198486,0.2,4844.15380859375,724
3,20521,0,10,16.13,20480,890.0,94.17286459,0.0019282125,-1.3645667664706707,-0.0010404851520434022,0.0001,0.01162109375,8586.039547729491,0.04612123966217041,0.2,3111.042724609375,729
3,22553,0,11,17.23,22528,890.0,140.73932369000002,0.0011650106,-1.3388213641941547,-0.0010523670818656683,0.0001,0.01083984375,10804.881713867188,0.05265486240386963,0.2,4840.12939453125,734
3,24623,0,12,19.07,24576,890.0,103.36394593000003,0.0010035082,-1.3234329909086227,0.0004160047043114901,0.0001,0.01396484375,9548.135244750976,0.02347111701965332,0.2,4679.50439453125,739
3,26578,1,13,22.39,26624,1034.0,128.96364812000002,0.0019882184,-1.3447050228714943,-0.0014438470650929957,0.0001,0.0146484375,9658.964080810547,0.028882205486297607,0.2,5541.857421875,744
3,28651,1,14,17.29,28672,1034.0,91.05409051999999,0.0013690966,-1.38450126349926,-0.0008030528872041032,0.0001,0.0171875,7981.380209350586,0.00036793947219848633,0.2,3459.198486328125,749
3,30666,1,15,17.81,30720,1034.0,131.12102872000003,0.0011036581,-1.334912533313036,-0.0016151937830727547,0.0001,0.0087890625,11152.432147216798,0.027165770530700684,0.2,5690.34423828125,754
