rollout/ep_rew_mean,custom/max_height,time/total_timesteps,time/iterations,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss
204.51227421739128,-158.0,256,1,0,276,11.043478260869565,0,,,,,,,,,,
204.10530506666666,-158.0,512,2,0,516,11.177777777777777,0,8628.71875,9.995698928833008e-05,0.2,5,0.0,18811.951171875,-7.264316082000732e-09,0.0,0.0001,-0.6881559580564499
204.8386992686567,-158.0,768,3,0,766,11.149253731343284,1,10351.0673828125,0.002708733081817627,0.2,10,0.0,19753.63173828125,-1.5366822481155396e-08,0.0,0.0001,-0.6101795136928558
206.4277054021739,-14.0,1024,4,0,1034,11.0,0,9142.5859375,0.0014355778694152832,0.2,15,0.0296875,18636.8724609375,-0.012583824759349226,0.008538925,0.0001,-0.6272916257381439
211.52685026999998,-14.0,1280,5,0,1322,10.21,0,9336.7783203125,0.002268373966217041,0.2,20,0.03828125,18594.009423828124,-0.012881274288520216,0.007592637,0.0001,-0.6552563279867172
215.47443659000004,-158.0,1536,6,0,1614,9.5,0,12533.91796875,-0.00013720989227294922,0.2,25,0.015625,23499.23427734375,-0.006734978267922997,0.0031173918,0.0001,-0.6513646632432938
222.44804018000002,-302.0,1792,7,0,1926,8.83,0,10986.4228515625,0.0034989118576049805,0.2,30,0.0078125,20820.41376953125,-0.0072949851863086225,0.0030668245,0.0001,-0.6273302882909775
232.06336561000003,-158.0,2048,8,0,2219,8.14,0,10994.78515625,0.0017624497413635254,0.2,35,0.0,20626.03720703125,-0.0023113266564905644,0.00078232656,0.0001,-0.6129720538854599
230.94373575000006,-14.0,2304,9,0,2525,8.14,0,13697.966796875,5.91278076171875e-05,0.2,40,0.01953125,25970.1525390625,-0.01254109344445169,0.0055489945,0.0001,-0.6018521308898925
231.88267719000004,-158.0,2560,10,0,2845,7.76,0,10830.84765625,0.004001438617706299,0.2,45,0.0,20656.2697265625,-0.008149487245827914,0.0020555658,0.0001,-0.5822445571422576
229.65772389999998,-158.0,2816,11,0,3151,7.83,0,10766.310546875,-0.0006895065307617188,0.2,50,0.01171875,22425.3021484375,-0.006998875387944281,0.0021713893,0.0001,-0.5700127989053726
230.1088193900001,-14.0,3072,12,0,3452,7.89,0,12005.8505859375,0.0029927492141723633,0.2,55,0.0015625,24070.07783203125,-0.005675281584262848,0.0014241859,0.0001,-0.5417349979281425
234.7928188000001,-158.0,3328,13,0,3762,7.52,0,8556.453125,0.0031038522720336914,0.2,60,0.0109375,18279.4693359375,-0.0061123906401917335,0.0019712602,0.0001,-0.5901397883892059
238.81592750000007,-158.0,3584,14,0,4065,6.93,0,12369.779296875,0.00046050548553466797,0.2,65,0.01015625,25047.3134765625,-0.006061420124024153,0.0019653968,0.0001,-0.5479560673236847
239.88431798000005,-14.0,3840,15,0,4379,6.66,0,12241.298828125,-0.002388477325439453,0.2,70,0.0078125,27570.85537109375,-0.010894738044589758,0.00260283,0.0001,-0.5289614737033844
240.87541439000003,-158.0,4096,16,0,4697,6.56,0,11342.2626953125,0.0019205212593078613,0.2,75,0.0,22438.14248046875,-0.0034739404916763307,0.0016819395,0.0001,-0.5335193499922752
241.04914456000006,-14.0,4352,17,0,5027,6.26,0,12036.59375,0.004789173603057861,0.2,80,0.0015625,25707.89169921875,-0.004186759516596794,0.00076626916,0.0001,-0.5173320844769478
245.07647933000007,-302.0,4608,18,0,5351,5.92,0,13757.4755859375,-0.00020825862884521484,0.2,85,0.0015625,27653.2677734375,-0.006584576540626585,0.0024115471,0.0001,-0.508372975885868
242.9830219300001,-158.0,4864,19,0,5681,5.8,0,13715.53515625,0.0012440681457519531,0.2,90,0.0,27719.4451171875,-0.00385415842756629,0.001143571,0.0001,-0.47480814158916473
239.0683935200001,-158.0,5120,20,0,6038,6.07,0,12070.392578125,0.0008036494255065918,0.2,95,0.0,24845.13046875,-0.005357919773086905,0.0011384308,0.0001,-0.4706235185265541
239.96038745000013,-302.0,5376,21,0,6390,5.77,0,12063.748046875,0.0014701485633850098,0.2,100,0.00234375,22991.59462890625,-0.005722865648567677,0.0018159412,0.0001,-0.4515779048204422
245.4083492100001,-14.0,5632,22,0,6735,5.1,0,12973.7529296875,0.0015106797218322754,0.2,105,0.0,27719.8669921875,-0.0030457592569291593,0.00048724958,0.0001,-0.4449830248951912
