custom/current_screen,time/time_elapsed,rollout/ep_len_mean,custom/max_height,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/approx_kl,train/loss,train/clip_range,train/n_updates
10,913,11.355555555555556,3402.0,1,1024,1,186.05666623333335,,,,,,,,,,
10,1829,11.3,3282.0,1,2048,2,194.05601963,21232.608959960937,-0.012770712113706395,0.0001,-0.0006544589996337891,-0.4897038243710995,0.0783203125,0.013244925,10506.0146484375,0.2,5
10,2759,11.2,3498.0,1,3072,3,198.00359617,20848.422449448528,-0.001643937738502727,0.0001,0.003906309604644775,-0.4867409835843479,0.022058823529411766,0.033916727,10483.078125,0.2,7
10,3708,10.53,3402.0,1,4096,4,192.56545940999996,20342.009692382813,-0.012842857534997166,0.0001,0.0040770769119262695,-0.47844180166721345,0.0810546875,0.0092155915,9661.025390625,0.2,12
10,4663,10.61,3402.0,1,5120,5,204.44804211,20553.920336914063,-0.010018289324943908,0.0001,0.002521216869354248,-0.46806900575757027,0.0646484375,0.0062209154,9967.14453125,0.2,17
10,5650,10.62,3282.0,1,6144,6,217.04952595000003,20160.258154296876,-0.01129578938416671,0.0001,0.0005939602851867676,-0.44452904611825944,0.0875,0.009962559,10048.2255859375,0.2,22
