time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,custom/current_screen,time/total_timesteps,rollout/ep_len_mean,custom/max_height,train/learning_rate,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss
1,-384.10100000000006,1,1550,25,2048,15.05,8714.0,,,,,,,,,,
1,-373.43187179000006,2,3072,25,4096,14.88,8714.0,0.0001,5,0.2,0.0007392168045043945,-0.8377826813608408,34272.12890625,0.0018036366,0.0103515625,-0.00538769215636421,70534.43259277343
1,-384.08396296,3,4579,25,6144,15.69,8714.0,0.0001,10,0.2,-0.0030361413955688477,-0.8502542693167925,39085.87890625,0.001988878,0.013671875,-0.0037934356892947107,68039.98442382812
1,-395.0030000000001,4,6037,25,8192,16.15,8714.0,0.0001,15,0.2,0.001065969467163086,-0.8676895767450332,31913.275390625,0.0020077834,0.00859375,-0.004175414441851899,64968.854296875
1,-395.108,5,7477,25,10240,16.76,8714.0,0.0001,20,0.2,-0.0006902217864990234,-0.8642561465501786,29747.2109375,0.0030232538,0.0130859375,-0.006971646723104641,61147.972387695314
1,-395.112,6,8884,25,12288,17.25,8714.0,0.0001,25,0.2,-0.00041103363037109375,-0.8798281025141478,28014.841796875,0.0039978754,0.01806640625,-0.007495416744495742,58710.27922363281
1,-384.35228571,7,10332,25,14336,16.67,8714.0,0.0001,30,0.2,-0.0003052949905395508,-0.8860095672309398,27624.873046875,0.006295957,0.02021484375,-0.007363701605936512,57573.24562988281
1,-395.425,8,11727,25,16384,17.44,8714.0,0.0001,35,0.2,0.0016350150108337402,-0.9073176309466362,28482.23046875,0.0043898067,0.02412109375,-0.005099694925593212,57675.03940429688
1,-384.77866667,9,13069,25,18432,18.24,8714.0,0.0001,40,0.2,-0.0002123117446899414,-0.9235762875527144,25074.33203125,0.004814261,0.0275390625,-0.008255250292131677,53535.30725097656
1,-374.22743491000006,10,14416,25,20480,18.77,8714.0,0.0001,45,0.2,0.003979861736297607,-0.9420023303478956,24353.681640625,0.011423419,0.0576171875,-0.01256535760476254,52095.835229492186
1,-351.87100281000005,11,15630,25,22528,23.02,8730.0,0.0001,50,0.2,0.006660163402557373,-0.9551254276186227,25317.12890625,0.005826985,0.0380859375,-0.010843345445755404,50033.25966796875
1,-362.8498156200001,12,16903,25,24576,21.42,8730.0,0.0001,55,0.2,0.01713418960571289,-0.982369789481163,20453.52734375,0.005856226,0.0580078125,-0.009567557414993644,48401.459716796875
1,-295.77388101,13,17965,25,26624,28.78,8714.0,0.0001,60,0.2,0.029144883155822754,-0.9963836092501879,24083.015625,0.0060557127,0.05068359375,-0.011622134433127939,45569.58857421875
1,-275.27520274000005,14,19123,25,28672,31.3,8714.0,0.0001,65,0.2,0.07361197471618652,-0.9535093575716018,23191.287109375,0.006349926,0.02412109375,-0.005097078584367409,41988.25322265625
1,-320.129441,15,20232,25,30720,32.75,8714.0,0.0001,70,0.2,0.05518937110900879,-1.0172740060836076,16970.984375,0.002654687,0.008984375,-0.006083394636516459,35584.502990722656
1,-244.09625553000006,16,21372,25,32768,32.11,8714.0,0.0001,75,0.2,0.10276287794113159,-1.0196334127336741,18240.2734375,0.0027649705,0.0111328125,-0.004412370474892668,37870.62271728516
1,-220.57100666,17,22509,25,34816,32.37,8714.0,0.0001,80,0.2,0.10028576850891113,-1.0242964044213294,21261.341796875,0.00411308,0.04306640625,-0.00494241057895124,47564.87752685547
1,-189.35965548000001,18,23642,25,36864,36.73,8714.0,0.0001,85,0.2,0.13965702056884766,-1.0468932796269654,16548.58984375,0.003961752,0.0166015625,-0.004222213441971689,39097.697998046875
1,-309.29134938,19,24876,25,38912,28.3,8730.0,0.0001,90,0.2,0.11242258548736572,-1.0474370423704387,25774.9375,0.0017693088,0.0068359375,-0.003208483211346902,45333.30661621094
1,-320.92616790000005,20,26051,25,40960,31.35,8714.0,0.0001,95,0.2,0.0745077133178711,-1.076155399531126,18279.1171875,0.0027847409,0.01845703125,-0.006348106832592748,38307.386779785156
1,-298.68853067,21,27250,25,43008,29.77,8834.0,0.0001,100,0.2,0.08481287956237793,-1.0890408791601658,20517.005859375,0.0048626494,0.03427734375,-0.007019654984469525,33750.76749267578
1,-265.69996539000005,22,28334,25,45056,36.22,8714.0,0.0001,105,0.2,0.06832230091094971,-1.1063436903059483,18585.615234375,0.005661321,0.0392578125,-0.009233879725798033,37020.390661621095
1,-234.20035201000002,23,29477,25,47104,39.59,8714.0,0.0001,110,0.2,0.12891417741775513,-1.114852423220873,11529.1640625,0.006104314,0.031640625,-0.0047035296011017635,33334.18677978516
1,-299.20780152000003,24,30612,25,49152,34.97,8714.0,0.0001,115,0.2,0.11123603582382202,-1.1239190220832824,17272.13671875,0.002840952,0.00224609375,-0.0035907060198951514,37265.97337646484
1,-284.98058177,25,31825,25,51200,30.9,8834.0,0.0001,120,0.2,0.10217607021331787,-1.1399947330355644,20626.572265625,0.0040326035,0.02451171875,-0.004784624633612111,30847.648559570312
1,-262.82132375000003,26,33016,25,53248,30.24,8714.0,0.0001,125,0.2,0.061235249042510986,-1.142320478707552,23983.7734375,0.0026538675,0.0064453125,-0.003715669072698802,38923.83747558594
1,-243.50406740000005,27,34249,25,55296,32.78,8714.0,0.0001,130,0.2,0.12720584869384766,-1.1691526405513286,21080.177734375,0.0039346563,0.02001953125,-0.0035086984920781107,43139.740686035155
1,-254.88611584000006,28,35509,25,57344,28.22,8714.0,0.0001,135,0.2,0.12881624698638916,-1.166997379809618,22229.703125,0.0031357347,0.01455078125,-0.005858837948471774,40688.21571044922
1,-234.16943963000003,29,36752,25,59392,29.22,8714.0,0.0001,140,0.2,0.18497949838638306,-1.191163957118988,22779.265625,0.006171019,0.03173828125,-0.005223184298665728,46911.690881347655
1,-198.36281792000003,30,37950,25,61440,30.76,8714.0,0.0001,145,0.2,0.1520315408706665,-1.2077926233410836,17236.6796875,0.0006244835,0.0009765625,-0.001783313203486614,39451.057653808595
1,-217.43468752,31,39276,25,63488,26.49,8714.0,0.0001,150,0.2,0.16623324155807495,-1.2078085355460644,25978.08203125,0.0056672683,0.0181640625,-0.005004345762426965,46476.81247558594
1,-143.08583555,32,40531,25,65536,29.16,8714.0,0.0001,155,0.2,0.1615787148475647,-1.230962759256363,23216.734375,0.0063793887,0.03349609375,-0.004629668104462326,56934.27768554688
