custom/max_height,time/total_timesteps,rollout/ep_len_mean,time/iterations,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss
12658.0,2048,5.11,1,36,-57.278415100000004,3105,0,,,,,,,,,,
12714.0,4096,5.49,2,36,-62.342288800000006,6035,0,0.2901248335838318,1797.4372444152832,0.2,0.00685963,-2.211400140821934,0.0318359375,0.0001,282,-0.006219989119563252,1078.8157958984375
12658.0,6144,5.57,3,36,-57.18908430999999,9145,0,0.2707558870315552,1735.7996383666991,0.2,0.0028493498,-2.193375091254711,0.00029296875,0.0001,287,-0.0035343014256795867,806.8363647460938
12658.0,8192,5.9,4,36,-60.08304116,12148,0,0.27208930253982544,1693.2924598693849,0.2,0.002665535,-2.1967403292655945,0.00693359375,0.0001,292,-0.006653467693831771,852.3700561523438
12658.0,10240,4.92,5,36,-65.10594971,15249,0,0.21587437391281128,2086.4203979492186,0.2,0.0034664744,-2.186122865974903,0.00068359375,0.0001,297,-0.005278448120225221,733.700439453125
12658.0,12288,5.87,6,36,-56.331103389999996,18306,0,0.2187175750732422,1826.3095924377442,0.2,0.0062365355,-2.1744213864207267,0.02177734375,0.0001,302,-0.0037606226949719714,608.7845458984375
12658.0,14336,6.47,7,36,-53.18155647,21468,0,0.21636497974395752,1981.0028709411622,0.2,0.00444963,-2.1874924510717393,0.0078125,0.0001,307,-0.004418554584844969,825.9053955078125
12658.0,16384,5.58,8,36,-55.849211280000006,24537,0,0.23986965417861938,2130.7426719665527,0.2,0.0028147097,-2.190991109609604,0.00693359375,0.0001,312,-0.005536843655863777,1135.65380859375
12786.0,18432,5.83,9,36,-54.12375563,27610,0,0.23292720317840576,2330.525640106201,0.2,0.0056172684,-2.1807619735598562,0.0228515625,0.0001,317,-0.006248477444751188,945.8626708984375
12714.0,20480,5.65,10,36,-50.652668590000005,30752,0,0.263075590133667,2446.7715339660645,0.2,0.008199239,-2.2021214365959167,0.04423828125,0.0001,322,-0.006572234010673128,1949.717529296875
12658.0,22528,5.67,11,36,-61.66841579000001,33890,0,0.1846422553062439,2586.6462638854982,0.2,0.0016706423,-2.194920702278614,0.0,0.0001,327,-0.0037258322074194437,935.240966796875
12715.57,24576,6.69,12,36,-59.11834873,36679,0,0.2847544550895691,1984.6796184539794,0.2,0.0049213828,-2.198235994577408,0.015234375,0.0001,332,-0.004834789861342869,1159.7216796875
12658.0,26624,5.87,13,36,-56.834789390000005,39635,0,0.17807817459106445,2613.2054084777833,0.2,0.0032539454,-2.1832478016614916,0.00546875,0.0001,337,-0.00423393702658359,1147.096923828125
12658.0,28672,5.47,14,36,-59.29519202,42618,0,0.1761271357536316,2694.7611549377443,0.2,0.0021623378,-2.185179406404495,0.005078125,0.0001,342,-0.004652020719368011,1171.0064697265625
12890.0,30720,5.9,15,36,-49.06241893000001,45729,0,0.1809343695640564,2675.2732276916504,0.2,0.0020122183,-2.1771536752581597,0.0,0.0001,347,-0.005727621426922269,1585.9407958984375
12658.0,32768,6.15,16,36,-55.45960894999999,48723,0,0.23374074697494507,2507.8221549987793,0.2,0.0025527193,-2.175607070326805,0.004296875,0.0001,352,-0.005530054803239181,1541.4521484375
