custom/max_height,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,custom/current_screen,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/loss,train/policy_gradient_loss
9074.0,2048,1,120.40577492592594,3,74.74074074074075,677,26,,,,,,,,,,
9234.0,4096,2,146.03078027777778,3,74.62962962962963,1355,26,3530.9372245788572,0.07042121887207031,-0.06865056925453246,0.00048828125,300,0.0001,0.00021558057,0.2,1645.341796875,-0.000197421113261953
9234.0,6144,3,139.71466575308642,3,74.87654320987654,2037,26,1728.7314655303956,0.43217921257019043,-0.07349273257423192,0.00107421875,305,0.0001,0.0003015188,0.2,948.1428833007812,-0.0005704209048417397
9074.0,8192,4,147.54809111999998,3,76.51,2724,26,2873.039458847046,0.1511784791946411,-0.08534969725878909,0.0052734375,310,0.0001,0.0008690525,0.2,1405.5926513671875,-0.000735785836877767
9074.0,10240,5,148.89571990000002,2,77.12,3416,26,1860.6729103088378,0.20530354976654053,-0.0687910313019529,0.00107421875,315,0.0001,0.00020484033,0.2,1024.89208984375,-0.00010722485021688044
9074.0,12288,6,123.7974691,2,78.41,4096,26,3568.9749080657957,0.06104326248168945,-0.06659694446716458,0.01015625,320,0.0001,0.0009755348,0.2,714.9095458984375,-0.001490714162355289
9074.0,14336,7,137.13920604,3,78.37,4776,26,3816.839335632324,0.07057398557662964,-0.08306672908365727,0.00595703125,325,0.0001,0.0008451054,0.2,1875.274169921875,-0.0015650191446184181
9074.0,16384,8,116.87062131,3,77.28,5456,26,2358.379578971863,0.10344129800796509,-0.060731454886263234,0.0103515625,330,0.0001,0.000951177,0.2,854.523681640625,-0.0010087080430821516
9074.0,18432,9,112.58378026,2,77.0,6144,26,3818.7140411376954,0.13279247283935547,-0.08292472772300244,0.0046875,335,0.0001,0.00018760795,0.2,1456.9354248046875,-0.0009168459539068863
9074.0,20480,10,81.02987877,2,75.89,6850,26,4872.582717895508,0.01759207248687744,-0.08162461430765688,0.00478515625,340,0.0001,0.0007527422,0.2,1852.6260986328125,-0.0011470333149190993
9074.0,22528,11,68.21043431,2,76.39,7543,26,4512.141466522216,0.07894527912139893,-0.0836063476279378,0.00126953125,345,0.0001,0.00030772187,0.2,1851.783203125,-0.0003161487838951871
9074.0,24576,12,76.79188197,2,76.59,8232,26,4243.171410369873,0.100455641746521,-0.09526238990947604,0.00732421875,350,0.0001,0.0011199361,0.2,3471.776611328125,-0.0006366157729644328
9074.0,26624,13,120.41773328,2,77.14,8911,26,2822.897085952759,0.11751002073287964,-0.07452473455341532,0.00146484375,355,0.0001,0.00025174714,0.2,2966.704833984375,-0.0005517764046089723
9074.0,28672,14,136.74962138,2,77.21,9588,26,2340.6209590911867,0.2936972379684448,-0.06910573076456786,0.00634765625,360,0.0001,0.0011783626,0.2,1078.64990234375,-0.0020326716927229426
9074.0,30720,15,133.60085297,2,78.13,10268,26,3228.6703395843506,0.17165398597717285,-0.07555521238828078,0.003125,365,0.0001,0.00054099236,0.2,1486.3636474609375,-0.0007664155476959422
9074.0,32768,16,120.87909069999998,2,79.3,10948,26,3443.5170806884767,0.11822563409805298,-0.07483463806565852,0.00390625,370,0.0001,0.00026658268,0.2,2135.117919921875,-0.000714635633630678
9074.0,34816,17,117.30284685000001,2,79.03,11632,26,4160.91752243042,0.00615084171295166,-0.07938263472169638,0.00634765625,375,0.0001,0.00065953715,0.2,2194.385009765625,-0.001561402069637552
9074.0,36864,18,105.940807,2,78.98,12322,26,3190.2289764404295,0.08357638120651245,-0.09244914799928665,0.0087890625,380,0.0001,0.0012933974,0.2,2469.88671875,-0.001020800332480576
9074.0,38912,19,113.50676898,2,78.36,12994,26,3549.078343963623,0.14621120691299438,-0.08179183903848752,0.00576171875,385,0.0001,0.0011074645,0.2,2381.95361328125,-0.0010013797465944663
9074.0,40960,20,93.61384559999999,2,76.66,13689,26,2995.5621376037598,0.14396071434020996,-0.07174670943059028,0.00146484375,390,0.0001,0.00051411113,0.2,1155.3193359375,2.4338130606338383e-05
9074.0,43008,21,109.23301719999999,2,75.46,14370,26,4799.840377807617,0.06799036264419556,-0.075399823137559,0.001953125,395,0.0001,0.00034758713,0.2,1886.7335205078125,-0.0011408693040721118
9074.0,45056,22,112.0077361,2,76.68,15065,26,2734.6035331726075,0.25108182430267334,-0.08826717084739358,0.00322265625,400,0.0001,0.0006410431,0.2,1321.7320556640625,-0.00010630719771143049
9074.0,47104,23,128.52007527,2,75.83,15765,26,2720.4741493225097,0.28822004795074463,-0.06432428089901805,0.00341796875,405,0.0001,0.00036623704,0.2,1036.9012451171875,-0.00011257138394284993
9074.0,49152,24,112.61017550000003,2,76.12,16457,26,2516.7267585754394,0.3649953603744507,-0.07720423168502748,0.0130859375,410,0.0001,0.0015906683,0.2,967.8489379882812,-0.0011026548658264802
9074.0,51200,25,106.21817666999999,2,76.27,17159,26,5185.868148040771,0.02740079164505005,-0.07540019946172834,0.00390625,415,0.0001,0.0007688565,0.2,2447.859130859375,-0.0006651396761299111
9234.0,53248,26,102.57670485999999,2,76.45,17860,26,4272.067414855957,0.008509516716003418,-0.08111903994577005,0.0033203125,420,0.0001,0.0006179727,0.2,1650.0213623046875,-0.001463140526902862
9234.0,55296,27,105.97722139999998,2,77.01,18552,26,2584.7505615234377,0.1391052007675171,-0.0725126379635185,0.01611328125,425,0.0001,0.0009342305,0.2,1366.9608154296875,-0.0009870359746855684
9074.0,57344,28,146.01727498999998,2,76.97,19267,26,2672.775073623657,0.19305497407913208,-0.06638097857357934,0.00224609375,430,0.0001,0.00051444967,0.2,1908.5079345703125,-0.0011430646482040174
9074.0,59392,29,141.20614896,2,74.62,19973,26,1800.3476829528809,0.3313579559326172,-0.07325981410685926,0.0140625,435,0.0001,0.0010948529,0.2,1039.9063720703125,-0.0008317219719174318
