time/time_elapsed,custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range
19015,8714.0,-209.57794041000005,25,17,34816,1,64.73,0.04912109375,-0.004667170980246738,0.0067197974,18904.145462036133,0.10256683826446533,14009.078125,80,0.0001,-0.7273586884140968,0.2
19831,8714.0,-131.73002865,25,18,36864,1,68.91,0.00576171875,-0.0026440902569447645,0.0022883643,20203.611267089844,0.15872031450271606,11689.3056640625,85,0.0001,-0.7194604519754648,0.2
20664,8714.0,-145.03094420000002,25,19,38912,1,73.7,0.00400390625,-0.0037889090526732616,0.0012317525,22776.001214599608,0.12895715236663818,11466.4853515625,90,0.0001,-0.7319435764104127,0.2
21489,8714.0,-125.39301288,25,20,40960,1,75.19,0.00419921875,-0.003556701392517425,0.0018246623,15471.333386230468,0.09159332513809204,2397.618896484375,95,0.0001,-0.7306064318865537,0.2
22257,8714.0,-104.92605512999998,25,21,43008,1,80.24,0.02119140625,-0.006513853740761988,0.0029618135,22303.170025634765,0.16236203908920288,8387.69921875,100,0.0001,-0.708764148131013,0.2
23037,8714.0,-99.50529436,25,22,45056,1,84.96,0.0173828125,-0.004333498519554268,0.005075547,13203.824688720702,0.18366611003875732,6183.79541015625,105,0.0001,-0.727020089328289,0.2
23852,8714.0,-95.15366651000001,25,23,47104,1,87.33,0.001171875,-0.0016991590695397464,0.000983502,15025.57053527832,0.15194445848464966,5821.02978515625,110,0.0001,-0.7338112644851208,0.2
24673,8714.0,-45.977183180000004,25,24,49152,1,89.57,0.00380859375,-0.0030909597116988152,0.0011426945,17558.27762145996,0.18262583017349243,9088.5244140625,115,0.0001,-0.7343222487717866,0.2
25474,8714.0,-50.03497259999998,25,25,51200,2,89.82,0.0033203125,-0.0024495272955391556,0.0006531263,23464.76970825195,0.17033040523529053,10969.396484375,120,0.0001,-0.7339030873030424,0.2
26346,8714.0,-65.93095330999999,25,26,53248,2,83.56,0.00947265625,-0.0037576279632048682,0.0020081575,14320.790209960938,0.16446799039840698,5554.82080078125,125,0.0001,-0.7350179608911276,0.2
27138,8930.0,-24.952807699999997,25,27,55296,2,87.01,0.0009765625,-0.0014827367529505863,0.0004991881,20430.318283081055,0.16715478897094727,8871.0751953125,130,0.0001,-0.7318290177732706,0.2
27978,8714.0,-38.84041979000001,25,28,57344,2,82.59,0.00576171875,-0.0028116641798987983,0.0006934302,15891.990905761719,0.21037638187408447,8590.173828125,135,0.0001,-0.7295190416276455,0.2
28841,8714.0,-22.44416778,25,29,59392,2,77.47,0.0005859375,-0.001276759929896798,0.00025728095,22842.077075195313,0.1828339695930481,7296.51611328125,140,0.0001,-0.7379993256181479,0.2
29705,8834.0,-15.741976579999996,25,30,61440,2,70.69,0.00146484375,-0.0018956033993163147,0.0003437056,24027.116473388673,0.17205846309661865,8933.787109375,145,0.0001,-0.7378831084817647,0.2
30543,8714.0,-9.917532899999996,25,31,63488,2,68.61,0.00205078125,-0.001784267180482857,0.00056269474,28742.561303710936,0.209772527217865,18934.326171875,150,0.0001,-0.7382372554391623,0.2
31340,8714.0,-49.37979581999999,25,32,65536,2,72.56,0.00234375,-0.0016032295723562128,0.00046546618,22561.623236083986,0.1722567081451416,9562.4208984375,155,0.0001,-0.7330873411148786,0.2
32157,8714.0,-42.919285759999994,25,33,67584,2,75.65,0.00224609375,-0.001318463243660517,0.0019247183,12464.174900054932,0.11193054914474487,6206.01953125,160,0.0001,-0.7630268469452858,0.2
32988,8714.0,-80.12719168,25,34,69632,2,78.61,0.0046452702702702705,-0.0012550032681886208,0.008151376,17166.07076119088,0.19373077154159546,8024.82275390625,163,0.0001,-0.757784604220777,0.2
33855,8714.0,-62.45486416999999,25,35,71680,2,73.72,0.0076171875,-0.00321457772370195,0.0012593365,18248.02730407715,0.1750490665435791,4834.0751953125,168,0.0001,-0.7654881335794925,0.2
34722,8714.0,-73.19381093,25,36,73728,2,71.58,0.00546875,-0.0035199935715354513,0.0009771865,22907.027764892577,0.14307957887649536,13472.9091796875,173,0.0001,-0.7640477176755667,0.2
35597,8714.0,-50.52867969,25,37,75776,2,66.42,0.00263671875,-0.0020886858175799715,0.00075088895,19766.249102783204,0.1820814609527588,13348.591796875,178,0.0001,-0.7748929232358932,0.2
36465,8714.0,-74.19847759999999,25,38,77824,2,64.42,0.0044921875,-0.002524700097274035,0.0009656999,27353.35760498047,0.201377272605896,14575.84375,183,0.0001,-0.7670312743633986,0.2
37334,8714.0,-57.583625409999996,25,39,79872,2,62.25,0.00732421875,-0.0037787789406138472,0.001444422,20211.91228637695,0.19311457872390747,15676.6220703125,188,0.0001,-0.7645945146679878,0.2
