rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,custom/max_height,custom/current_screen,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss
-10.471750310000003,1,7.77,1024,0,12722.0,36,1773,,,,,,,,,,
65.80061343,2,8.1,2048,0,12722.0,36,3394,-0.01978455107891932,0.0001,23182.79296875,0.08359375,-8.0108642578125e-05,52198.71435546875,5,0.011460663,0.2,-0.8439710550010204
47.33075112,3,8.92,3072,0,12714.0,36,4902,-0.01903619138756767,0.0001,32163.791015625,0.087890625,0.004774987697601318,57615.43911132812,10,0.011127239,0.2,-0.843534528464079
168.03880119,4,8.77,4096,0,12786.0,36,6496,-0.020693707501050086,0.0001,28544.904296875,0.0958984375,0.005344688892364502,54191.06708984375,15,0.011203167,0.2,-0.8243190832436085
209.64545044000002,5,9.2,5120,0,12722.0,36,8074,-0.01749839272815734,0.0001,31871.748046875,0.0728515625,0.005003869533538818,67607.66450195313,20,0.007961548,0.2,-0.7990122780203819
179.54382113,6,8.48,6144,0,12658.0,36,9475,-0.01704792188247666,0.0001,35543.91796875,0.0681640625,0.0008984208106994629,68473.16098632812,25,0.00865067,0.2,-0.7861765213310719
295.95258801,7,10.07,7168,0,12714.0,36,10755,-0.020618111197836696,0.0001,33696.6796875,0.105078125,0.00034743547439575195,67004.9552734375,30,0.010920934,0.2,-0.7740117013454437
248.3215181,8,9.26,8192,0,12715.57,36,12211,-0.01478423053631559,0.0001,35031.03515625,0.0359375,0.0002034902572631836,74278.18984375,35,0.005613355,0.2,-0.7430639855563641
318.95345239,9,9.8,9216,0,12722.0,36,13646,-0.016823592560831456,0.0001,36924.25390625,0.051953125,0.00019556283950805664,75146.88017578125,40,0.0067673842,0.2,-0.7261458612978459
327.44717516000003,10,9.72,10240,0,12882.0,36,15026,-0.012025271425954998,0.0001,39985.703125,0.03203125,0.00010520219802856445,76576.80869140624,45,0.0065117944,0.2,-0.7107536867260933
