rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,custom/current_screen,custom/max_height,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/loss,train/clip_fraction,train/approx_kl
280.96173489999995,1,9.12,0,2048,2602,0,-14.0,,,,,,,,,,
281.46581813999995,2,8.4,0,4096,5268,0,-14.0,-1.005010661482811,-0.017711483786115423,0.0001,0.00021374225616455078,16506.947216796874,70,0.2,8836.990234375,0.01064453125,0.0069795037
281.48459668,3,8.19,0,6144,7878,0,-158.0,-0.9927190382033586,-0.005941346933832392,0.0001,0.00013244152069091797,16418.44348754883,75,0.2,7511.95166015625,0.00576171875,0.0062643834
281.39249597,4,8.25,0,8192,10575,0,-14.0,-0.9604368314146996,-0.010410123929614202,0.0001,0.00010693073272705078,15423.39330444336,80,0.2,7350.1689453125,0.00263671875,0.007022481
281.03199956,5,8.08,0,10240,13184,0,-14.0,-0.9546916469931602,-0.010262189485365525,0.0001,8.732080459594727e-05,15185.195568847656,85,0.2,7079.14990234375,0.13271484375,0.009344673
282.14255995999997,6,7.78,0,12288,15722,0,-302.0,-0.933194762468338,-0.006296798339462839,0.0001,8.851289749145508e-05,14501.254681396484,90,0.2,6893.54345703125,0.000390625,0.0021496387
284.23547125000005,7,6.58,0,14336,18392,0,-14.0,-0.8872035324573517,-0.022422129329061135,0.0001,4.494190216064453e-05,14335.137908935547,95,0.2,7110.6845703125,0.07236328125,0.009869605
283.15827083,8,7.04,0,16384,21124,0,-302.0,-0.8929618537425995,0.0014770188281545416,0.0001,4.26173210144043e-05,14555.252813720703,100,0.2,6095.3466796875,0.01787109375,0.0026732786
282.60427532000006,9,7.91,0,18432,23830,0,-14.0,-0.880972383916378,-0.014831572864204645,0.0001,3.0100345611572266e-05,13396.500042724609,105,0.2,6622.7333984375,0.00615234375,0.004077943
282.20459695,10,7.83,0,20480,26446,0,-158.0,-0.875644176825881,-0.0010583815979771315,0.0001,5.21540641784668e-05,12673.001397705078,110,0.2,6227.52392578125,0.015234375,0.0034829956
284.14755321999996,11,6.66,0,22528,29040,0,-14.0,-0.8687787741422653,-0.009748854403733275,0.0001,4.1365623474121094e-05,11348.426037597656,115,0.2,5878.92431640625,0.0080078125,0.0030176502
283.64273341999996,12,6.89,0,24576,31648,0,-14.0,-0.831518991291523,-0.008890270444680937,0.0001,2.2113323211669922e-05,11411.777990722656,120,0.2,5346.7998046875,0.00302734375,0.0036198837
284.43847834,13,6.59,0,26624,34312,0,-14.0,-0.8211807306855917,-0.003862548345932737,0.0001,7.301568984985352e-05,10740.217010498047,125,0.2,4961.07568359375,0.0078125,0.002026366
284.40474395999996,14,6.52,0,28672,37031,0,-302.0,-0.8157672755420208,-0.0032427278900286184,0.0001,5.728006362915039e-05,10648.165423583985,130,0.2,4963.81005859375,0.00673828125,0.0014071625
283.99906010999996,15,6.68,0,30720,39620,0,-158.0,-0.8473042167723179,0.0017397701012669131,0.0001,0.00030535459518432617,9759.417254638673,135,0.2,4887.9326171875,0.08525390625,0.008915147
282.59976351999995,16,7.57,0,32768,42260,0,-14.0,-0.8910157546401024,-0.0025035078084329142,0.0001,1.4007091522216797e-05,8681.563345336914,140,0.2,4421.470703125,0.04306640625,0.0058088927
284.11849005999994,17,6.6,0,34816,44906,0,-14.0,-0.9130533680319786,-0.0025808346254052594,0.0001,3.933906555175781e-05,7606.137875366211,145,0.2,3382.9326171875,0.0046875,0.0023644718
282.88093558,18,7.33,0,36864,47569,0,-302.0,-0.8875797960907221,-0.0021589915151707826,0.0001,4.2557716369628906e-05,7536.0294921875,150,0.2,3427.53076171875,0.0015625,0.0021380796
282.46356733,19,7.45,0,38912,50243,0,-158.0,-0.8942796472460032,-0.004703597762272693,0.0001,4.506111145019531e-05,6723.184420776367,155,0.2,3219.54052734375,0.030078125,0.004389384
